id,blind_screen,reason,n_frozen_rows
2-s2.0-105038215392,EXCLUDE,QUALITY-ONLY study with no reported share of items classified false/inaccurate. The Methods define a three-level misinformation categorisation (“information with over 50 % misinformation was labeled as ‘inaccurate or misinformative’; videos with under 50 % but above 25 % misinformation were considered as ‘partially accurate’; videos with under 25 % misinformation were defined as ‘accurate and evid,0
2-s2.0-105040026420,EXCLUDE,"QUALITY-ONLY study (excluded per section 1/section 3). The 61 English-language YouTube videos on erythema nodosum were scored only with generic instruments - Global Quality Scale, modified DISCERN, JAMA Benchmark Criteria and PEMAT-A/V. No item was ever judged true or false against an external ground truth: there is no fact-check, no guideline concordance coding, no 'accurate/inaccurate' or 'false",0
2-s2.0-84929523850,EXCLUDE,"The text file is not the paper named in the manifest. The manifest asks for 'The media's role in vaccine misinformation' (Scopus 2-s2.0-84929523850); the file contains a different document entirely: 'Coronavirus: vaccine misinformation and the role of social media', a King's College London Policy Institute / Ipsos MORI polling report dated Sunday 14 December 2020, contact Bobby Duffy, reporting an",2
2-s2.0-85065550941,EXCLUDE,"Content-description study with no truth/falsity ground truth. 300 #fluoride Instagram posts were coded for STANCE (pro- vs anti-fluoride) and for eleven non-exclusive TOPIC tags (conspiracy theory, dangers of fluoride to health/teeth, benefits, promotes a product, etc.). No item was judged accurate or inaccurate against fact-checks, guidelines or expert verification; the CDC fact sheet was used on",1
2-s2.0-85079874634,EXCLUDE,"QUALITY-ONLY study (§1 exclusion ground, §3 quality-vs-content rule). The only outcome is the DISCERN score, a 16-item instrument that grades whether a video states its aims, discloses its sources, and describes the risks, benefits and alternatives of treatment options. No item in the study judges any claim for truth or falsity against an external ground truth: there is no fact-check, no expert ve",0
2-s2.0-85115858008,EXCLUDE,"No quantitative share of misinformation with a denominator is reported anywhere in the paper, and none is validly derivable. The corpus (42,869 audio messages, 16,503 unique audios, 11,700 with usable transcriptions) was never classified in full: misinformation was identified by TF-IDF cosine-similarity matching against a Brazilian fact-check claim database, after which ONLY the 300 highest-simila",1
2-s2.0-85129632573,EXCLUDE,"QUALITY-ONLY study. The paper does report shares of news items labelled 'fake news' with explicit denominators (193,188/512,435 = 37.7% during the public vaccination stage; 99,791/278,748 = 35.8% before it; weekly mean 37.4%), but the label is not a veracity judgement. 'In this study, fake news was set as news with a suspicion score greater than zero', and the suspicion score comes from the Island",2
2-s2.0-85139497631,EXCLUDE,"QUALITY-ONLY study. The paper's stated aim mentions 'the presence of misinformation', but nothing in it judges any video for truth or falsity: the only instruments are DISCERN (16 items, with item 16 dichotomised into poor quality 1-2 vs moderate/good 3-5) and PEMAT understandability/actionability, both reported as scores and as a share of videos below a quality cutoff. There is no external ground",0
2-s2.0-85142132951,EXCLUDE,"Self-reported exposure is measured by STANCE, not by veracity. The single exposure item asks whether parents saw any information about the HPV vaccine on social media, and respondents then classify it as 'completely in favor / mostly in favor / mostly against / completely against / a mix of both'. Nothing in the numerator requires the content to be false, misleading, inaccurate, fabricated, or fro",2
2-s2.0-85142229013,EXCLUDE,"Despite the title, the survey (108 Nigerian polytechnic students, Google Form circulated via WhatsApp and Facebook) never asks whether respondents encountered, consumed or shared fake news. The section headed 'Fake news consumption on the social media' (Table 5) in fact measures a preference for news on social media ('I prefer reading/watching/listening to news and information posted on social med",1
2-s2.0-85142238598,EXCLUDE,"QUALITY/accuracy-scale study reported as MEANS ONLY. Accuracy of the 234 sampled TikTok posts (educational posts only) was scored on a 1-5 'misinformation index' (1 = complete lack of accurate information, 5 = complete lack of inaccurate information) and is reported solely as means with SDs - overall 2.6 +/- 1.7; physicians 4.2 +/- 1.2 vs non-physicians 2.3 +/- 1.6; by topic 1.5 (semen retention) ",0
2-s2.0-85147303661,EXCLUDE,"THE TEXT IS NOT THE PAPER NAMED. The file contains a different document in full: 'COVID-RELATED MISINFORMATION ON YOUTUBE - The Spread of Misinformation Videos on Social Media and the Effectiveness of Platform Policies', COMPROP Data Memo 2020.6 (21.09.2020), by Aleksi Knuutila, Aliaksandr Herasimenka, Hubert Au, Jonathan Bright, Rasmus Nielsen and Philip N. Howard (Computational Propaganda Projec",1
2-s2.0-85165815218,EXCLUDE,"No quantitative share of misinformation with a denominator is reported anywhere in this text. The paper measures ideological SEGREGATION of political-news exposure on Facebook (a segregation index of about 0.35 for domains and 0.45-0.50 for URLs) and the ideological leaning of audiences. Its two misinformation numbers - '71, 76, and 76% of untrustworthy domains have audiences that are conservative",0
2-s2.0-85192567032,EXCLUDE,"QUALITY-ONLY study. The only quantified share of the ~300 Brazilian Instagram posts about pharmacological treatment of diabetes is a DISCERN score band - 'the quality of the information was classified as very poor in 68.8% of the publications'. DISCERN rates the reliability/completeness of treatment information (sources, balance, discussion of risks), not the truth or falsity of what is claimed, s",0
2-s2.0-85215939792,EXCLUDE,"QUALITY-ONLY study. The 129 Arabic-language vaccination TikTok videos were scored with a 3-item mini-DISCERN instrument (1 = poor to 5 = excellent) covering balance/bias, scientific description of benefits and risks, and presence of clear misinformation. Every result is reported as a MEAN score (by creator category, video topic, year, country dialect) or as a regression coefficient / Kendall's tau",0
OA-W2914761925,EXCLUDE,"Not a primary study. The record (DOI 10.1097/01.cot.0000553127.66951.40) is a journalistic news feature in Oncology Times, written by a contributing writer (Kelly Wolfgang), reporting on and interviewing the lead author of a SEPARATE primary study — Loeb et al., European Urology 2018, doi.org/10.1016/j.eururo.2018.10.056 — which is explicitly cited in the text. Two independent grounds for exclusio",1
