record_id,title,exclusion_reason,terminal_state,reason_detail,reason_source
2-s2.0-105014962937,Hidden misinformation in YouTube short videos on syphilis: A mixed-methods study,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,mDISCERN measures quality not falsity — out of construct [RA #7],v1.2_drops_ledger.csv
2-s2.0-105017062540,Marketing a Banned Remedy: A Topic Model Analysis of Health Misinformation in Thai E-Commerce,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,L24 circular/curated denominator + L3 construct mismatch. The 1546 listings were sampled by keyword for ONE specific banned product (Jindamanee). 77.6% = listings making medical claims (not % verified,drop_audit.json
2-s2.0-105018016020,Quality of Cancer-Related Information on New Media (2014-2023): Systematic Review and Meta-Analysis,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Pooled meta-analysis estimate across multiple studies [rule L7],proposals.csv
2-s2.0-105019228896,From News Source Sharers to Post Viewers: How Topic Diversity and Conspiracy Theories Shape Engagement With Misinformation During a Health Crisis,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP both rows (circular / fact-check-database sampling, L24/L31). Row 1 (17.5% = 1543/8822 fact-checked claims are false): the denominator is the MM-COVID set",stepb_drops_queue.csv
2-s2.0-105022112843,AI-Driven Disinformation and Political Influence on WhatsApp in South Africa’s 2024 Elections,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Rhetorical-style breakdown of disinfo messages; not prevalence share [rule L4],proposals.csv
2-s2.0-105024884753,The Covid‐19 Information Void: How Pro-Vaccination Voices Lost the Narrative in South Africa,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP all 4 rows. The 14.4/8.8/32.1/32.7% figures are shares of vaccine-keyword tweets classified ANTI-VACCINATION STANCE by an SVM stance classifier - not misin,stepb_drops_queue.csv
2-s2.0-105025453005,Americans overestimate how many social media users post harmful content,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Secondary citation to Kumar et al ref 14; not own measurement [rule L6],proposals.csv
2-s2.0-105026682823,Pro- and Antifluoride Use Messages on YouTube in Japan: Content Analysis,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Dropped (stance != misinformation, L29). The 22% (19/86) is the share of videos coded as OPPONENT ('anti') by their STANCE toward fluoride, not by factual falsi",stepb_drops_queue.csv
2-s2.0-105027340901,Comparative Mapping of Political Disinformation in Ibero-America: The Cases of Argentina and Spain,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP. The sole row (42.3% 'contenido enganoso', 197/466) is a within-misinfo composition share computed over a sample that was selected BY disinformation status",stepb_drops_queue.csv
2-s2.0-105029135644,Disinformation and emotions in the 2024 European Parliament and US presidential elections,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Cordoba-Cabus et al. Sample = 622 fact-check-verified false-information cases (PolitiFact + Elections24Check database). EVERY item is already-confirmed disinformation, so all reported percentages are",drop_audit.json
2-s2.0-105029581133,"Evaluating fluoride-related YouTube videos in Japan: A comparative analysis of understandability, actionability, and reliability between pro- and anti-fluoride content","No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP_STUDY. The only candidate value (21.4% = 18/84 videos coded anti-fluoride) is a STANCE composition, not a misinformation share (L29: anti-vaccine/anti-fluo",stepb_drops_queue.csv
2-s2.0-105029662286,The reliability and quality analysis of health information about Helicobacter pylori on WeChat official accounts,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP_STUDY. The only reported numbers are QUALITY/reliability scale scores (median JAMA 2.00, mDISCERN 3.00, GQS 3.00) across 115 articles; per protocol QUALITY",stepb_drops_queue.csv
2-s2.0-105030586804,Media under fire on private networks: how the far right is stealthily destroying the reputation of news organizations on WhatsApp,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,All three current rows dropped. (1) 25.5% 'hyperpartisan media' and (2) 1.07% 'mainstream media' are SOURCE/outlet-level classifications of shared links (which,stepb_drops_queue.csv
2-s2.0-105031695645,Digital health misinformation in pharmacy practice: A foundational cross-sectional survey of Saudi pharmacists’ experiences with social media and AI-generated health information,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,perception survey not a prevalence estimate [RA #11],v1.2_drops_ledger.csv
2-s2.0-105031922350,"Quality, reliability and popularity assessment of Turkish YouTube videos on human papillomavirus and its vaccine: content analysis","No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Both current rows dropped. Row1 (1.9% anti-vaccine stance) = STANCE, not misinformation falsity (L29: anti-vaccine stance != misinfo prevalence; the paper itsel",stepb_drops_queue.csv
2-s2.0-105033540717,The impact of the level of scientific evidence in preprints about COVID-19 on their sharing on Twitter (X) Brazil,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP. The 25% = anti-vaccine-movement (16%) + anti-science-discourse (9%) share of 720 preprint-sharing tweets. These are STANCE/attitude categories, not falsit",stepb_drops_queue.csv
2-s2.0-105033848043,Quantitative and Qualitative Analysis of False News about COVID 19 in Colombia Abstract,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP per L24/L31. The 76.68% 'rated false' is computed over 549 already-fact-checked items (Colombia Check, La Silla Vacia, Maldita.es, AFP via IFCN database) -",stepb_drops_queue.csv
2-s2.0-105035000208,Disinformation in the Turkish Media Landscape: A Thematic Analysis of Teyit.org Fact-Checks,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Denominator is suspicious content pre-verified by fact-checker; prevalence true by construction [rule L1],proposals.csv
2-s2.0-105035305443,Misinformation in Social Media Narratives on Highly Pathogenic Avian Influenza: Systematic Content Analysis of Facebook and Instagram Posts,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP both rows. Row 1 (544/~419,551 = 0.13% 'prevalence'): the 544-post numerator was selected by a misinformation-specific KEYWORD list ('plandemic' etc.), NOT",stepb_drops_queue.csv
2-s2.0-105037362500,Auditing the impact of social media’s policy shift on anti-vaccine discourse: A large language model-driven empirical study,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP. The 49.6% figure is anti-vaccine STANCE, not misinformation/falsity, measured by GPT-4o classifying tweets into pro/anti/neutral. Per L29 + protocol ('sta",stepb_drops_queue.csv
2-s2.0-105038578898,Exposure to health misinformation on social media across key health domains: a systematic review and meta-analysis of survey-based studies,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,review pooled estimate (secondary source),decided_drops.csv
2-s2.0-105039147215,Manipulation of information in times of crisis: evidence from Covid excess mortality,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP_STUDY (both rows). This measures whether GOVERNMENTS manipulate their own official COVID death statistics (45-55% of 134 countries misreport; global misrep,stepb_drops_queue.csv
2-s2.0-105040104285,Infodemiology Analysis of Toothache-Related Posts on Instagram,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Association of financial posts with misinfo/satire, not prevalence [rule L3]",proposals.csv
2-s2.0-105041276064,Viral but Not Verified: Analyzing Accuracy and Engagement in TikTok Discussions of IUDs,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,no clean estimate (reconstructed from subgroup table) [Phase-1 flip #13],v1.2_drops_ledger.csv
2-s2.0-105041406388,"Awareness, discussion, and understanding of interventional radiology Procedures among non-interventional radiology medical providers on X: A social media infodemiology study","No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,No verbatim misinfo percentage in source text [rule L6],proposals.csv
2-s2.0-36349001056,Immunization in the print media - Perspectives presented by the press,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROPPED. The 17% 'opposing' figure is an anti-immunization STANCE code, not a measure of misinformation/falsity. The study's entire coding scheme classifies pri",stepb_drops_queue.csv
2-s2.0-45549091998,Silver nasal sprays: Misleading Internet marketing,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Both rows dropped. Sampling frame = 49 websites returned by searching 'silver nasal spray' across 5 engines to MARKET this dubious product (a single-product, so",stepb_drops_queue.csv
2-s2.0-70349234627,Infant sleep environments depicted in magazines targeted to women of childbearing age,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Both rows dropped (construct mismatch, L3/L8-type). The study codes magazine pictures of sleeping infants for ADHERENCE TO AAP safe-sleep guidelines, not for fa",stepb_drops_queue.csv
2-s2.0-84869090226,Abortion misinformation from crisis pregnancy centers in North Carolina,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,CPC websites coded at source/outlet level not content/exposure [RA #14],v1.2_drops_ledger.csv
2-s2.0-84877280391,Misleading health-related information promoted through video-based social media: Anorexia on youtube,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Drop confirmed per user instruction + L29 (stance/advocacy, not falsity). Authors explicitly concede the 'misleading' label is a simplification and rests on health-harm, not on coding claims as false.",drop_audit.json
2-s2.0-84936755035,Associations between exposure to and expression of negative opinions about human papillomavirus vaccines on social media: An observational study,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP both rows. The measured quantity is a NEGATIVE-OPINION sentiment classifier (25.13% of tweets 'negative'; 29.54% of users exposed to a majority of negative,stepb_drops_queue.csv
2-s2.0-84963854363,A Collaborative Assessment Among 11 Pharmaceutical Companies of Misinformation in Commonly Used Online Drug Information Compendia,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP both rows. (1) '25% of errors classified as inaccurate' is a COMPOSITION WITHIN identified errors (inaccurate vs incomplete vs omitted) - not a prevalence,stepb_drops_queue.csv
2-s2.0-84983509049,Are we being drowned by overhydration advice on the Internet?,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,quality/stance rating not falsity [20-study re-audit],v1.2_drops_ledger.csv
2-s2.0-85015279655,Information quality and health risks in Spanish-language retail websites for Chinese herbal medicine,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROPPED both rows (80% illegal-claims; 66.7% non-compliant). These are SOURCE/WEBSITE-LEVEL quality & legal-compliance assessments of 30 retail websites, not co",stepb_drops_queue.csv
2-s2.0-85028727341,Examining sentiments and popularity of pro-and anti-vaccination videos on youtube,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP both rows (L29 anti-vaccine STANCE != misinformation). 65.02% anti-vaccine / 20.87% pro-vaccine are SENTIMENT classifications, not falsity/credibility judg",stepb_drops_queue.csv
2-s2.0-85029143850,Assessing ExxonMobil's climate change communications (1977-2014),"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP both rows and study. (1) The sample is a CURATED SINGLE-SOURCE corpus of ExxonMobil's own NYT advertorials, hand-selected as the corporate-deception docume",stepb_drops_queue.csv
2-s2.0-85042209380,"The small, disloyal fake news audience: The role of audience availability in fake news consumption","No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP per L13 (absolute reach without a denominator = unusable) -- this paper is the canonical Nelson & Taneja example already named in L13. The study reports on,stepb_drops_queue.csv
2-s2.0-85043355303,A comprehensive analysis of Italian web pages mentioning squalene-based influenza vaccine adjuvants reveals a high prevalence of misinformation,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"47.6% (40/84) is a QUALITY/stance score (negative-or-ambiguous TONE toward squalene adjuvants), not a measured-falsity rate, and it is a SOURCE/WEBSITE-level ra",stepb_drops_queue.csv
2-s2.0-85046071518,Anatomy of an online misinformation network,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Secondary citation from Pew survey; not original to this paper [rule L6],proposals.csv
2-s2.0-85046742972,Misinformation on vaccination: A quantitative analysis of YouTube videos,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP. 70% (392/560) is the share of videos with NEGATIVE TONE among an autism+vaccine keyword-selected YouTube sample. Two reasons to drop: (1) the measure is a,stepb_drops_queue.csv
2-s2.0-85048127619,Spreading the (Fake) News: Exploring Health Messages on Social Media and the Implications for Health Professionals Using a Case Study,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Ratio of rumor to verified shares; not a share-of-total [rule L3],proposals.csv
2-s2.0-85048766317,Understanding Misinformation in the Pro-tanning Communication Environment: A Content Analysis,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Both rows dropped on sampling-frame circularity (L24) + curated/advocacy denominator (L1, L29). The 78 websites were deliberately selected to be PRO-indoor-tann",stepb_drops_queue.csv
2-s2.0-85049788242,The Stealth Media? Groups and Targets behind Divisive Issue Campaigns on Facebook,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP both rows. (1) Both are SOURCE/GROUP-level, not content-item prevalence: 5.2% = % of divisive-issue ADS sponsored by questionable-news groups, 15.8% = % of",stepb_drops_queue.csv
2-s2.0-85051467996,IRA propaganda on Twitter: Stoking antagonism and tweeting local news,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP. The 5.72% (148/2501) is the composition WITHIN an actor-defined disinfo set: the sample is tweets by false accounts operated by the IRA (a known disinform,stepb_drops_queue.csv
2-s2.0-85056602344,Tracking and Characterizing the Competition of Fact Checking and Misinformation: Case Studies,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,producer-side concentration over curated sources — circular sample [RA #18],v1.2_drops_ledger.csv
2-s2.0-85056802427,The spread of low-credibility content by social bots,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,bots-only concentration (conc_unit=bots) — RULE C-TYPE excludes bots [Shao],v1.2_drops_ledger.csv
2-s2.0-85057183786,"Influenza vaccination discourse in major Canadian news media, 2017–2018","No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP. The 14.66% = articles portraying flu vaccination NEGATIVELY — this is stance/tone, NOT misinformation (L29: anti-vaccine stance != misinfo; QUALITY). Auth",stepb_drops_queue.csv
2-s2.0-85057212051,"Propagation from Deceptive News Sources Who Shares, How Much, How Evenly, and How Quickly?","No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Genuinely looked for a salvageable estimate (flagged-type 'needs a lot of fixing'). The closest candidate (Palma 20.13 / Gini 0.83) is an inequality coefficient over a disinfo-only curated denominator,drop_audit.json
2-s2.0-85059686579,Dissemination of Misinformative and Biased Information about Prostate Cancer on YouTube,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DISCERN composite quality score not falsity [re-audit],v1.2_drops_ledger.csv
2-s2.0-85060587260,Content and source analysis of popular tweets following a recent case of diphtheria in Spain,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP per L29 (anti-vaccine STANCE != misinformation). The extracted '0% anti-vaccination' is a tone/stance code among the 194 most-popular diphtheria tweets, no",stepb_drops_queue.csv
2-s2.0-85064006783,Misinformation on the Internet regarding Ablative Therapies for Prostate Cancer,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,All three rows DROPPED per L27 (source/WEBSITE-level rating != content-item prevalence; same family as Cuan-Baltazar). The study rates the top-50 prostate-cance,stepb_drops_queue.csv
2-s2.0-85075384367,Vaccine-related advertising in the Facebook Ad Archive,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROPPED both rows -> DROP_STUDY. Row1 (47% anti-vaccine ads, 145/309): anti-vaccine STANCE != misinformation/falsity (L29: anti-vax stance is not a misinfo-prev",stepb_drops_queue.csv
2-s2.0-85077296908,Online Direct-to-Consumer Advertising of Stem Cell Therapy for Musculoskeletal Injury and Disease: Misinformation and Violation of Ethical and Legal Advertising Parameters,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP both rows. The unit of analysis is PRACTICE WEB SITES, not content items / not population exposure -> source/website-level prevalence (L27: Cuan-Baltazar-s",stepb_drops_queue.csv
2-s2.0-85081680257,Assessing the Validity and Accuracy of Online Videos on Vaccine Health Risks,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,reliability rating not falsity [re-audit],v1.2_drops_ledger.csv
2-s2.0-85083063112,Black Trolls Matter: Racial and Ideological Asymmetries in Social Media Disinformation,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP. The only extracted value (2.89% of retweets received came from other IRA accounts) is an internal false-amplification / coordination metric within the IRA,stepb_drops_queue.csv
2-s2.0-85083103558,Fake news about benign prostatic hyperplasia on YouTube,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP. (1) Secondary citation (L6/L19): this is a one-page BJUI EDITORIAL by Loeb commenting on Betschart et al. [1]; the '87% of videos contained some misinformation and 84% commercial bias' figure is,drop_audit.json
2-s2.0-85084947770,Examining algorithmic biases in YouTube's recommendations of vaccine videos,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,anti-vax stance coding not falsity [re-audit],v1.2_drops_ledger.csv
2-s2.0-85085657500,Measuring Misinformation in Video Search Platforms: An Audit Study on YouTube,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"15.7% = 462 promoting / 2,943 unique videos. Two problems. (1) Topics are curated FOR misinformation (9/11, chemtrails, flat earth, moon landing, vaccines were selected precisely because known to cont",drop_audit.json
2-s2.0-85086692143,The limited reach of fake news on Twitter during 2019 European elections,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Single row was already coded OTHER and is correctly unusable. The 9% figure is the share of nodes in the disinformation subgraph belonging to its largest connec,stepb_drops_queue.csv
2-s2.0-85087834513,An exploration of how fake news is taking over social media and putting public health at risk,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Source breakdown within already-curated set of 1225 fake-news stories [rule L1],proposals.csv
2-s2.0-85092354064,"Information Flow Within and Across Online Media Platforms: An Agenda-setting Analysis of Rumor Diffusion on News Websites, Weibo, and WeChat in China","No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP (circular / pre-selected denominator, L24/L26/L31): the sample is content about the TOP 10 MOST WIDELY-SPREAD KNOWN RUMORS in China 2016 (selected by rumor",stepb_drops_queue.csv
2-s2.0-85092553845,Understanding sunscreen and photoprotection misinformation on parenting blogs: A mixed-method study,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP. (1) STANCE != misinformation (L8/L29): the 36% (20/56) is the share of posts coded 'sunscreen-DISCOURAGING' based on the proportion of references discouraging sunscreen - an attitudinal/stance c,drop_audit.json
2-s2.0-85093701917,The sources and correlates of exposure to vaccine-related (mis)information online,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Reach of ANY vaccine page not misinfo-specific; construct mismatch [rule L3],proposals.csv
2-s2.0-85093962844,Can the damage be undone? analyzing misinformation during COVID-19 outbreak in Indonesia,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Raw count with no denominator; not a prevalence share [rule L3],proposals.csv
2-s2.0-85094820438,COVID-19 and immune boosting' on the internet: A content analysis of Google search results,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,portrayal/stance coding not falsity [re-audit],v1.2_drops_ledger.csv
2-s2.0-85096090608,Online disinformation on Facebook: the spread of fake news during the Portuguese 2019 election,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROPPED the only row (31,725 raw shares). (1) Source-level curated sample: the 9 'fake news pages' were pre-selected AS disinformation outlets (L1/L25/L27) -> a",stepb_drops_queue.csv
2-s2.0-85097120668,Dimensions of misinformation about the HPV vaccine on instagram: Content and network analysis of social media characteristics,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Random 10% sample of #HPV/#HPVVaccine/#Gardasil Instagram posts (relevant n=580) is a neutral topical denominator, BUT the extracted 44.1% (256/580) is the shar",stepb_drops_queue.csv
2-s2.0-85097484865,An analysis of fake narratives on social media during 2019 Indonesian presidential election,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP. The 91.45% is the platform DISTRIBUTION (Twitter 91.45% / Facebook 7.97% / Instagram 0.58%) of ~1.08M crawled fake-narrative posts. This is corpus-composi,stepb_drops_queue.csv
2-s2.0-85099979571,Prevalence of health misinformation on social media: Systematic review,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Systematic review reporting misinfo rates across studies [rule L7],proposals.csv
2-s2.0-85102907678,Crowdfunding Campaigns and COVID-19 Misinformation,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Efficacy-claim share, not misinformation/falsity share [rule L3]",proposals.csv
2-s2.0-85104141161,Assessing the quality of online information on glaucoma procedures,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP both rows. (1) These are SOURCE/WEBSITE-level quality scores (% of websites meeting all 4 JAMA criteria), not content-item misinfo exposure -> per L27 (sou",stepb_drops_queue.csv
2-s2.0-85105969129,Breast cancer on social media: a quali-quantitative study on the credibility and content type of the most shared news stories,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,composition/biased subset not population prevalence [re-audit],v1.2_drops_ledger.csv
2-s2.0-85106423850,False and misleading health-related claims in food supplements on Spanish radio: An analysis from a European Regulatory Framework,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,ALL 6 rows DROPPED per L29 (misleading/regulatory-non-compliant advertising is NOT misinformation prevalence) reinforced by protocol QUALITY-as-prevalence exclu,stepb_drops_queue.csv
2-s2.0-85107696753,Inaccuracies in google's health-based knowledge panels perpetuate widespread misconceptions involving infectious disease transmission,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Dropped the current 41.0% row: it is a MISREAD. In the text '41.0%' is the share of people in sub-Saharan Africa who USE the internet to get health information,stepb_drops_queue.csv
2-s2.0-85108840194,Misinformation on social networks during the novel coronavirus pandemic: a quali-quantitative case study of Brazil,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Sample = 232 pieces of misinformation drawn from the Agência Lupa fact-check database -> circular/curated by construction (L24/L31: fact-check-database samples),stepb_drops_queue.csv
2-s2.0-85109375579,Flow of online misinformation during the peak of the COVID-19 pandemic in Italy,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP all three rows. Rows 1 (22.1%) & 2 (12.8%) are the NR-URL share computed ONLY WITHIN the right/center-right political subcommunity (a misinfo-prone nested,stepb_drops_queue.csv
2-s2.0-85111275467,The Impact of the Politicization of Health on Online Misinformation and Quality Information on Vaccines,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Righetti. Sampling frame IS neutral (general keywords vaccino/vaccini/vaccinazione; 484,618 tweets, 190,589 URLs, 1,022 above-average domains classified). However the paper reports NO share-of-denomin",drop_audit.json
2-s2.0-85114457852,Medical Advisability of Youth Pitching Recommendations on the Internet,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP on two grounds. (1) SOURCE/WEBSITE-level, not content-item exposure (L27): unit is the whole website's landing page rated for guideline concordance, not a population of content items people see.",drop_audit.json
2-s2.0-85115731976,Information Cascade Mechanism and Measurement of Indonesian Fake News,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,Simulated SI cascade-reach model output [rule L2],proposals.csv
