n,verdict,reason,id,title,has_conc_rows,numbers,sentence
14,NO,"describes the study's own sampling frame (top 1% of viewed domains), not a finding",2-s2.0-105017599346,Analyzing news engagement on Facebook: tracking ideological segregatio,False,1.0;77.0,"6.1 Studylimitations This work focuses on interactions with some of the most engaged news-related URLs on Facebook from 2017 to 2021, speciﬁcally targeting content from the top 1% of the most viewed news domains in the US during this period [22], which accounts for over 77% of the total URL views on Facebook in the US "
15,NO,"producer-party composition WITHIN misinformation; the corpus handles this as other_subtype=producer_party, never pooled",2-s2.0-105027856675,"Crisis, country, and party lines: politicians’ misinformation behavior",False,90.0,"We performed this analysis on NL politicians, focusing on the parties responsible for more than 90% of misinformation tweets within each country."
16,NO,same: party shares of misinformation tweets are composition within misinformation,2-s2.0-105027856675,"Crisis, country, and party lines: politicians’ misinformation behavior",False,95.5,"AfD accounted for 95.5% of misinformation shared in Germany, FdI for 70.7% in Italy, the Conservative Party for 57.3% in the UK, and the Republican Party for 76.4% in the USA."
17,NO,"share of fake-news production by ideological group, not a top-N concentration; the study's genuine concentration rows are already held",2-s2.0-85060549676,Political science: Fake news on Twitter during the 2016 U.S. president,True,21.0;64.2,"For individuals on the ex- fake news content, yet 11 and 21% of people on and conservatives and across fake and nonfake treme right, Group 2 generated the majority (64.2%) the right and extreme right did, respectively (P < sources (Fig."
18,NO,topic composition within fake-news shares,2-s2.0-85066894147,What happened? The spread of fake news publisher content during the 20,False,31.0,"Next, we also investigate whether the coverage of topics were In contrast, the bottom-most topic—emails—accounts for 31% of more particularly focused on Clinton or Trump and how that pat- fake news shares while it accounts for 16% of traditional news tern differed across topics."
19,NO,party share of political traffic; not misinformation,2-s2.0-85074511992,Sourcing and Automation of Political News and Information During Three,False,29.0,traffic relating to the CDU accounted for 29.0% of all politi- cal traffic.
20,NO,no concentration figure; the number is a share of source types,2-s2.0-85074511992,Sourcing and Automation of Political News and Information During Three,False,48.8,"In this article, we developed a grounded typology of The largest proportion of content being shared by Twitter sources of political news and information drawing from real- users interested in UK politics comes from Professional time social media data from three advanced democracies in News Sources, which account for 48"
21,NO,channel composition within misinformation (internet vs other),2-s2.0-85143274147,Assessing the Covid-19 infodemic and misinformation among university s,False,90.5,"In a study in 138 countries across the globe, it was found that internet-based misinformation accounted for 90.5% of misinformation and that social media alone represented 84.9% of misinformation."
22,NO,"quoted from Grinberg et al.; secondary citation, barred by R8",2-s2.0-85162702221,Curated Misinformation: Liking Facebook Pages for Fake News Sites,False,1.0;80.0,"High levels of exposure were quite concentrated: on Twitter, 1% of users accounted for 80% of exposure to fake news URLs (Grinberg et al., 2019).2 However, estimates of exposure cannot take into account all of the motivations that can result in landing on a fake news website."
23,NO,vaccine dose uptake; unrelated,2-s2.0-85189042631,Dueling COVID-19 misinformation: Perceptions and behavior of the rural,False,46.9;53.1,"In Bangladesh, 46.94% of participants received the second dose, while Sentiment analysis 53.06% received both doses and a booster."
24,NO,quoted from another study; secondary citation,2-s2.0-85194023903,Identifying and characterizing superspreaders of low-credibility conte,True,80.0,election and found that 0.1% of Twitter users were responsible for sharing approximately 80% of the misinformation [6].
25,NO,deplatformed users' share; the study's concentration rows are already held and 24.13% is among them,2-s2.0-85195353413,Post-January 6th deplatforming reduced the reach of misinformation on ,True,4.3,These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our sample during December 2020.
26,NO,duplicate of the previous sentence,2-s2.0-85195353413,Post-January 6th deplatforming reduced the reach of misinformation on ,True,4.3,These deplatformed users account for 4.35% of content on Twitter in December 2020 and 24.13% of misinformation URLs.
27,NO,"quoted from reference (10); secondary citation, barred by R8",NEW-bergeronboutin-sciadv2026,Untrustworthy sources on Facebook and Instagram in 2020: Concentrated ,True,62.0,"For instance, browsing data collected during and after the 2016 presidential cam- paign showed that 20% of Americans were responsible for 62% of exposure to content from untrustworthy websites (10)."
28,NO,"channel composition within untrustworthy exposure (reshares vs other surfaces), not concentration",NEW-bergeronboutin-sciadv2026,Untrustworthy sources on Facebook and Instagram in 2020: Concentrated ,True,48.3,"Consistent with prior work (31), reshares (primarily from users) were responsible for 48.3% of exposure (see table S23)."
29,NO,"composition of sharers' own posts by post type, not concentration of misinformation activity",NEW-berriche-fakerisland2026,Faker Island. Profiling misinformation sharers on the French Twittersp,False,23.0,"By calculating the proportion of tweets, quotes, and retweets posted by each user, we observe that original tweets account for only 23% of misinformation sharers’ posts, compared to 41% for other users."
30,NO,a literature-review TABLE; every figure in it is another study's,NEW-berriche-fakerisland2026,Faker Island. Profiling misinformation sharers on the French Twittersp,False,0.1,"Overview of Academic Literature on Misinformation Sharers on Twitter Study Sample Corpus of Country Time period Corpus of Methods Main findings of users tweets Misinformation Gaumont et al., 2.4 M 60 M France August 1, 2016 to May 8, 179 fake news stories Analysis of digital traces (1) Fake news accounted for just 0.08"
31,NO,"literature table: Baribi-Bartov et al.'s supersharer figure, a secondary citation",NEW-berriche-fakerisland2026,Faker Island. Profiling misinformation sharers on the French Twittersp,False,80.0,"Baribi-Bartov et 664,391 N/A US August to November 2020 Fake-news links based on Digital traces linked to voter (1) 2,107 supersharers accounted for 80% of fake-news content al., 2024 registered Grinberg et al.’s fake-news registration records​ shared on Twitter during the 2020 U.S."
32,NO,"media-type composition of sharers' URLs, not concentration",NEW-berriche-fakerisland2026,Faker Island. Profiling misinformation sharers on the French Twittersp,False,17.0,"By contrast, one-time misinformation sharers stand out more clearly in their use of tabloid/local press: this category accounts for 17% of their media URLs, compared with 14% among control users, 14% among misinformation sharers in the main sample, and 13% in the ideology-and-activity matched sample."
33,NO,"media-URL share by user type, not concentration",NEW-berriche-fakerisland2026,Faker Island. Profiling misinformation sharers on the French Twittersp,False,10.0,"Overall media sharing is much lower among non-ideological users than among ideologically classifiable users: media URLs account for only 10% of tweet/URL units among non-ideological misinformation sharers and 3% among non-ideological control users, compared with 23% and 14% in the main ideology-matched sample (Table 1;"
34,NO,"video-attribute composition (music), not misinformation",W3138656580,A global pandemic in the time of viral memes: COVID-19 vaccine misinfo,False,24.3,"The videos using music accounted for 24.3% of the views, 28.3% of the comments, and 26.7% of the likes."
35,NO,video-attribute composition (dance),W3138656580,A global pandemic in the time of viral memes: COVID-19 vaccine misinfo,False,9.5,"Those that used dance accounted for 9.5% of the views, 19.0% of the comments, and 15.6% of the likes."
36,NO,"pro/anti-vaccine video view composition; a content-stance split, not concentration",W3138656580,A global pandemic in the time of viral memes: COVID-19 vaccine misinfo,False,39.6,"While only 36 videos “Encouraged a Vaccine,” these videos garnered over 50% of the total cumulative views and just under 50% of the total likes, while the 38 videos that “Discouraged a Vaccine” accounted for 39.6% of the total cumu - lative views, 44.3% of likes, and 47.4% of comments."
37,NO,message-tone composition,W3189543626,Information in Spanish on YouTube about Covid-19 vaccines,False,53.1,"According to the tone of the message, positive videos accounted for 53.1% of the views, which is proportional to the number of positive videos (53.4%)."
38,NO,"the 2020 four-country AGGREGATE; the corpus deliberately holds the finer per-country 2017-2021 rows, and holding both would double-count",W4293124965,Quantifying the “infodemic”: People turned to trustworthy news outlets,False,2.3,"In 2020, generally untrustw orthy news outlets, as rated by NewsGuard, accounted for 2.28% of the web traffic to news outlets and 13.97% of the Facebook engagement with news outlets."
39,NO,"same aggregate, repeatedly-false definition",W4293124965,Quantifying the “infodemic”: People turned to trustworthy news outlets,False,1.4,"In 2020, news outlets repeatedly publishing false content accounted for 1.39% of the web traffic to news outlets and 6.76% of the Facebook engagement with news outlets."
40,NO,quoted from another study; secondary citation,W4407878374,Semi-supervised self-training for COVID-19 misinformation detection: a,True,0.1;80.0,"presidential election, finding that 0.1% of the users in their Twitter data were responsible for sharing 80% of the identified fake news."
41,NO,trustworthy-domain concentration; already in nonmisinfo_concentration.csv as the general-news comparison,W7146985142,Little change in a changing landscape: Tracking exposure to untrustwor,True,29.0,"In 2017, the three most visited trustworthy news domains—led by the tabloid Bild at bild.de—accounted for 29% of all visits to trustworthy news."
42,NO,"literature table: Grinberg et al.'s 0.1%/80% figure, a secondary citation (the leading zero-width character defeated the prefix match on the first pass)",NEW-berriche-fakerisland2026,Faker Island. Profiling misinformation sharers on the French Twittersp,False,0.1;80.0,"​ 2019 2016 orange fake news sources records to their Twitter accounts (2) 0.1% of users were responsible for sharing 80% of fake news.​ (3) While fewer than 5% of people on the left or in the center ever shared any fake news content, 11% and 21% of people on the right and extreme right did.​ ​ (4) Age and low ratio of"
43,NO,"NewsGuard's own coverage claim about its domain list, not a finding about misinformation concentration",W7146985142,Little change in a changing landscape: Tracking exposure to untrustwor,True,95.0,NewsGuard reports to cover websites responsible for 95% of news-related social media traffic.
