key,kind,id,RULING,RULING_reason
OMISSION|2-s2.0-85086037795|CONCENTRATION|43.4,OMISSION,2-s2.0-85086037795,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85086037795|CONCENTRATION|48.4,OMISSION,2-s2.0-85086037795,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85092013677|CONTENT|21,OMISSION,2-s2.0-85092013677,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85092483799|CONTENT|51.1,OMISSION,2-s2.0-85092483799,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85095594211|CONTENT|0,OMISSION,2-s2.0-85095594211,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85105511315|CONTENT|11,OMISSION,2-s2.0-85105511315,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85109464429|CONTENT|22.0,OMISSION,2-s2.0-85109464429,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85121464977|CONTENT|15.3,OMISSION,2-s2.0-85121464977,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85127622287|CONTENT|6.4,OMISSION,2-s2.0-85127622287,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85129109345|CONTENT|74,OMISSION,2-s2.0-85129109345,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85136545530|RECALL|33.8,OMISSION,2-s2.0-85136545530,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85136545530|RECALL|7.6,OMISSION,2-s2.0-85136545530,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85159153364|SHARING|0.95,OMISSION,2-s2.0-85159153364,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85159871316|CONTENT|7,OMISSION,2-s2.0-85159871316,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85163154882|SHARING|22,OMISSION,2-s2.0-85163154882,ADD_ROW,"[Claude default, Sacha-approved 2026-09-08] 22% of 4chan /pol/ shared hostnames coded propaganda: the truth-based row; our 33/20 junk rows include sensationalism (a quality label)"
OMISSION|2-s2.0-85163186108|SHARING|11.1,OMISSION,2-s2.0-85163186108,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85163186108|SHARING|9.3,OMISSION,2-s2.0-85163186108,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85164339474|CONTENT|3.6,OMISSION,2-s2.0-85164339474,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85164694763|SHARING|14,OMISSION,2-s2.0-85164694763,ADD_ROW,"[Claude default, Sacha-approved 2026-09-08] 14% of URLs retweeted from US accounts in the vaccine debate are low-credibility: the general sharing share; the 26% we hold is within no-vax communities"
OMISSION|2-s2.0-85168520853|CONTENT|78.5,OMISSION,2-s2.0-85168520853,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85174641364|CONTENT|29,OMISSION,2-s2.0-85174641364,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85181752010|CONTENT|14.1,OMISSION,2-s2.0-85181752010,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85182846541|SHARING|1.9,OMISSION,2-s2.0-85182846541,ADD_ROW,"[Claude default, Sacha-approved 2026-09-08] 1.9% of URL-bearing COVID tweets link to low-credibility domains: the SHARING-construct quantity (share of shared links), distinct from the CONTENT share of all tweets we hold"
OMISSION|2-s2.0-85182846541|SHARING|2.9,OMISSION,2-s2.0-85182846541,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85189042631|RECALL|42.11,OMISSION,2-s2.0-85189042631,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85189042631|RECALL|69.39,OMISSION,2-s2.0-85189042631,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85189042631|RECALL|6,OMISSION,2-s2.0-85189042631,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85190817518|CONTENT|54,OMISSION,2-s2.0-85190817518,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85190817518|CONTENT|9,OMISSION,2-s2.0-85190817518,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85191807094|CONTENT|61,OMISSION,2-s2.0-85191807094,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85208681084|CONTENT|51.7,OMISSION,2-s2.0-85208681084,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85217197547|CONTENT|83.1,OMISSION,2-s2.0-85217197547,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85217829893|SHARING|17,OMISSION,2-s2.0-85217829893,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2603.11058|CONTENT|10.9,OMISSION,2603.11058,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2603.11058|CONTENT|3.5,OMISSION,2603.11058,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2603.11058|CONTENT|2.4,OMISSION,2603.11058,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2603.11058|CONTENT|4.4,OMISSION,2603.11058,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2603.11058|CONTENT|0.7,OMISSION,2603.11058,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2603.11058|CONTENT|11.2,OMISSION,2603.11058,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2603.11058|CONTENT|3.8,OMISSION,2603.11058,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|NEW-jadara-2022|RECALL|22,OMISSION,NEW-jadara-2022,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|OA-W3091627927|CONTENT|0.001,OMISSION,OA-W3091627927,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|W2901308345|CONTENT|1.51,OMISSION,W2901308345,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|W4306964957|SHARING|50.582,OMISSION,W4306964957,ADD_ROW,"[Claude default, Sacha-approved 2026-09-08] elite REACH-sharing, domain approach: 50% of 945 Brazilian political leaders shared misinformation at least once (Sacha's ledger note asked for all three approaches)"
OMISSION|W4306964957|SHARING|1.4815,OMISSION,W4306964957,ADD_ROW,"[Claude default, Sacha-approved 2026-09-08] elite REACH-sharing, Facebook-URL approach: 1.48% of 945 leaders"
OMISSION|W4407878374|CONTENT|7.4,OMISSION,W4407878374,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|W7165134935|CONTENT|2.4,OMISSION,W7165134935,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|W7165134935|CONTENT|1.6,OMISSION,W7165134935,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
MOD|2-s2.0-85193588807|10.0|topic,MODERATOR,2-s2.0-85193588807,OURS,"[Claude default, Sacha-approved 2026-09-08] moot: the study is excluded"
