dimension,item_id,stratum,study_id,perplexity,ours,px_confidence,key_value_pct,quote
construct,R087,boundary_audience_constructs,2-s2.0-105021775752,CONTENT,SHARING,4,11,"In March 2021, the share of problematic sources dropped significantly to 11%."
construct,R090,boundary_audience_constructs,2-s2.0-105029521599,CONTENT,SHARING,5,0.68,Percentage of Low-fact Posts in total: 0.68%
construct,R102,boundary_audience_constructs,2-s2.0-85074511992,CONTENT,SHARING,4,9.1,"Junk News and Information 1055 9.1 (Germany, Table 3)"
construct,R112,boundary_audience_constructs,2-s2.0-85188806397,CONCENTRATION,SHARING,5,26.06,"When looking at links pointing to untrustworthy news sites (N), the concentration for swing states - 26.06%. - is higher than for safe states - 22.25%"
construct,R137,boundary_audience_constructs,2-s2.0-85114317455,CONTENT,EXPOSURE,5,9.9,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timelines, such that a random surfer would see proportionally more junk news in the algorithmic timeline"
construct,R068,boundary_content_quality,2-s2.0-85105511315,SHARING,CONTENT,4,21,Twitter exhibits a higher ratio of low-credibility information than Facebook (32% vs. 21% on average)
construct,R069,boundary_content_quality,2-s2.0-85159598935,CONCENTRATION,CONTENT,5,18.33,the concentration for swing states - 23.47% - is higher than that for safe ones - 18.33%.
construct,R100,boundary_content_quality,2-s2.0-105019357120,SHARING,CONTENT,4,7.74,"we identify 633,585 submission hyperlinks to our set of unreliable news websites and a total of 7,546,917 submission hyperlinks to our set of reliable news websites."
construct,R111,boundary_content_quality,2-s2.0-85127039075,EXPOSURE,CONTENT,5,11.0,No of views ... Non-factual 18 482 373 (11%) ... Factual 150 964 009 (89%)
construct,R016,boundary_denominator,2-s2.0-105018276467,OTHER,RECALL,5,7.1,only a small proportion actively intervened to prevent its spread (16.2%) or report to share it (7.1%)
construct,R059,boundary_denominator,2-s2.0-85086031086,SHARING,RECALL,5,13.19,Purposeful Sharing on Facebook / Yes 13.19%
construct,R109,boundary_denominator,2-s2.0-85143274147,SHARING,RECALL,5,36.3,"the majority of respondents (63.7%) reported having never transmitting misinformation. In other words, some 36.3% of respondents were involved in transmitting misinformation at some point during the pandemic."
construct,R117,boundary_denominator,2-s2.0-85086031086,SHARING,RECALL,5,28.67,Accidental Sharing on WhatsApp / Yes 28.67%
construct,R135,boundary_denominator,2-s2.0-85169326292,SHARING,RECALL,5,14,we found that 14 percent of respondents reported knowingly sharing misinformation
denom_class,R010,baseline_random,OA-W3113799821,ALL_MEDIA,TOPICAL,3,1,we use search log analysis to investigate the extent ... we find that only around 1% of queries [are misinformation]
denom_class,R013,baseline_random,W4281770633,TOPICAL,CURATED_SAMPLE,4,50,We used 150 accounts because they were also responsible for almost exactly half of the retweets and quote tweets in the data
denom_class,R014,baseline_random,2-s2.0-85148963619,TOPICAL,SINGLE_SOURCE,5,61,"CHD accounted for approximately 18% of all tweets linking to low-credibility sources, whereas the aggregated 20 most shared sources generated approximately 61%"
denom_class,R027,baseline_random,2-s2.0-85194023903,ALL_MEDIA,CURATED_SAMPLE,5,81,"Removing the top 1,000 superspreaders (0.25% of the accounts who posted during the evaluation period) eliminates 73-78% of the low-credibility content (optimal: 81%)."
denom_class,R029,baseline_random,2-s2.0-85105511315,ALL_MEDIA,CURATED_SAMPLE,5,70,verified accounts yield almost 40% of low-credibility retweets on Twitter and almost 70% of reshares on Facebook
denom_class,R030,baseline_random,NEW-moreno-jmirderma,POPULATION,AT_RISK_SAMPLE,4,43,"Approximately half (20/46, 43%) of participants reported seeing social media posts from tanning salons about Vitamin D"
denom_class,R040,baseline_random,2-s2.0-85105511315,ALL_MEDIA,CURATED_SAMPLE,5,40,verified accounts yield almost 40% of low-credibility retweets on Twitter and almost 70% of reshares on Facebook
denom_class,R046,baseline_random,W7146985142,ALL_MEDIA,CURATED_SAMPLE,5,23,"in 2024 the top three most visited trustworthy domains account for 32% of visits to trustworthy news, while the leading untrustworthy sources—nius.de, reitschuster.de, and politikversagen.net—account for 23% of visits to untrustworthy news."
denom_class,R049,baseline_random,2-s2.0-85078014559,ALL_MEDIA,SINGLE_SOURCE,4,95,"Top-10 sources, which account for over 95% of total tweets"
denom_class,R060,baseline_random,W4281770633,POLITICAL_NEWS,CURATED_SAMPLE,5,28.6,"The top 35 accounts alone were responsible for 9,304,879 out of 32,581,921—or 28.6%—of all 'sows doubt' connected retweets and quote tweets we collected"
denom_class,R063,baseline_random,2-s2.0-105027856675,ALL_MEDIA,,5,53.23,"Table 1: Italy 5888 misinfo (53.23% of the 4-country total 11,062)."
denom_class,R079,baseline_random,NEW-jadara-2022,POPULATION,SURVEY_SELFREPORT,5,81.6,"Furthermore, according to the poll, 81.6 percent of respondents had read Covid-19-related material that turned out to be untrue."
denom_class,R085,baseline_random,W7146985142,ALL_MEDIA,CURATED_SAMPLE,5,49,"the top three domains classified as untrustworthy (NewsGuard score below 60), including rt.de (RT, formerly Russia Today), made up 49% of visits to untrustworthy news in our sample."
denom_class,R092,baseline_random,2-s2.0-85159153364,ALL_MEDIA,TOPICAL,5,68,generate over 68% of all retweets linking to these [Russian propaganda] websites
denom_class,R120,baseline_random,W4407878374,ALL_MEDIA,CURATED_SAMPLE,5,75,25% of the most active users contribute to approximately 75% of the misinformation content
denom_class,R122,baseline_random,2-s2.0-85148963619,ALL_MEDIA,TOPICAL,5,35,Tweets by a small group of approximately 800 “superspreaders” verified by Twitter accounted for approximately 35% of all reshares of misinformation on an average day
denom_class,R128,baseline_random,2-s2.0-85194023903,ALL_MEDIA,CURATED_SAMPLE,5,38.1,"removing the top 10 superspreaders eliminates 34.6% and 34.3% of the low-credibility content based on h-index and Influence, respectively (optimal: 38.1%). In other words, 0.003% of the accounts active during the evaluation period posted low-credibility content that received over 34% of all retweets"
denom_class,R141,baseline_random,2-s2.0-85159153364,ALL_MEDIA,TOPICAL,5,80,they generate over 80% of all interactions around links to Russian propaganda and low-credibility information websites
denom_class,R002,boundary_audience_constructs,2-s2.0-85194075145,ALL_MEDIA,POLITICAL_NEWS,5,5.1,On average 5.1% of news posts users encounter on Facebook are from sources known to post misinformation repeatedly.
denom_class,R005,boundary_audience_constructs,2-s2.0-85164694763,CURATED_SAMPLE,TOPICAL,5,26,26% of the domains shared by no-vax communities came from lists of known low-credibility domains versus only 2.4% of those cited by the other users (P<.001)
denom_class,R007,boundary_audience_constructs,2-s2.0-85059494932,POLITICAL_NEWS,POPULATION,4,12.0,the share going to fake news and extremely biased news is equal to 12% ... users posting fake and extremely biased news are around twice more active in average
denom_class,R009,boundary_audience_constructs,2-s2.0-85121019757,ALL_MEDIA,SINGLE_SOURCE,5,12,"From 1/2017-12/2018, an average of 12% of clicks per month went to fake news content, 32% went to not-fake news content, and 56% went to other, not-news content."
denom_class,R023,boundary_audience_constructs,2-s2.0-105027856675,ALL_MEDIA,POLITICAL_NEWS,4,4.9,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).
denom_class,R032,boundary_audience_constructs,2-s2.0-85089622030,CURATED_SAMPLE,TOPICAL,5,23.1,"Links that contained fake news were shared 2,352,585 times, accounting for about 23.1% of the total shares of all the articles reviewed."
denom_class,R044,boundary_audience_constructs,2-s2.0-85105454127,ALL_MEDIA,POLITICAL_NEWS,5,4,"Of the tweeted news links, 3,269 (≈ 4%) come from websites with a history of publishing fake news"
denom_class,R054,boundary_audience_constructs,2-s2.0-105027856675,ALL_MEDIA,POLITICAL_NEWS,4,0.4,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).
denom_class,R065,boundary_audience_constructs,2-s2.0-85081743293,ALL_MEDIA,POLITICAL_NEWS,5,5.9,articles on these factually dubious websites represented an average of 5.9% of all of the articles that Americans read on websites that focused on hard-news topics during this period (95% CI = 5.1-6.7%).
denom_class,R075,boundary_audience_constructs,2-s2.0-85095594211,TOPICAL,CURATED_SAMPLE,5,36,the percentage of their shares reached 36% (n = 1 765 889) of total number of shares (n = 4 904 160) on social media
denom_class,R087,boundary_audience_constructs,2-s2.0-105021775752,ALL_MEDIA,POLITICAL_NEWS,4,11,"In March 2021, the share of problematic sources dropped significantly to 11%."
denom_class,R090,boundary_audience_constructs,2-s2.0-105029521599,ALL_MEDIA,POLITICAL_NEWS,5,0.68,Percentage of Low-fact Posts in total: 0.68%
denom_class,R099,boundary_audience_constructs,SEED-cordonnier2021,ALL_MEDIA,POLITICAL_NEWS,5,5,"Among all participants, 5% of connected time dedicated to information was spent consulting information sources considered to be unreliable"
denom_class,R101,boundary_audience_constructs,2-s2.0-85164694763,CURATED_SAMPLE,TOPICAL,5,2.4,26% of the domains shared by no-vax communities ... versus only 2.4% of those cited by the other users (P<.001)
denom_class,R102,boundary_audience_constructs,2-s2.0-85074511992,ALL_MEDIA,POLITICAL_NEWS,4,9.1,"Junk News and Information 1055 9.1 (Germany, Table 3)"
denom_class,R113,boundary_audience_constructs,2-s2.0-85066887935,ALL_MEDIA,POLITICAL_NEWS,5,13.1,junk news sources account for 13.1% of all links in our dataset (see Table 1).
denom_class,R118,boundary_audience_constructs,2-s2.0-85121019757,ALL_MEDIA,SINGLE_SOURCE,5,2.5,"we found that 2.5% of clicks were to fake news, 24% of clicks were to not-fake news, and 74% of clicks were to not-news sites"
denom_class,R137,boundary_audience_constructs,2-s2.0-85114317455,ALL_MEDIA,SINGLE_SOURCE,5,9.9,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timelines, such that a random surfer would see proportionally more junk news in the algorithmic timeline"
denom_class,R008,boundary_content_quality,2-s2.0-85129456715,CURATED_SAMPLE,TOPICAL,5,0,"Among 120 articles that were shared 6,189,187 times in total during the analyzed period ... No myths or misinformation were found in the most frequently shared articles."
denom_class,R011,boundary_content_quality,2603.11058,CURATED_SAMPLE,TOPICAL,5,1.3,"Baseline estimates vary across platforms, with TikTok exhibiting the highest prevalence at 20.1% [17.9-22.6], followed by Facebook at 11.9% [10.2-13.9] and X/Twitter at 8.7% [7.3-10.4]. Instagram (6.7% [5.4-8.2]) and YouTube (6.8% [5.4-8.4]) show comparatively lower prevalence. LinkedIn has the lowe"
denom_class,R018,boundary_content_quality,2-s2.0-85159153364,ALL_MEDIA,TOPICAL,5,0.4,"80,066 posts (0.4% of all posts) sharing links to low-credibility news websites"
denom_class,R043,boundary_content_quality,2-s2.0-85192635397,ALL_MEDIA,POLITICAL_NEWS,5,5.06,"UK 8,201,352 ... Reliable 7,786,239 ... Questionable tweets 415,113"
denom_class,R048,boundary_content_quality,W3189543626,CURATED_SAMPLE,TOPICAL,5,1.7,Hoaxes and conspiracy theories were detected in 2 videos ... Hoaxes/conspiracy theories were identified in 1.7% of the videos.
denom_class,R051,boundary_content_quality,2-s2.0-85123475265,CURATED_SAMPLE,TOPICAL,5,41.7,"Of tweets coded as presenting information, 41.7% (n=377) contained at least one piece of potential misinformation"
denom_class,R062,boundary_content_quality,2-s2.0-85173224200,CURATED_SAMPLE,SINGLE_SOURCE,5,45,"los 45 tuits con alguna categoria de mis o disinformation [out of 100 Bolsonaro tweets, of which 99 analysed]"
denom_class,R064,boundary_content_quality,2-s2.0-84964787366,CURATED_SAMPLE,TOPICAL,5,2,"Of 245 tweets in Batch 1 and 87 tweets in Batch 2, alternative health information ... accounted for six tweets in Batch 1 and two tweets in Batch 2"
denom_class,R066,boundary_content_quality,2-s2.0-105002578811,CURATED_SAMPLE,TOPICAL,4,65,Sixty-five percent (91 of 139) of videos contained information reinforcing at least one common misconception regarding eECRB
denom_class,R069,boundary_content_quality,2-s2.0-85159598935,POLITICAL_NEWS,TOPICAL,5,18.33,the concentration for swing states - 23.47% - is higher than that for safe ones - 18.33%.
denom_class,R071,boundary_content_quality,2-s2.0-85159486270,CURATED_SAMPLE,TOPICAL,5,70,"Of the 100 videos, 70 contained nonfactual information regarding food safety techniques for washing fruits and vegetables or storing produce at room temperature."
denom_class,R073,boundary_content_quality,2-s2.0-85167574647,CURATED_SAMPLE,TOPICAL,5,6,"The video content was labeled as useful in 84% of videos, misleading in 6%, irrelevant in 6%, and depicted personal experience in 4% of videos."
denom_class,R083,boundary_content_quality,NEW-jung-icwsm,CURATED_SAMPLE,TOPICAL,5,31.55,"we observe that nearly a third of the top-10 search results were misinformative: 31.55% of the search results supported COVID-19 misinformation, 36.03% were opposing, and 32.42% belonged to the remaining classes."
denom_class,R086,boundary_content_quality,2-s2.0-85065905229,CURATED_SAMPLE,TOPICAL,5,30,A total of 15/50 articles (30%) were classified as inaccurate or misleading
denom_class,R088,boundary_content_quality,PMID-41189872,CURATED_SAMPLE,TOPICAL,4,50,"Twenty-five videos claimed that chiropractic manipulation could ""fix"" the Eustachian tube, and 14 videos (28%) asserted nerve correction; none mentioned antibiotics or tympanostomy tubes."
denom_class,R089,boundary_content_quality,2-s2.0-105019627019,CURATED_SAMPLE,TOPICAL,4,20,"Of 300 videos pulled, 251 met inclusion criteria ... 50 (20%) as Misleading"
denom_class,R091,boundary_content_quality,2-s2.0-85107390682,CURATED_SAMPLE,TOPICAL,5,5,"Only 5% of the posts contained potentially harmful information, but 35% of all groups or pages contained such posts"
denom_class,R100,boundary_content_quality,2-s2.0-105019357120,ALL_MEDIA,POLITICAL_NEWS,4,7.74,"we identify 633,585 submission hyperlinks to our set of unreliable news websites and a total of 7,546,917 submission hyperlinks to our set of reliable news websites."
denom_class,R105,boundary_content_quality,2-s2.0-85168520853,CURATED_SAMPLE,TOPICAL,5,26.1,"At the level of statements, 401/1534 (26.1%) contained misinformation."
denom_class,R108,boundary_content_quality,2-s2.0-105014632937,CURATED_SAMPLE,TOPICAL,4,38.0,"Sensationalist content attracted higher engagement (30.0%) but had lower credibility, with misinformation prevalent in 38.0% of analysed videos."
denom_class,R110,boundary_content_quality,W4414446446,CURATED_SAMPLE,POPULATION,5,4.85,"It finds 77 matches in 67 episodes, amounting to 4.85% of the 1382 episodes during the sampling period between June 2023 and June 2024."
denom_class,R111,boundary_content_quality,2-s2.0-85127039075,CURATED_SAMPLE,TOPICAL,5,11.0,No of views ... Non-factual 18 482 373 (11%) ... Factual 150 964 009 (89%)
denom_class,R127,boundary_content_quality,2-s2.0-85159153364,ALL_MEDIA,TOPICAL,5,0.4,"997,886 tweets sharing links to low-credibility news websites (0.4% of all tweets)"
denom_class,R134,boundary_content_quality,2-s2.0-85136139565,CURATED_SAMPLE,TOPICAL,5,47,"the quality of global articles on spiders was exceedingly poor, with 47% of articles containing errors and 43% being scored as sensationalistic by spider experts"
denom_class,R142,boundary_content_quality,2-s2.0-84985993999,CURATED_SAMPLE,TOPICAL,5,74,Misinformation was present in 74% (154) of the articles
denom_class,R143,boundary_content_quality,2-s2.0-85021701404,CURATED_SAMPLE,TOPICAL,5,26.0,"A minority of patient testimonial videos reported misinformation (n=6, 26%). ... Misinformation reported in the videos was rare (n=6, 26%) but included mention of the fact that the device migrated 'deeper in the skin' over time and that it can cause liver damage or breast lumps."
denom_class,R145,boundary_content_quality,2-s2.0-85177420309,CURATED_SAMPLE,TOPICAL,5,30,Most problematic ... Serbia and Romania ... almost one out of three search results (Serbia)
denom_class,R028,boundary_denominator,2-s2.0-85105454127,POLITICAL_NEWS,POPULATION,5,75,1% of the panelists are responsible for sharing about 75% of all links to fake news publishers
denom_class,R080,boundary_denominator,2-s2.0-85078014559,ALL_MEDIA,POPULATION,4,90,approximately 20% of the community (~4k users) accounts for more than 90% of total tweets (~330k)
denom_class,R107,boundary_denominator,2-s2.0-85160248068,ALL_MEDIA,POPULATION,5,90,31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% in 2020)
denom_class,R119,boundary_denominator,2-s2.0-85160248068,ALL_MEDIA,POPULATION,5,90,31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% in 2020)
denom_class,R125,boundary_denominator,2-s2.0-85195353413,ALL_MEDIA,POPULATION,5,24.13,These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our sample during December 2020
breadth,R063,baseline_random,2-s2.0-105027856675,UNRELIABLE_SOURCE,,5,53.23,"Table 1: Italy 5888 misinfo (53.23% of the 4-country total 11,062)."
breadth,R079,baseline_random,NEW-jadara-2022,FALSE,MISINFO_BROAD,5,81.6,"Furthermore, according to the poll, 81.6 percent of respondents had read Covid-19-related material that turned out to be untrue."
breadth,R003,boundary_audience_constructs,2-s2.0-85114317455,MISLEADING,UNRELIABLE_SOURCE,5,6.9,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timelines"
breadth,R015,boundary_audience_constructs,2-s2.0-85145956359,FABRICATED,UNRELIABLE_SOURCE,4,70,We find that 70% (n = 1042) of respondents were exposed to one or more posts from a foreign influence campaign between April and November 2016
breadth,R044,boundary_audience_constructs,2-s2.0-85105454127,FABRICATED,UNRELIABLE_SOURCE,5,4,"Of the tweeted news links, 3,269 (≈ 4%) come from websites with a history of publishing fake news"
breadth,R087,boundary_audience_constructs,2-s2.0-105021775752,MISLEADING,UNRELIABLE_SOURCE,4,11,"In March 2021, the share of problematic sources dropped significantly to 11%."
breadth,R102,boundary_audience_constructs,2-s2.0-85074511992,MISLEADING,UNRELIABLE_SOURCE,4,9.1,"Junk News and Information 1055 9.1 (Germany, Table 3)"
breadth,R113,boundary_audience_constructs,2-s2.0-85066887935,MISLEADING,UNRELIABLE_SOURCE,5,13.1,junk news sources account for 13.1% of all links in our dataset (see Table 1).
breadth,R124,boundary_audience_constructs,2-s2.0-85074596916,MISLEADING,UNRELIABLE_SOURCE,4,17.4,"Junk News and Information 486,446 17.4 [Table 2, US Presidential Election]"
breadth,R137,boundary_audience_constructs,2-s2.0-85114317455,MISLEADING,UNRELIABLE_SOURCE,5,9.9,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timelines, such that a random surfer would see proportionally more junk news in the algorithmic timeline"
breadth,R011,boundary_content_quality,2603.11058,MISLEADING,FALSE,5,1.3,"Baseline estimates vary across platforms, with TikTok exhibiting the highest prevalence at 20.1% [17.9-22.6], followed by Facebook at 11.9% [10.2-13.9] and X/Twitter at 8.7% [7.3-10.4]. Instagram (6.7% [5.4-8.2]) and YouTube (6.8% [5.4-8.4]) show comparatively lower prevalence. LinkedIn has the lowe"
breadth,R036,boundary_content_quality,2-s2.0-105038091134,FALSE,MISLEADING,5,27.5,"Of 5818 threads, 3830 (65.8%) were identified as true information, and 1601 (27.5%) contained misinformation"
breadth,R041,boundary_content_quality,2-s2.0-85129632573,FALSE,LOW_QUALITY,5,35.8,"A higher percentage of fake news (193,188/512,435, 37.7%; 95% CI 37.6%-37.8%) was found during the public vaccination stage, than during the nonpublic vaccination stage (99,791/278,748, 35.8%; 95% CI 35.6%-36.0%)"
breadth,R066,boundary_content_quality,2-s2.0-105002578811,FALSE,MISLEADING,4,65,Sixty-five percent (91 of 139) of videos contained information reinforcing at least one common misconception regarding eECRB
breadth,R077,boundary_content_quality,2603.11058,MISLEADING,FALSE,5,5.0,"French 17.5% [15.9-19.3], Slovak 7.6% [6.5-8.8], Polish 6.0% [5.0-7.2], Spanish 5.0% [4.0-6.2] (Table 2)"
breadth,R083,boundary_content_quality,NEW-jung-icwsm,MISLEADING,FALSE,5,31.55,"we observe that nearly a third of the top-10 search results were misinformative: 31.55% of the search results supported COVID-19 misinformation, 36.03% were opposing, and 32.42% belonged to the remaining classes."
breadth,R088,boundary_content_quality,PMID-41189872,FALSE,MISLEADING,4,50,"Twenty-five videos claimed that chiropractic manipulation could ""fix"" the Eustachian tube, and 14 videos (28%) asserted nerve correction; none mentioned antibiotics or tympanostomy tubes."
breadth,R091,boundary_content_quality,2-s2.0-85107390682,FALSE,MISLEADING,5,5,"Only 5% of the posts contained potentially harmful information, but 35% of all groups or pages contained such posts"
breadth,R103,boundary_content_quality,2-s2.0-85125507154,FALSE,MISLEADING,5,52,"Of the 100 videos meeting inclusion criteria, 52% (n = 52) were classified as misleading, 27% (n = 27) as personal experience, and 21% (n = 21) as useful"
breadth,R116,boundary_content_quality,2603.11058,MISLEADING,FALSE,5,6.0,"French 17.5% [15.9-19.3], Slovak 7.6% [6.5-8.8], Polish 6.0% [5.0-7.2], Spanish 5.0% [4.0-6.2] (Table 2)"
breadth,R145,boundary_content_quality,2-s2.0-85177420309,MISLEADING,FALSE,5,30,Most problematic ... Serbia and Romania ... almost one out of three search results (Serbia)
breadth,R016,boundary_denominator,2-s2.0-105018276467,FABRICATED,FALSE,5,7.1,only a small proportion actively intervened to prevent its spread (16.2%) or report to share it (7.1%)
breadth,R019,boundary_denominator,NEW-vanantwerpen-esm,FALSE,MISLEADING,5,50.41,"within our sample, 50.41% of participants (n = 62) reported seeing election-related misinformation during the 5-days surrounding the election."
breadth,R028,boundary_denominator,2-s2.0-85105454127,FABRICATED,UNRELIABLE_SOURCE,5,75,1% of the panelists are responsible for sharing about 75% of all links to fake news publishers
breadth,R047,boundary_denominator,2-s2.0-85181200454,FALSE,MISLEADING,4,43.1,and politics (Yes = 43.1%; Denmark = 19.9% to Kenya = 63.4%)
breadth,R058,boundary_denominator,NEW-vanantwerpen-esm,FALSE,MISLEADING,5,17.72,"On average, participants reported 2.37 instances of misinformation across the ESM period, and in 17.72% of surveys answered."
breadth,R059,boundary_denominator,2-s2.0-85086031086,MISLEADING,FALSE,5,13.19,Purposeful Sharing on Facebook / Yes 13.19%
breadth,R067,boundary_denominator,2-s2.0-85145956359,FABRICATED,UNRELIABLE_SOURCE,5,70,only 1% of users accounted for 70% of exposures
breadth,R072,boundary_denominator,SEED-allcott2017,FABRICATED,FALSE,5,1.2,"After weighting for national representativeness, 15 percent of survey respondents recalled seeing the Fake stories ... about 14 percent of people report seeing the placebo stories ... We estimate that the average Fake headline was 1.2 percentage points more likely to be seen and recalled than the av"
breadth,R080,boundary_denominator,2-s2.0-85078014559,MISLEADING,UNRELIABLE_SOURCE,4,90,approximately 20% of the community (~4k users) accounts for more than 90% of total tweets (~330k)
breadth,R117,boundary_denominator,2-s2.0-85086031086,MISLEADING,FALSE,5,28.67,Accidental Sharing on WhatsApp / Yes 28.67%
