item_id,stratum,study_id,key_construct,key_denom_class,key_breadth,key_value_pct,key_quote
R012,boundary_content_quality,2-s2.0-105032253077,CONTENT,topical,false,19.3,"Misinformation comprised 19.3% of posts, spreading 2.4 times faster than factual content"
R013,baseline_random,W4281770633,CONCENTRATION,curated_sample,misleading,50,We used 150 accounts because they were also responsible for almost exactly half of the retweets and quote tweets in the data
R014,baseline_random,2-s2.0-85148963619,CONCENTRATION,single_source,unreliable_source,61,"CHD accounted for approximately 18% of all tweets linking to low-credibility sources, whereas the aggregated 20 most shared sources generated approximately 61%"
R015,boundary_audience_constructs,2-s2.0-85145956359,REACH,population,unreliable_source,70,We find that 70% (n = 1042) of respondents were exposed to one or more posts from a foreign influence campaign between April and November 2016
R016,boundary_denominator,2-s2.0-105018276467,RECALL,population,false,7.1,only a small proportion actively intervened to prevent its spread (16.2%) or report to share it (7.1%)
R017,boundary_content_quality,2-s2.0-85159889148,CONTENT,topical,false,100,88% of YT videos and 100% of TK videos had moderate to high levels of misinformation based on screening guidelines
R018,boundary_content_quality,2-s2.0-85159153364,CONTENT,topical,unreliable_source,0.4,"80,066 posts (0.4% of all posts) sharing links to low-credibility news websites"
R019,boundary_denominator,NEW-vanantwerpen-esm,RECALL,population,misleading,50.41,"within our sample, 50.41% of participants (n = 62) reported seeing election-related misinformation during the 5-days surrounding the election."
R020,boundary_audience_constructs,2-s2.0-85209547248,REACH,population,unreliable_source,3.7,3.7% (95% CI = 2.1-5.4%) of American adults were exposed to at least one QAnon website
R021,boundary_denominator,2-s2.0-85199446608,RECALL,population,false,53.33,80 (53.33%) ... Omicron—COVID-19 vaccines will not protect against the new Omicron variant ... (n = 150)
R022,boundary_audience_constructs,2-s2.0-85189974015,SHARING,population,fabricated,13.8,About 13.8% of respondents shared the article on Facebook
R023,boundary_audience_constructs,2-s2.0-105027856675,SHARING,political_news,unreliable_source,4.9,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).
R024,boundary_content_quality,2-s2.0-105009372730,CONTENT,topical,false,38,"social media also exhibited the highest misinformation prevalence (38%), whereas official sources maintained near-perfect accuracy (98% compliance with scientific evidence)"
R025,boundary_audience_constructs,2-s2.0-85083323285,EXPOSURE,all_media,unreliable_source,0.15,"Third, fake news comprises only 0.15% of Americans' daily media diet ... comprising only about one-tenth of 1% of Americans' overall daily media diet"
R026,boundary_audience_constructs,2-s2.0-85209206311,EXPOSURE,all_media,low_quality,0.1461,locations with two or more local papers (median=1461)
R027,baseline_random,2-s2.0-85194023903,CONCENTRATION,curated_sample,unreliable_source,81,"Removing the top 1,000 superspreaders (0.25% of the accounts who posted during the evaluation period) eliminates 73-78% of the low-credibility content (optimal: 81%)."
R028,boundary_denominator,2-s2.0-85105454127,CONCENTRATION,population,unreliable_source,75,1% of the panelists are responsible for sharing about 75% of all links to fake news publishers
R029,baseline_random,2-s2.0-85105511315,OTHER,curated_sample,unreliable_source,70,verified accounts yield almost 40% of low-credibility retweets on Twitter and almost 70% of reshares on Facebook
R030,baseline_random,NEW-moreno-jmirderma,RECALL,at_risk_sample,false,43,"Approximately half (20/46, 43%) of participants reported seeing social media posts from tanning salons about Vitamin D"
R031,boundary_denominator,2-s2.0-85172813494,RECALL,population,misleading,29,"Just one of the narratives shows limited reach (N1-Covid&WHO), being heard by 29% of respondents."
R032,boundary_audience_constructs,2-s2.0-85089622030,SHARING,topical,false,23.1,"Links that contained fake news were shared 2,352,585 times, accounting for about 23.1% of the total shares of all the articles reviewed."
R033,baseline_random,OA-W2992531903,OTHER,single_source,fabricated,62.2,"in October 2017, 62.2% of Retenews24 users also visited the website of Il Corriere della Sera, and 52.3% used La Repubblica"
R034,boundary_content_quality,2-s2.0-85200952814,CONTENT,topical,false,34.7,"most of the content was considered partially accurate or uninformative (63 [43.8%] and 50 [34.7%], respectively)"
R035,boundary_audience_constructs,2-s2.0-105019603181,REACH,population,unreliable_source,6.7,"The least exposed types were COVID-19 (6.7% exposed, 95% CI [5.4, 8.3])..."
R036,boundary_content_quality,2-s2.0-105038091134,CONTENT,topical,misleading,27.5,"Of 5818 threads, 3830 (65.8%) were identified as true information, and 1601 (27.5%) contained misinformation"
R037,boundary_content_quality,2-s2.0-105007027777,CONTENT,topical,misleading,9.16,the dataset was categorized into misinformation (n=512) and not-misinformation (n=5082)... the highest percentage of not-misinformation (91%) in relation to misinformation (9%)
R038,boundary_content_quality,2-s2.0-85212052138,CONTENT,topical,misleading,44,A total of 220 posts (44.0%) classified misinformation
R039,boundary_audience_constructs,W4306964957,SHARING,political_news,false,0.0104,"Using our text-based approach, about 0.01% (421) of politicians' posts contain false stories ... [Table 2] Text 0.0104"
R040,baseline_random,2-s2.0-85105511315,OTHER,curated_sample,unreliable_source,40,verified accounts yield almost 40% of low-credibility retweets on Twitter and almost 70% of reshares on Facebook
R041,boundary_content_quality,2-s2.0-85129632573,CONTENT,topical,low_quality,35.8,"A higher percentage of fake news (193,188/512,435, 37.7%; 95% CI 37.6%-37.8%) was found during the public vaccination stage, than during the nonpublic vaccination stage (99,791/278,748, 35.8%; 95% CI 35.6%-36.0%)"
R042,boundary_audience_constructs,2-s2.0-85142396682,SHARING,political_news,unreliable_source,0.05,"Tory 0.25%, Labour 0.05%, difference 0.19%, 0.08 SD"
R043,boundary_content_quality,2-s2.0-85192635397,CONTENT,political_news,unreliable_source,5.06,"UK 8,201,352 ... Reliable 7,786,239 ... Questionable tweets 415,113"
R044,boundary_audience_constructs,2-s2.0-85105454127,SHARING,political_news,unreliable_source,4,"Of the tweeted news links, 3,269 (≈ 4%) come from websites with a history of publishing fake news"
R045,boundary_content_quality,2-s2.0-85215303159,CONTENT,topical,unreliable_source,12.6,The analysis of the prevalence of misinformation on vaccines reveals that a significant portion of vaccine-related information available on the four social media analyzed originates from questionable sources.
R046,baseline_random,W7146985142,CONCENTRATION,curated_sample,unreliable_source,23,"in 2024 the top three most visited trustworthy domains account for 32% of visits to trustworthy news, while the leading untrustworthy sources—nius.de, reitschuster.de, and politikversagen.net—account for 23% of visits to untrustworthy news."
R047,boundary_denominator,2-s2.0-85181200454,RECALL,population,misleading,43.1,and politics (Yes = 43.1%; Denmark = 19.9% to Kenya = 63.4%)
R048,boundary_content_quality,W3189543626,CONTENT,topical,fabricated,1.7,Hoaxes and conspiracy theories were detected in 2 videos ... Hoaxes/conspiracy theories were identified in 1.7% of the videos.
R049,baseline_random,2-s2.0-85078014559,CONCENTRATION,single_source,unreliable_source,95,"Top-10 sources, which account for over 95% of total tweets"
R050,boundary_audience_constructs,2-s2.0-85188806397,SHARING,political_news,unreliable_source,22.25,for safe states - 22.25%. The concentration of trustworthy links (T) is higher for safe states - 50.66% vs 28.30% for swing states
R051,boundary_content_quality,2-s2.0-85123475265,CONTENT,topical,misleading,41.7,"Of tweets coded as presenting information, 41.7% (n=377) contained at least one piece of potential misinformation"
R052,boundary_denominator,2-s2.0-85124307830,RECALL,population,false,27.4,"Sunbath seen by 54.7%, Water by 44.3%, Vinegar by 34.9%, and Dryer by 27.4% of the respondents"
R053,boundary_audience_constructs,W7146985142,REACH,population,unreliable_source,17,"During the longer 2017 tracking window, 17% of participants visited at least one untrustworthy news site, compared to just 8% in the shorter 2024 period"
R054,boundary_audience_constructs,2-s2.0-105027856675,SHARING,political_news,unreliable_source,0.4,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).
R055,boundary_content_quality,2-s2.0-105009085931,QUALITY,topical,low_quality,11.8,only 33 posts (11.8%) were rated as very high quality
R056,boundary_audience_constructs,2-s2.0-85095575703,SHARING,political_news,unreliable_source,13.94,"It appears that 86.06 % (114,679) of the content shared within our sample set has been shared from reliable sources (Table 2)."
R057,baseline_random,OA-W2992531903,OTHER,single_source,fabricated,45.4,"45.4% of Sante+ Magazine users also used Le Figaro in October 2017, and 34% used Le Monde"
R058,boundary_denominator,NEW-vanantwerpen-esm,RECALL,population,misleading,17.72,"On average, participants reported 2.37 instances of misinformation across the ESM period, and in 17.72% of surveys answered."
R059,boundary_denominator,2-s2.0-85086031086,RECALL,population,false,13.19,Purposeful Sharing on Facebook / Yes 13.19%
R060,baseline_random,W4281770633,CONCENTRATION,curated_sample,misleading,28.6,"The top 35 accounts alone were responsible for 9,304,879 out of 32,581,921—or 28.6%—of all 'sows doubt' connected retweets and quote tweets we collected"
R061,boundary_audience_constructs,2-s2.0-105039619015,REACH,population,unreliable_source,39.1,the 39.1% (95% CI = 36.4-41.8%) of Americans who were exposed to misinformation websites
R062,boundary_content_quality,2-s2.0-85173224200,CONTENT,single_source,misleading,45,"los 45 tuits con alguna categoria de mis o disinformation [out of 100 Bolsonaro tweets, of which 99 analysed]"
R063,baseline_random,2-s2.0-105027856675,OTHER,,,53.23,"Table 1: Italy 5888 misinfo (53.23% of the 4-country total 11,062)."
R064,boundary_content_quality,2-s2.0-84964787366,CONTENT,topical,false,2,"Of 245 tweets in Batch 1 and 87 tweets in Batch 2, alternative health information ... accounted for six tweets in Batch 1 and two tweets in Batch 2"
R065,boundary_audience_constructs,2-s2.0-85081743293,EXPOSURE,political_news,unreliable_source,5.9,articles on these factually dubious websites represented an average of 5.9% of all of the articles that Americans read on websites that focused on hard-news topics during this period (95% CI = 5.1-6.7%).
R066,boundary_content_quality,2-s2.0-105002578811,CONTENT,topical,misleading,65,Sixty-five percent (91 of 139) of videos contained information reinforcing at least one common misconception regarding eECRB
R067,boundary_denominator,2-s2.0-85145956359,CONCENTRATION,population,unreliable_source,70,only 1% of users accounted for 70% of exposures
R068,boundary_content_quality,2-s2.0-85105511315,CONTENT,all_media,unreliable_source,21,Twitter exhibits a higher ratio of low-credibility information than Facebook (32% vs. 21% on average)
R069,boundary_content_quality,2-s2.0-85159598935,CONTENT,topical,unreliable_source,18.33,the concentration for swing states - 23.47% - is higher than that for safe ones - 18.33%.
R070,boundary_denominator,2-s2.0-85199446608,RECALL,population,false,58.90,96 (58.90%) ... Vaccine doesn't last ... (n = 163)
R071,boundary_content_quality,2-s2.0-85159486270,CONTENT,topical,false,70,"Of the 100 videos, 70 contained nonfactual information regarding food safety techniques for washing fruits and vegetables or storing produce at room temperature."
R072,boundary_denominator,SEED-allcott2017,RECALL,population,false,1.2,"After weighting for national representativeness, 15 percent of survey respondents recalled seeing the Fake stories ... about 14 percent of people report seeing the placebo stories ... We estimate that the average Fake headline was 1.2 percentage points more likely to be seen and recalled than the average Placebo headline"
R073,boundary_content_quality,2-s2.0-85167574647,CONTENT,topical,misleading,6,"The video content was labeled as useful in 84% of videos, misleading in 6%, irrelevant in 6%, and depicted personal experience in 4% of videos."
R074,boundary_audience_constructs,2-s2.0-105019603181,REACH,population,unreliable_source,12.7,"the most consumed type of misinformation articles was about U.S. Electoral Politics, with 12.7% (95% CI [10.9, 14.7]) of participants being exposed to at least one such article."
R075,boundary_audience_constructs,2-s2.0-85095594211,SHARING,curated_sample,misleading,36,the percentage of their shares reached 36% (n = 1 765 889) of total number of shares (n = 4 904 160) on social media
R076,boundary_content_quality,2-s2.0-105018832745,CONTENT,topical,false,10.1,Most scleritis-related TikToks are from non-medical professionals with 10.1% containing misinformation.
R077,boundary_content_quality,2603.11058,CONTENT,curated_sample,false,5.0,"French 17.5% [15.9-19.3], Slovak 7.6% [6.5-8.8], Polish 6.0% [5.0-7.2], Spanish 5.0% [4.0-6.2] (Table 2)"
R078,boundary_audience_constructs,2-s2.0-85142396682,SHARING,political_news,unreliable_source,0.18,"For Germany, members of the CDU/CSU post 6.3 times more links to such websites than members of the SPD (CDU/CSU 0.18%, SPD 0.03%, difference 0.15%, 0.04 SD)"
R079,baseline_random,NEW-jadara-2022,RECALL,survey_selfreport,misinfo_broad,81.6,"Furthermore, according to the poll, 81.6 percent of respondents had read Covid-19-related material that turned out to be untrue."
R080,boundary_denominator,2-s2.0-85078014559,CONCENTRATION,population,unreliable_source,90,approximately 20% of the community (~4k users) accounts for more than 90% of total tweets (~330k)
R081,boundary_content_quality,2-s2.0-105019225029,QUALITY,topical,low_quality,76.0,"Most videos were of low to moderate quality, with only 24% rated as high quality"
R082,boundary_denominator,2-s2.0-85118260096,RECALL,population,false,17.0,exposure to claims that 'drinking tea can protect against COVID-19' (17.0%; 242 of 1501)
R083,boundary_content_quality,NEW-jung-icwsm,CONTENT,topical,false,31.55,"we observe that nearly a third of the top-10 search results were misinformative: 31.55% of the search results supported COVID-19 misinformation, 36.03% were opposing, and 32.42% belonged to the remaining classes."
R084,boundary_denominator,2-s2.0-105008525623,RECALL,population,misleading,29,"la mayor parte de narrativas presenta porcentajes de exposicion de mas del 60% de los encuestados, con la unica excepcion de la N1 que llega solo al 29%"
R085,baseline_random,W7146985142,CONCENTRATION,curated_sample,unreliable_source,49,"the top three domains classified as untrustworthy (NewsGuard score below 60), including rt.de (RT, formerly Russia Today), made up 49% of visits to untrustworthy news in our sample."
R086,boundary_content_quality,2-s2.0-85065905229,CONTENT,topical,misleading,30,A total of 15/50 articles (30%) were classified as inaccurate or misleading
R087,boundary_audience_constructs,2-s2.0-105021775752,SHARING,political_news,unreliable_source,11,"In March 2021, the share of problematic sources dropped significantly to 11%."
R088,boundary_content_quality,PMID-41189872,CONTENT,topical,misleading,50,"Twenty-five videos claimed that chiropractic manipulation could ""fix"" the Eustachian tube, and 14 videos (28%) asserted nerve correction; none mentioned antibiotics or tympanostomy tubes."
R089,boundary_content_quality,2-s2.0-105019627019,CONTENT,topical,misleading,20,"Of 300 videos pulled, 251 met inclusion criteria ... 50 (20%) as Misleading"
R090,boundary_audience_constructs,2-s2.0-105029521599,SHARING,political_news,unreliable_source,0.68,Percentage of Low-fact Posts in total: 0.68%
R091,boundary_content_quality,2-s2.0-85107390682,CONTENT,topical,misleading,5,"Only 5% of the posts contained potentially harmful information, but 35% of all groups or pages contained such posts"
R092,baseline_random,2-s2.0-85159153364,CONCENTRATION,topical,unreliable_source,68,generate over 68% of all retweets linking to these [Russian propaganda] websites
R093,boundary_audience_constructs,2-s2.0-85209547248,REACH,population,unreliable_source,39.1,"based on our data, 39.1% (95% CI = 35.0-43.1%) of American adults were exposed to a misinformation website during the same time period"
R094,boundary_audience_constructs,2-s2.0-105029413645,EXPOSURE,topical,unreliable_source,3,This means low-credibility visits are a small proportion of all health visits (roughly 3%).
R095,boundary_content_quality,2-s2.0-85147303661,CONTENT,topical,false,1,"Between October, 2019 and June, 2020 there were 8,105 such videos - less than 1% of all YouTube videos about the coronavirus."
R096,boundary_audience_constructs,2-s2.0-105029413645,REACH,population,unreliable_source,13,"Over the data collection period (approximately 4 weeks per respondent), about 13% saw any URLs from these domains (95% CI: 10-15%)."
R097,boundary_audience_constructs,OA-W2992531903,REACH,population,fabricated,3.1,"The most popular, Sante+ Magazine...reached 3.1% (this equates to around 1.5 million people)"
R098,boundary_content_quality,2-s2.0-105002620495,CONTENT,topical,false,60,Almost 60% of the content on post-COVID had no corresponding scientific evidence
R099,boundary_audience_constructs,SEED-cordonnier2021,EXPOSURE,political_news,unreliable_source,5,"Among all participants, 5% of connected time dedicated to information was spent consulting information sources considered to be unreliable"
R100,boundary_content_quality,2-s2.0-105019357120,CONTENT,political_news,unreliable_source,7.74,"we identify 633,585 submission hyperlinks to our set of unreliable news websites and a total of 7,546,917 submission hyperlinks to our set of reliable news websites."
R101,boundary_audience_constructs,2-s2.0-85164694763,SHARING,topical,unreliable_source,2.4,26% of the domains shared by no-vax communities ... versus only 2.4% of those cited by the other users (P<.001)
R102,boundary_audience_constructs,2-s2.0-85074511992,SHARING,political_news,unreliable_source,9.1,"Junk News and Information 1055 9.1 (Germany, Table 3)"
R103,boundary_content_quality,2-s2.0-85125507154,CONTENT,curated_sample,misleading,52,"Of the 100 videos meeting inclusion criteria, 52% (n = 52) were classified as misleading, 27% (n = 27) as personal experience, and 21% (n = 21) as useful"
R104,boundary_content_quality,2-s2.0-85168270535,CONTENT,topical,false,12.0,"In total, 82,129 tweets were considered for the analysis and classified into three categories... 39,266 were found to be irrelevant... [Table 2: Misinformation 9857; Total 81,862]"
R105,boundary_content_quality,2-s2.0-85168520853,CONTENT,topical,false,26.1,"At the level of statements, 401/1534 (26.1%) contained misinformation."
R106,boundary_content_quality,2-s2.0-85095594211,CONTENT,curated_sample,misleading,20,Out of the 30 top shared articles identified 24 were found to be accurate (80%) and 6 to be misleading (20%)
R107,boundary_denominator,2-s2.0-85160248068,CONCENTRATION,population,unreliable_source,90,31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% in 2020)
R108,boundary_content_quality,2-s2.0-105014632937,CONTENT,topical,misleading,38.0,"Sensationalist content attracted higher engagement (30.0%) but had lower credibility, with misinformation prevalent in 38.0% of analysed videos."
R109,boundary_denominator,2-s2.0-85143274147,RECALL,population,false,36.3,"the majority of respondents (63.7%) reported having never transmitting misinformation. In other words, some 36.3% of respondents were involved in transmitting misinformation at some point during the pandemic."
R110,boundary_content_quality,W4414446446,CONTENT,population,misleading,4.85,"It finds 77 matches in 67 episodes, amounting to 4.85% of the 1382 episodes during the sampling period between June 2023 and June 2024."
R111,boundary_content_quality,2-s2.0-85127039075,CONTENT,topical,false,11.0,No of views ... Non-factual 18 482 373 (11%) ... Factual 150 964 009 (89%)
R112,boundary_audience_constructs,2-s2.0-85188806397,SHARING,political_news,unreliable_source,26.06,"When looking at links pointing to untrustworthy news sites (N), the concentration for swing states - 26.06%. - is higher than for safe states - 22.25%"
R113,boundary_audience_constructs,2-s2.0-85066887935,SHARING,political_news,unreliable_source,13.1,junk news sources account for 13.1% of all links in our dataset (see Table 1).
R114,boundary_denominator,2-s2.0-85124823821,RECALL,population,false,93.10,"Overall, 93.1% (1049/1127) received misinformation about the pandemic through social media"
R115,boundary_audience_constructs,2-s2.0-85175105353,REACH,population,unreliable_source,3.2,"Of the 10,020,547 total users in the data, 321,806 (or 3.2%) shared links to misinformation sources"
R116,boundary_content_quality,2603.11058,CONTENT,curated_sample,false,6.0,"French 17.5% [15.9-19.3], Slovak 7.6% [6.5-8.8], Polish 6.0% [5.0-7.2], Spanish 5.0% [4.0-6.2] (Table 2)"
R117,boundary_denominator,2-s2.0-85086031086,RECALL,population,false,28.67,Accidental Sharing on WhatsApp / Yes 28.67%
R118,boundary_audience_constructs,2-s2.0-85121019757,EXPOSURE,single_source,unreliable_source,2.5,"we found that 2.5% of clicks were to fake news, 24% of clicks were to not-fake news, and 74% of clicks were to not-news sites"
R119,boundary_denominator,2-s2.0-85160248068,CONCENTRATION,population,unreliable_source,90,31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% in 2020)
R120,baseline_random,W4407878374,CONCENTRATION,curated_sample,misleading,75,25% of the most active users contribute to approximately 75% of the misinformation content
R121,boundary_content_quality,W4309243406,CONTENT,topical,misleading,5,The corresponding proportion is 5% for North America and 7% for Europe
R122,baseline_random,2-s2.0-85148963619,CONCENTRATION,topical,unreliable_source,35,Tweets by a small group of approximately 800 “superspreaders” verified by Twitter accounted for approximately 35% of all reshares of misinformation on an average day
R123,boundary_denominator,2-s2.0-85172813494,RECALL,population,misleading,73,"all other narratives show levels of reach between 60-70%, being just N6 close to 73%"
R124,boundary_audience_constructs,2-s2.0-85074596916,SHARING,political_news,unreliable_source,17.4,"Junk News and Information 486,446 17.4 [Table 2, US Presidential Election]"
R125,boundary_denominator,2-s2.0-85195353413,CONCENTRATION,population,unreliable_source,24.13,These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our sample during December 2020
R126,boundary_audience_constructs,W7146985142,REACH,population,unreliable_source,9,compared to just 8% in the shorter 2024 period
R127,boundary_content_quality,2-s2.0-85159153364,CONTENT,topical,unreliable_source,0.4,"997,886 tweets sharing links to low-credibility news websites (0.4% of all tweets)"
R128,baseline_random,2-s2.0-85194023903,CONCENTRATION,curated_sample,unreliable_source,38.1,"removing the top 10 superspreaders eliminates 34.6% and 34.3% of the low-credibility content based on h-index and Influence, respectively (optimal: 38.1%). In other words, 0.003% of the accounts active during the evaluation period posted low-credibility content that received over 34% of all retweets"
R129,boundary_content_quality,2-s2.0-85131270595,CONTENT,topical,false,3.2,41 718 (3.2% of all COVID-19 vaccine articles) contained at least one of the vaccine misinformation themes
R130,boundary_content_quality,W4309243406,CONTENT,topical,misleading,7,The corresponding proportion is 5% for North America and 7% for Europe
R131,baseline_random,2-s2.0-85148963619,CONCENTRATION,topical,unreliable_source,13.4,Retweets of Mr. Kennedy’s tweets singularly accounted for 13.4% of all retweets of low-credibility vaccine content
R132,boundary_content_quality,2-s2.0-85092013677,QUALITY,topical,low_quality,67,"the overall quality of information was moderate to poor in 67%, based on scores of 1-3 out of 5 on the validated DISCERN instrument"
R133,boundary_content_quality,OA-W4360608277,CONTENT,topical,misleading,48.3,Most videos were of the opinion that the COVID-19 infection causes infertility in men (48.3%) but not the vaccine (37.9%)
R134,boundary_content_quality,2-s2.0-85136139565,CONTENT,topical,false,47,"the quality of global articles on spiders was exceedingly poor, with 47% of articles containing errors and 43% being scored as sensationalistic by spider experts"
R135,boundary_denominator,2-s2.0-85169326292,RECALL,population,false,14,we found that 14 percent of respondents reported knowingly sharing misinformation
R136,boundary_content_quality,2-s2.0-85088969117,CONTENT,topical,false,3.69,"9,20% of tweets were coded as false news, before 3.69% of Weibo posts"
R137,boundary_audience_constructs,2-s2.0-85114317455,EXPOSURE,single_source,unreliable_source,9.9,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timelines, such that a random surfer would see proportionally more junk news in the algorithmic timeline"
R138,boundary_denominator,2-s2.0-84929523850,RECALL,population,misleading,26.0,A quarter of the population (26%) say they've seen or heard Covid anti-vax messages on social media
R139,boundary_content_quality,2-s2.0-105010728491,CONTENT,single_source,misleading,65,se destacan el uso de desinformacion en el 65% de la muestra
R140,boundary_audience_constructs,2-s2.0-85142396682,SHARING,political_news,unreliable_source,0.25,"members of the Tories post 4.7 times more links to untrustworthy domains than members of the Labour Party (Tory 0.25%, Labour 0.05%, difference 0.19%, 0.08 SD)"
R141,baseline_random,2-s2.0-85159153364,CONCENTRATION,topical,unreliable_source,80,they generate over 80% of all interactions around links to Russian propaganda and low-credibility information websites
R142,boundary_content_quality,2-s2.0-84985993999,CONTENT,topical,misleading,74,Misinformation was present in 74% (154) of the articles
R143,boundary_content_quality,2-s2.0-85021701404,CONTENT,topical,false,26.0,"A minority of patient testimonial videos reported misinformation (n=6, 26%). ... Misinformation reported in the videos was rare (n=6, 26%) but included mention of the fact that the device migrated 'deeper in the skin' over time and that it can cause liver damage or breast lumps."
R144,boundary_audience_constructs,OA-W2992531903,REACH,population,fabricated,1.0,"As in France, most of the other sites were typically accessed by 1% or fewer"
R145,boundary_content_quality,2-s2.0-85177420309,CONTENT,topical,false,30,Most problematic ... Serbia and Romania ... almost one out of three search results (Serbia)
R146,boundary_denominator,2-s2.0-85124307830,RECALL,population,false,55.7,"Tracking being seen by 60.7%, Population by 57.6% and Pharma by 55.7% of the respondents"
