producer,category,year,claim_text,number_pct,denom_class,method,url,access_date
Ofcom,regulator_igo,2026,65% of social media users aged 16-34 said they saw false information,65,RECALL,"Survey of 7500 UK adults aged 18+, late 2025",https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,2026-06-22
ACMA,regulator_igo,2025,72% of Australian digital platform users believe they encountered misinformation,72,RECALL,"Survey of Australian adults using digital platforms, H1 2025",https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online,2026-06-22
ACMA,regulator_igo,2025,64% of Facebook users encountered misinformation on the platform,64,RECALL,"Survey of Australian adults using digital platforms, H1 2025",https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online,2026-06-22
European Commission (Eurobarometer),regulator_igo,2025,36% said they were often or very often exposed to disinformation in past seven days,36,RECALL,"Eurobarometer survey of EU citizens, 2025",https://europa.eu/eurobarometer/surveys/detail/3592,2026-06-22
European Commission (Eurobarometer),regulator_igo,2025,"Including sometimes, perceived exposure rises to around two-thirds (66%) of EU respondents",66,RECALL,"Eurobarometer survey of EU citizens, 2025",https://europa.eu/eurobarometer/surveys/detail/3592,2026-06-22
UNESCO,regulator_igo,2023,68% of internet users identify social media as primary breeding ground for disinformation,68,OTHER,"UNESCO-Ipsos survey, ~8000 participants across 16 countries with 2024 elections",https://www.unesco.org/sites/default/files/medias/fichiers/2023/11/unesco_ipsos_survey.pdf,2026-06-22
OECD,regulator_igo,2024,Respondents misidentified true and false content 40% of the time,40,OTHER,"OECD Truth Quest Survey, 2024, multi-country",https://www.oecd.org/en/topics/disinformation-and-misinformation.html,2026-06-22
WHO,regulator_igo,2022,Proportion of COVID-19 misinformation on social media ranged from 0.2% to 28.8% of posts,28.8,CONTENT,WHO-cited systematic review of 22 studies of social media posts,https://www.who.int/europe/news/item/01-09-2022-infodemics-and-misinformation-negatively-affect-people-s-health-behaviours--new-who-review-finds,2026-06-22
WHO,regulator_igo,2022,Misinformation in vaccine-related posts reached up to 51%,51,CONTENT,WHO-cited systematic review of social media posts,https://www.who.int/europe/news/item/01-09-2022-infodemics-and-misinformation-negatively-affect-people-s-health-behaviours--new-who-review-finds,2026-06-22
EDMO,regulator_igo,2022,COVID-19 reached 51.5% of total disinformation detected in December 2021,51.5,CONTENT,"Analysis of 18 EDMO monthly fact-checking briefs, Jun 2021-Nov 2022",https://edmo.eu/publications/pandemic-and-infodemic-parallel-waves-seven-months-of-european-fact-checking/,2026-06-22
Avaaz,advocacy_platform,2020,Health misinformation networks reached estimated 3.8 billion views on Facebook in a year,,REACH_ABSOLUTE,social media network analysis (130M interactions converted to estimated views),https://secure.avaaz.org/campaign/en/facebook_threat_health/,2026-06-22
Avaaz,advocacy_platform,2021,Top 100 misinformation stories viewed estimated 162 million times in three months,,REACH_ABSOLUTE,engagement tracking of top misinformation stories on Facebook,https://secure.avaaz.org/campaign/en/facebook_election_insurrection/,2026-06-22
Avaaz,advocacy_platform,2020,16% of top 100 YouTube videos for 'global warming' contained climate misinformation,16,CONTENT,manual review of top 100 search results for selected climate keywords,https://secure.avaaz.org/campaign/en/youtube_climate_misinformation/,2026-06-22
CCDH,advocacy_platform,2021,Twelve individuals responsible for 65% of anti-vaccine content on social media,65,CONTENT,analysis of 483 anti-vax posts from 30 selected groups over six weeks,https://counterhate.com/research/the-disinformation-dozen/,2026-06-22
Meta,advocacy_platform,2021,Disinformation Dozen responsible for about 0.05% of all vaccine-content views on Facebook,0.05,EXPOSURE,platform-internal view-share rebuttal to CCDH Disinformation Dozen report,https://oag.dc.gov/sites/default/files/2024-10/Meta%20Vaccine%20Misinfo%20Report%20FINAL.pdf,2026-06-22
Meta,advocacy_platform,2025,97.8% of US Facebook feed views in Q2 2025 did not include an external link,97.8,EXPOSURE,Widely Viewed Content Report aggregate feed-view sampling,https://transparency.meta.com/reports/widely-viewed-content-report/,2026-06-22
YouTube,advocacy_platform,2021,"Violative View Rate is 0.16-0.18%: 16-18 of every 10,000 views are violative content",0.18,EXPOSURE,sampled-views human review aggregated into Violative View Rate estimate,https://blog.youtube/inside-youtube/building-greater-transparency-and-accountability/,2026-06-22
TikTok,advocacy_platform,2021,78.5% of misinformation videos removed before being reported to TikTok,78.5,CONTENT,Community Guidelines Enforcement Report proactive-removal share,https://www.tiktok.com/safety/resources/tiktok-transparency-report-2021-q-2,2026-06-22
TikTok,advocacy_platform,2021,69.7% of removed COVID-19 disinformation videos had zero views,69.7,EXPOSURE,Community Guidelines Enforcement Report view-distribution of removed videos,https://www.tiktok.com/safety/resources/tiktok-transparency-report-2021-q-2,2026-06-22
Global Disinformation Index,advocacy_platform,2019,At least $235 million in ad revenue generated annually by disinformation websites,,REACH_ABSOLUTE,"traffic and ad-revenue estimation across 20,000 suspected disinformation domains",https://www.disinformationindex.org/,2026-06-22
NewsGuard,advocacy_platform,2024,"3,006 AI content farm news and information websites identified across 16 languages",,REACH_ABSOLUTE,ongoing analyst cataloguing of unreliable AI-generated news sites,https://www.newsguardtech.com/special-reports/ai-tracking-center/,2026-06-22
ISD,advocacy_platform,2022,"Climate skeptics averaged ~92,000 interactions versus ~7,500 for climate-science content",,REACH_ABSOLUTE,network analysis of COP26 climate posts (CAAD coalition report),https://www.isdglobal.org/our-expertise/information-warfare-and-online-manipulation/climate/,2026-06-22
Avaaz,advocacy_platform,2019,Removed far-right disinformation networks' content viewed estimated 533 million times in three months,,REACH_ABSOLUTE,engagement tracking of networks later removed by Facebook,https://avaazimages.avaaz.org/Avaaz%20Report%20Network%20Deception%2020190522.pdf,2026-06-22
Reuters Institute Digital News Report,adhoc,2025,58% worried about what is real and fake online when it comes to news,58,RECALL,survey self-report,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2025/dnr-executive-summary,2026-06-21
Reuters Institute Digital News Report,adhoc,2026,62% concerned about fake news online,62,RECALL,survey self-report,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/dnr-executive-summary,2026-06-21
Ofcom,adhoc,2024,Four in 10 adults encountered misinformation or deepfake content in previous four weeks,40,RECALL,survey self-report,https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,2026-06-21
Ofcom,adhoc,2024,"Among those who encountered it, 71% say they have seen it online",71,RECALL,survey self-report,https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,2026-06-21
Pew Research Center,adhoc,2019,38% say they often come across made-up news and information,38,RECALL,survey self-report,https://www.pewresearch.org/journalism/2019/06/05/many-americans-say-made-up-news-is-a-critical-problem-that-needs-to-be-fixed/,2026-06-21
Pew Research Center,adhoc,2016,32% often see political news stories online that are made up,32,RECALL,survey self-report,https://www.pewresearch.org/journalism/2016/12/15/many-americans-believe-fake-news-is-sowing-confusion/,2026-06-21
Pew Research Center,adhoc,2019,23% say they have themselves shared made-up news,23,RECALL,survey self-report,https://www.pewresearch.org/journalism/2019/06/05/many-americans-say-made-up-news-is-a-critical-problem-that-needs-to-be-fixed/,2026-06-21
Eurobarometer,adhoc,2025,36% often or very often exposed to disinformation and fake news over past seven days,36,RECALL,survey self-report,https://europa.eu/eurobarometer/surveys/detail/3592,2026-06-21
Eurobarometer,adhoc,2025,66% think exposed to disinformation and fake news at least sometimes over past seven days,66,RECALL,survey self-report,https://europa.eu/eurobarometer/surveys/detail/3592,2026-06-21
Eurobarometer,adhoc,2018,37% of respondents come across fake news daily or every other day,37,RECALL,survey self-report,https://europa.eu/eurobarometer/surveys/detail/2183,2026-06-21
Statistics Canada,adhoc,2025,80% reported seeing misleading false or inaccurate online information at least once a month,80,RECALL,survey self-report,https://www150.statcan.gc.ca/n1/daily-quotidien/260513/dq260513a-eng.htm,2026-06-21
Statistics Canada,adhoc,2023,47% find it harder to distinguish between true and false news than three years prior,47,RECALL,survey self-report,https://www150.statcan.gc.ca/n1/daily-quotidien/231220/dq231220b-eng.htm,2026-06-21
ACMA,adhoc,2025,72% of adults believe they encountered some form of misinformation on a platform,72,RECALL,survey self-report,https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online,2026-06-21
NewsGuard,adhoc,2024,$2.6 billion in global ad spend goes to misinformation websites each year,,REACH_ABSOLUTE,trace,https://www.newsguardtech.com/special-reports/brands-send-billions-to-misinformation-websites-newsguard-comscore-report/,2026-06-21
NewsGuard,adhoc,2022,"40.21% of 6,513 rated sites receive a red unreliable rating",40.21,CONTENT,content audit,https://www.newsguardtech.com/,2026-06-21
NewsGuard,adhoc,2022,"6.69% of all news engagement on Facebook, Twitter, Pinterest from red-rated sites",6.69,EXPOSURE,engagement metric,https://www.newsguardtech.com/,2026-06-21
NewsGuard,adhoc,2024,"3,006 AI content farm sites identified spreading misinformation",,REACH_ABSOLUTE,content audit,https://www.newsguardtech.com/special-reports/ai-tracking-center/,2026-06-21
Avaaz,adhoc,2020,Health misinformation networks generated estimated 3.8 billion views on Facebook in one year,,REACH_ABSOLUTE,engagement metric,https://secure.avaaz.org/campaign/en/facebook_threat_health/,2026-06-21
Avaaz,adhoc,2020,Only 16% of health misinformation had a Facebook warning label applied,16,CONTENT,content audit,https://secure.avaaz.org/campaign/en/facebook_threat_health/,2026-06-21
Avaaz,adhoc,2019,Yellow Vests disinformation reached more than 100 million views on Facebook in France,,REACH_ABSOLUTE,engagement metric,https://avaazimages.avaaz.org/Report%20Yellow%20Vests%20FINAL.pdf,2026-06-21
Avaaz,adhoc,2019,Far-right EU election disinformation networks seen over half a billion times,,REACH_ABSOLUTE,engagement metric,https://techcrunch.com/2019/05/22/facebook-found-hosting-masses-of-far-right-eu-disinformation-networks/,2026-06-21
CCDH,adhoc,2021,A dozen anti-vaccine accounts responsible for 65% of anti-vaccine disinformation shared online,65,CONCENTRATION,content audit,https://counterhate.com/research/the-disinformation-dozen/,2026-06-21
CCDH,adhoc,2021,Toxic Ten publishers responsible for 69% of climate denial interactions on Facebook,69,CONCENTRATION,engagement metric,https://counterhate.com/research/the-toxic-ten/,2026-06-21
CCDH,adhoc,2024,200 climate disinformation videos on YouTube seen 73.8 million times,,REACH_ABSOLUTE,engagement metric,https://counterhate.com/research/google-climate-change-disinformation-youtube-videos/,2026-06-21
EDMO,adhoc,2024,EU-related disinformation reached 15% of all detected false stories in May 2024,15,CONTENT,content audit,https://meddmo.eu/may-2024-disinformation-about-the-eu-increased-a-month-before-the-european-elections/,2026-06-21
EDMO,adhoc,2024,Average EU-related disinformation rose from 4.4% to 7% of detected disinformation,7,CONTENT,content audit,https://edmo.eu/wp-content/uploads/2024/06/EDMO-36-Horizontal.pdf,2026-06-21
EU DisinfoLab,adhoc,2020,Indian Chronicles network spanned 750 fake media outlets across 119 countries,,REACH_ABSOLUTE,trace,https://www.disinfo.eu/publications/indian-chronicles-deep-dive-into-a-15-year-operation-targeting-the-eu-and-un-to-serve-indian-interests/,2026-06-21
Meta (Facebook Widely Viewed Content Report),adhoc,2025,97.8% of US Feed views did not include a link outside Facebook,2.2,EXPOSURE,platform data,https://transparency.meta.com/reports/widely-viewed-content-report/,2026-06-21
Meta (rebuttal to CCDH Disinformation Dozen),adhoc,2021,12 accounts responsible for only 0.05% of all vaccine-related content views,0.05,EXPOSURE,platform data,https://www.npr.org/2021/05/13/996570855/disinformation-dozen-test-facebooks-twitters-ability-to-curb-vaccine-hoaxes,2026-06-21
Allen et al. (Microsoft/Science Advances),adhoc,2020,Fake news comprises only 0.15% of Americans' daily media diet,0.15,EXPOSURE,trace,https://www.science.org/doi/10.1126/sciadv.aay3539,2026-06-21
Oxford Internet Institute / ComProp,adhoc,2018,25% of content shared around US midterms is junk news,25,CONTENT,platform data,https://www.oii.ox.ac.uk/news-events/junk-news-dominating-coverage-of-us-midterms-on-social-media-new-research-finds/,2026-06-21
Knight Foundation (with Graphika/GWU),adhoc,2018,65% of fake and conspiracy news links went to just 10 largest sites,65,CONCENTRATION,trace,https://knightfoundation.org/reports/disinformation-fake-news-and-influence-campaigns-on-twitter/,2026-06-21
Knight Foundation (with Graphika/GWU),adhoc,2018,Top 50 fake news sites received 89% of misinformation links during election,89,CONCENTRATION,trace,https://knightfoundation.org/reports/disinformation-fake-news-and-influence-campaigns-on-twitter/,2026-06-21
Center for Countering Digital Hate (Disinformation Dozen),adhoc,2021,12 accounts responsible for 65% of anti-vaccine content shared online,65,CONCENTRATION,trace,https://counterhate.com/research/the-disinformation-dozen/,2026-06-21
"Grinberg et al. (Science, Lazer Lab)",adhoc,2019,1% of individuals accounted for 80% of fake news source exposures,1,CONCENTRATION,trace,https://www.science.org/doi/abs/10.1126/science.aau2706,2026-06-21
"Grinberg et al. (Science, Lazer Lab)",adhoc,2019,0.1% accounted for nearly 80% of fake news sources shared,0.1,CONCENTRATION,trace,https://www.science.org/doi/abs/10.1126/science.aau2706,2026-06-21
"DeVerna et al. (Indiana Observatory on Social Media, PLOS ONE)",adhoc,2024,0.25% of X users responsible for 73-78% of low-credibility tweets,0.25,CONCENTRATION,trace,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0302201,2026-06-21
"DeVerna et al. (Indiana Observatory on Social Media, PLOS ONE)",adhoc,2024,Roughly one third of low-credibility tweets posted by just 10 accounts,10,CONCENTRATION,trace,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0302201,2026-06-21
Statistics Canada,regulator_igo,2021,96% of Canadians encountered COVID-19 mis/disinformation on >=1 social platform,96,RECALL,survey self-report,(via Kemei 2022),2026-06-23
Kaiser Family Foundation,advocacy_platform,2021,80% of Americans report encountering COVID-19 mis/disinformation on >=1 social platform,80,RECALL,survey self-report,(via Kemei 2022),2026-06-23
Arcom,regulator_igo,2026,97 % des Francais declarent etre exposes a des fausses informations,97,PERCEPTION_SELF_REPORT,"Survey n=2,000, France, Nov 2025 (Arcom: Les Francais et les fausses informations)",https://www.arcom.fr/se-documenter/etudes-et-donnees/etudes-bilans-et-rapports-de-larcom/les-francais-et-les-fausses-informations,2026-06-25
Arcom,regulator_igo,2026,70 % des Francais pensent avoir deja ete exposes a de fausses informations au moins une fois par semaine,70,PERCEPTION_SELF_REPORT,"Survey n=2,000, France, Nov 2025 (Arcom: Les Francais et les fausses informations)",https://www.arcom.fr/se-documenter/etudes-et-donnees/etudes-bilans-et-rapports-de-larcom/les-francais-et-les-fausses-informations,2026-06-25
Arcom,regulator_igo,2026,80 % des Francais considerent qu'il est indispensable de lutter contre les fausses informations,80,PERCEPTION_SELF_REPORT,"Survey n=2,000, France, Nov 2025 (Arcom: Les Francais et les fausses informations)",https://www.arcom.fr/se-documenter/etudes-et-donnees/etudes-bilans-et-rapports-de-larcom/les-francais-et-les-fausses-informations,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 TikTok/misinformation] TikTok exhibits the highest prevalence of mis/disinformation at approximately 20% [17.7%, 22.6%], indicating that roughly one in five posts on the platform regarding the topics we",20.2,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 Facebook/misinformation] Facebook and X/Twitter follow with elevated prevalence at 13% [11.5%, 15.4%] and 11% [9.0%, 12.2%], respectively.",13.4,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 X/Twitter/misinformation] Facebook and X/Twitter follow with elevated prevalence at 13% [11.5%, 15.4%] and 11% [9.0%, 12.2%], respectively.",10.6,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,[R1 YouTube/misinformation] YouTube and Instagram have a prevalence of about 8%.,8.0,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 Instagram/misinformation] YouTube and Instagram have a prevalence of about 8%. [Table 2.1: Instagram 8.5% [6.9, 10.2]]",8.5,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 LinkedIn/misinformation] LinkedIn has the lowest prevalence of mis/disinformation at 2% [1.3%, 3.2%], suggesting that exposure to misinformation on this platform is limited.",2.3,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 TikTok/problematic_content] both TikTok and X/Twitter appear as the platforms with the highest prevalence of Problematic content, with prevalence values of 34% [31.7%, 36.5%] and 32% [29.9%, 34.1%], respectively",34.1,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 X/Twitter/problematic_content] both TikTok and X/Twitter appear as the platforms with the highest prevalence of Problematic content, with prevalence values of 34% [31.7%, 36.5%] and 32% [29.9%, 34.1%], respectively",32.0,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 Facebook/problematic_content] Facebook ranks third with 27% [24.3%, 29.1%], followed by YouTube at 22% [20.0%, 24.5%], and Instagram with 18% [16.8%, 20.9%].",26.8,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 YouTube/problematic_content] Facebook ranks third with 27% [24.3%, 29.1%], followed by YouTube at 22% [20.0%, 24.5%], and Instagram with 18% [16.8%, 20.9%].",22.4,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 Instagram/problematic_content] Facebook ranks third with 27% [24.3%, 29.1%], followed by YouTube at 22% [20.0%, 24.5%], and Instagram with 18% [16.8%, 20.9%].",18.8,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 LinkedIn/problematic_content] LinkedIn, as in previous analyses, reports the lowest prevalence at 7.5% [6.0%, 9.2%], indicating a comparatively safer information environment.",7.5,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R1 all/health_share] When considering all posts labelled Mis/disinformation, the topic with the highest share is health, representing 43.4% (Figure 2.4).",43.4,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,Among posts labelled Mis/disinformation drawn from view-weighted sample on 5 high-risk topics across 4 EU countries -- N,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 TikTok/misinformation] TikTok exhibits the highest prevalence of mis/disinformation at 25% [22.6%, 27.5%], indicating that roughly one in four posts on the platform regarding the topics we",25.0,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 Facebook/misinformation] Facebook, YouTube and X/Twitter follow with elevated prevalence at 15% [13.2%, 16.8%], 12% [10.6%, 13.9%] and 11% [9.0%, 12.2%], respectively.",14.9,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 YouTube/misinformation] Facebook, YouTube and X/Twitter follow with elevated prevalence at 15% [13.2%, 16.8%], 12% [10.6%, 13.9%] and 11% [9.0%, 12.2%], respectively.",12.3,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 X/Twitter/misinformation] Facebook, YouTube and X/Twitter follow with elevated prevalence at 15% [13.2%, 16.8%], 12% [10.6%, 13.9%] and 11% [9.0%, 12.2%], respectively.",10.6,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
