idx,producer,year,number_pct,construct,prevalence_relevant,alarming_headline,denom_issue
77,Knight Foundation (with Graphika/GWU),2018,89,CONCENTRATION,Y,Y,% of misinfo links to top-50 sites; same denom issue as row 76
78,Center for Countering Digital Hate (Disinformation Dozen),2021,65,CONCENTRATION,Y,Y,Duplicate of rows 35/66; 12 accounts out of anti-vaccine content only
79,"Grinberg et al. (Science, Lazer Lab)",2019,1,CONCENTRATION,Y,N,1% of users = 80% of fake-news exposures; concentration stat from peer-reviewed work
80,"Grinberg et al. (Science, Lazer Lab)",2019,0.1,CONCENTRATION,Y,N,0.1% responsible for ~80% of fake-news shares; high-quality Twitter study
81,"DeVerna et al. (Indiana Observatory on Social Media, PLOS ONE)",2024,0.25,CONCENTRATION,Y,N,0.25% of X users = 73-78% of low-credibility tweets; peer-reviewed
82,"DeVerna et al. (Indiana Observatory on Social Media, PLOS ONE)",2024,10,CONCENTRATION,Y,N,Top 10 accounts = ~1/3 of low-credibility tweets; peer-reviewed
83,Statistics Canada,2021,96,RECALL-or-PERCEPTION,N,Y,COVID-era; very broad scope ('mis/disinformation' across any social platform); self-report ceiling
84,Kaiser Family Foundation,2021,80,RECALL-or-PERCEPTION,N,Y,COVID-era; self-reported encounter across any platform; broad definition inflates
85,Arcom,2026,97,RECALL-or-PERCEPTION,Y,Y,"self-reported perception of exposure, not behavioural; very broad definition"
86,Arcom,2026,70,RECALL-or-PERCEPTION,Y,Y,"self-reported perception of exposure, not behavioural; very broad definition"
87,Arcom,2026,80,RECALL-or-PERCEPTION,Y,Y,"self-reported perception of exposure, not behavioural; very broad definition"
88,Science Feedback (SIMODS),2025,20.2,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
89,Science Feedback (SIMODS),2025,13.4,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
90,Science Feedback (SIMODS),2025,10.6,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
91,Science Feedback (SIMODS),2025,8.0,CONTENT (exposure-weighted),Y,N,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
92,Science Feedback (SIMODS),2025,8.5,CONTENT (exposure-weighted),Y,N,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
93,Science Feedback (SIMODS),2025,2.3,CONTENT (exposure-weighted),Y,N,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
94,Science Feedback (SIMODS),2025,34.1,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
95,Science Feedback (SIMODS),2025,32.0,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
96,Science Feedback (SIMODS),2025,26.8,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
97,Science Feedback (SIMODS),2025,22.4,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
98,Science Feedback (SIMODS),2025,18.8,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
99,Science Feedback (SIMODS),2025,7.5,CONTENT (exposure-weighted),Y,N,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
100,Science Feedback (SIMODS),2025,43.4,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
101,Science Feedback (SIMODS),2025,25.0,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
102,Science Feedback (SIMODS),2025,14.9,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
103,Science Feedback (SIMODS),2025,12.3,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
104,Science Feedback (SIMODS),2025,10.6,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
105,Science Feedback (SIMODS),2025,7.7,CONTENT (exposure-weighted),Y,N,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
106,Science Feedback (SIMODS),2025,1.0,CONTENT (exposure-weighted),Y,N,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
107,Science Feedback (SIMODS),2025,43.2,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
108,Science Feedback (SIMODS),2025,33.6,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
109,Science Feedback (SIMODS),2025,31.8,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
110,Science Feedback (SIMODS),2025,27.0,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
111,Science Feedback (SIMODS),2025,16.2,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
112,Science Feedback (SIMODS),2025,4.1,CONTENT (exposure-weighted),Y,N,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
113,Science Feedback (SIMODS),2025,42.8,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
114,Science Feedback (SIMODS),2025,24.0,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
115,Science Feedback (SIMODS),2025,19.0,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
116,Science Feedback (SIMODS),2025,16.5,CONTENT (exposure-weighted),Y,Y,"share within keyword-built corpus on 5 high-risk topics, exposure-weighted - NOT whole diet; 1-2 orders above academic ~0.15%"
