row_key,item_id,batch,verdict,our_construct,blind_construct,our_value_pct,their_value_pct,our_denominator,their_quote,their_note,our_flag,our_confidence,RULING,RULING_reason
2-s2.0-85197342411#266,2-s2.0-85197342411,verify_04.csv,PAPER_NOT_ELIGIBLE,QUALITY,QUALITY,4.1,,10 ChatGPT-3.5 answers rated by two expert sports medicine surgeons,,"This is a mean Global Quality Score, not a prevalence share.","loc: Section 3 (Results), first sentence; GQS is a quality scale, not a falsity judgement; row kept as QUALITY and excluded from prevalence.",high,,
2-s2.0-85197342411#268,2-s2.0-85197342411,verify_04.csv,PAPER_NOT_ELIGIBLE,QUALITY,QUALITY,3.8,,10 ChatGPT-3.5 answers rated by two expert paediatric orthopaedic surgeons,,"This is a mean Global Quality Score, not a prevalence share.","loc: Section 3 (Results), second paragraph; GQS is a quality scale, not a falsity judgement; row kept as QUALITY and excluded from prevalence.",high,,
2-s2.0-85203059836#274,2-s2.0-85203059836,verify_03.csv,PAPER_NOT_ELIGIBLE,CONTENT,CONTENT,35,,Bing Chat outputs that mention the Russian perspective (a subset of its 112 outputs; Figure 3 covers N = 119 such outputs across all three chatbots),,"The 35% is absence of debunking disclaimers, not a quantitative share of misinformation judged against an external truth standard.","within_misinfo_content; borderline; loc: Findings, Finding 2, p. 8 (Figure 3); Computed inside the subset of outputs that carry a Kremlin narrative, so within_misinfo_content=true and appendix-only.",medium,,
2-s2.0-85203986330#276,2-s2.0-85203986330,verify_03.csv,PAPER_NOT_ELIGIBLE,CONTENT,QUALITY,19.2,,26 ChatGPT responses (25 asthma questions plus 1 follow-up question) compiled by the authors,,"The paper reports expert accuracy/quality ratings of ChatGPT answers, not a quantitative misinformation share.","borderline; loc: Results and Discussion, p. 2; Table II; The .txt is a two-column PDF reflow, so a full sentence never appears contiguously; source_quote is the longest contiguous verbatim run carrying the value. Reflowed, the passage reads: 'Among the evaluated responses, 21 (81%) had a median score of 4 or above, indicating a high level of accuracy and reliability (Table II). The responses garnered a median score of 4, reflecting good/only minor nonharmful inaccuracies. Five responses received a median score of <=3, indicating poor information and minor potentially harmful inaccuracies.' (the '<=' renders as 'of _ <3' in the text file, and the abstract's '5 responses scored >3' is the same OCR artifact of '<=3'). Data-collection date is never stated; year set to the publication year (2024). borderline=true because the numerator rests on a threshold on a graded accuracy Likert scale rather than a binary true/false judgement - even score 4 is defined as having 'only minor nonharmful inaccuracies' - so the cut at <=3 is the authors' own, though the scale is explicitly about inaccuracy and is judged by expert clinicians, which is why the row is coded CONTENT rather than QUALITY. Country is coded Global: the chatbot output is not country-specific; only the rater panel is Danish. 19.2% is an exact part/whole share from the verbatim count of 5 out of 26 (R8), not a computed complement of 81%.",medium,,
2-s2.0-105009256604#38,2-s2.0-105009256604,verify_05.csv,WRONG_VALUE,CONTENT,CONTENT,2.34,2.40,128 ratings of answers to 64 MRI-related patient questions (64 answers rated by each of two board-certified radiologists),"Google Gemini and Mistral Large both answered three questions (very) inaccurate (2.40%), Claude 3.5 Sonnet only responded one time (0.78%), and ChatGPT 4o not once (0.0%) in a misleading way ( Table 2 ).","The paper states 2.40%, not the extracted 2.34%.","loc: Results, section 3; Table 2 (MRI); One of eight rows covering four models x two question sets; the paper reports a separate misleading-answer share for each model and modality, so they are kept as separate source/measure cells rather than pooled. The denominator is ratings, not answers: each answer was rated by both radiologists and the paper's percentages are computed over the 114 (CT) or 128 (MRI) ratings. Interrater agreement was very low (ICC 0.006-0.071 for CT), so the share is unstable. The results text prints 2.40% for this model, which is arithmetically wrong: 3 of 128 ratings is 2.34%, the value the abstract itself prints for Google Gemini. The exact part/whole share is used here.",medium,,
2-s2.0-105022144698#64,2-s2.0-105022144698,verify_06.csv,WRONG_VALUE,CONTENT,CONTENT,33.1,,540 Copilot responses (3 response modes x 30 top-selling Japanese dietary supplements x 6 disease questions),,33.1% is the reported accurate share; the inaccurate complement is not reported and cannot be computed.,"loc: Discussion, Principal Findings (also Conclusions and Table 2); Value stated as the ACCURATE share; the inaccurate share (about 66.9%) is a complement we are not permitted to compute (R8). Per-mode figures (36.1%, 31.7%, 31.7%) are style variants of the same platform and corpus, not separate country/platform/definition cells, so they are recorded in value_raw rather than as separate rows (R4). Data collected July-September 2023; the three modes were later merged into one Copilot mode.",high,,
2-s2.0-105023100505#68,2-s2.0-105023100505,verify_08.csv,WRONG_VALUE,CONTENT,QUALITY,0,,12 ChatGPT 4.o answers to the 12 most frequently asked patient questions on androgenetic alopecia (selected from 20 questions found in clinic FAQ pages via Google),,The paper reports only the response-category distribution; 0% unsatisfactory is inferred as a complement and is not stated as a share.,"borderline; loc: Abstract Results; Results paragraph 3; Table 2 (Accuracy of Responses); Zero-prevalence estimate: Table 2 prints a score of 1 or 2 for each of the 12 ChatGPT answers from both reviewers, so no answer reached the erroneous category; the paper never writes '0%' itself, the share is read off the complete per-item table. Borderline because the Mika scale is a clarification-need scale whose top point pairs 'erroneous' with 'overly generalized', so a true but vague answer could in principle be scored there; if the review prefers the stricter reading these rows become QUALITY.",high,,
2-s2.0-105031731355#81,2-s2.0-105031731355,verify_01.csv,WRONG_VALUE,RECALL,SHARING,49.0,22.9,"51 Information Sciences students at the Faculty of Humanities and Social Sciences, Osijek (of 109 valid responses); denominator includes 15 'cannot determine' answers","For misinformation, 25 IS students (22.9%), 23 ELL students (21.1%), and 4 IS-ELL students (3.7%) reported sharing it, while 11 IS students (10.1%), 8","The paper reports 22.9% using the full N=109 base; 49.0% is a computed subgroup percentage, not the paper’s reported value.","loc: Section 4.4 and Table 13, p. 3555; The paper reports percentages of the whole sample (N=109), not of the study group; value_pct is the exact part/whole share from the verbatim counts (25/51). Only study-group figures are reported, so no pooled sample-wide estimate exists (summing across groups would be a cross-category sum, barred by R8).",medium,,
2-s2.0-105031731355#83,2-s2.0-105031731355,verify_03.csv,WRONG_VALUE,RECALL,SHARING,19.6,9.2,"51 Information Sciences students at the Faculty of Humanities and Social Sciences, Osijek (of 109 valid responses); denominator includes 5 'cannot determine' answers",IS      10     9.2    36 33       5    4.6,"19.6% is computed as 10/51; the paper reports 10 IS students as 9.2% of the full N=109, and the behavior is sharing.","loc: Section 4.4 and Table 13, p. 3555; Stricter (intentional falsehood) variant of the misinformation row for the same group. The source quote is the line carrying the disinformation counts; the full sentence reads 'For disinformation, 10 IS students (9.2%), 5 ELL students (4.6%), and 1 IS-ELL student (0.9%) reported sharing it' but is broken by the PDF's two-column layout in the text file. value_pct is 10/51.",medium,,
2-s2.0-105031731355#82,2-s2.0-105031731355,verify_03.csv,WRONG_VALUE,RECALL,SHARING,44.2,21.1,"52 English Language and Literature students at the Faculty of Humanities and Social Sciences, Osijek (of 109 valid responses); denominator includes 21 'cannot determine' answers",ELL      23             21.1,"44.2% is computed from a subgroup count; the paper reports 23 ELL students (21.1% of the full N=109), and the behavior is sharing.","loc: Section 4.4 and Table 13, p. 3555; The paper reports percentages of the whole sample (N=109); value_pct is the exact part/whole share from the verbatim counts (23/52).",medium,,
2-s2.0-105031807568#92,2-s2.0-105031807568,verify_01.csv,WRONG_VALUE,CONTENT,CONTENT,98.8,,"500 binary responses from ChatGPT o1 (OpenAI) (50 questions on unproven audiology/otolaryngology methods x 10 repeated trials), part of 3,000 responses across six chatbots","ChatGPT was second best with 98.8% accuracy, while DeepSeek, though still mostly accurate (95.8%), had the lowest overall accuracy, highlighting a need for caution when utilizing such a system in a clinical or educational setting.","The paper reports accuracy, not the misinformation complement; a 1.2% complement is not an admissible extracted value.","borderline; loc: Discussion (Figure 1); POLARITY WARNING: value_pct is the ACCURACY share, not the misinformation share, because the paper reports only accuracy verbatim and R8 bars keeping a complement computed as 100 minus the stated value. The misinformation share implied is 0% (Grok), 1.2% (ChatGPT) and 4.2% (DeepSeek). The questions were purposively built around known myths, so the denominator is a curated set of contested claims, not a random sample of chatbot output; prevalence here is conditional on being asked a myth question.",medium,,
2-s2.0-105031807568#91,2-s2.0-105031807568,verify_06.csv,WRONG_VALUE,CONTENT,CONTENT,100,,"500 binary responses from Grok 2 (xAI) (50 questions on unproven audiology/otolaryngology methods x 10 repeated trials), part of 3,000 responses across six chatbots",,"The paper reports Grok's 100% accuracy, not a 100% misinformation share; the complement is not reported and cannot be computed.","borderline; loc: Results, Accuracy Analysis (Figure 1); POLARITY WARNING: value_pct is the ACCURACY share, not the misinformation share, because the paper reports only accuracy verbatim and R8 bars keeping a complement computed as 100 minus the stated value. The misinformation share implied is 0% (Grok), 1.2% (ChatGPT) and 4.2% (DeepSeek). The questions were purposively built around known myths, so the denominator is a curated set of contested claims, not a random sample of chatbot output; prevalence here is conditional on being asked a myth question.",medium,,
2-s2.0-105031807568#93,2-s2.0-105031807568,verify_07.csv,WRONG_VALUE,CONTENT,CONTENT,95.8,,"500 binary responses from DeepSeek R1 (DeepSeek AI) (50 questions on unproven audiology/otolaryngology methods x 10 repeated trials), part of 3,000 responses across six chatbots",,"95.8% is accuracy; the misinformation complement is not reported, and complements are not accepted.","borderline; loc: Results, Accuracy Analysis (Figure 1); POLARITY WARNING: value_pct is the ACCURACY share, not the misinformation share, because the paper reports only accuracy verbatim and R8 bars keeping a complement computed as 100 minus the stated value. The misinformation share implied is 0% (Grok), 1.2% (ChatGPT) and 4.2% (DeepSeek). The questions were purposively built around known myths, so the denominator is a curated set of contested claims, not a random sample of chatbot output; prevalence here is conditional on being asked a myth question.",medium,,
2-s2.0-85109637895#158,2-s2.0-85109637895,verify_01.csv,WRONG_VALUE,CONTENT,CONTENT,33.4,,"nearly 2,400 textual messages shared at least 20 times in one day in 500+ monitored Brazilian public political WhatsApp groups, March-April 2020","Our dataset consists of about a third of the total number of messages shared at least 20 times a day in the monitored groups in March and April 2020 (nearly 2,400 messages).","The paper reports “about a third”; 802 and nearly 2,400 are approximate and do not support the computed 33.4%.","borderline; loc: Methods, Data collection, p. 9; The denominator is stated approximately ('nearly 2,400') and the share verbatim as 'about a third'; 802/2,400 = 33.4% is reported here as the point value. Denominator is the rank-truncated set of most-shared messages in political groups, not all messages, hence denom_selection=curated. The authors state the monitored groups are biased towards Bolsonaro supporters and that they could not measure prevalence in the broader WhatsApp community. Marked borderline because the numerator was assembled by purposive manual collection rather than by coding a random sample of the denominator.",medium,,
2-s2.0-85121929117#175,2-s2.0-85121929117,verify_06.csv,WRONG_VALUE,CONTENT,CONTENT,46.7,,"15 top-engagement 'Black infertility' article links tabulated in Table 1 (the Results text states 9 links remained in the 2020 window and 8 in the 2021 window, i.e. 17)",,"7/15 is a cross-category sum; the paper does not state that aggregate as a verbatim percentage, so the computed value is not acceptable.","borderline; loc: Results, Table 1 (Comparison of engagement by platform with graded accuracy of article links); R8 TENSION, FLAGGED FOR ADJUDICATION: the paper reports no overall percentage of misleading/inaccurate links. The value here is the sum of Table 1's five article-subject strata (misleading or inaccurate 2+3+0+1+1 = 7; totals 5+3+3+2+2 = 15). A strict reading of R8 ('never keep a cross-category sum you computed') would drop this row and leave the paper with no extractable value; I kept it because the strata partition one corpus and the numerator category is printed as a single combined column, and because deleting a row is cheaper than recovering a dropped paper. Second problem: Table 1 accounts for 15 links but the Results text says 17 (9 + 8), so the denominator is internally inconsistent. The authors' qualitative headline is consistent with roughly half: 'social media users encounter misleading or inaccurate information regarding Black fertility at similar rates to accurate content'. Two windows collapsed to one row; the paper reports no accuracy split by year. Country left Global: nationality of the links is never stated.",low,,
2-s2.0-85131254702#180,2-s2.0-85131254702,verify_04.csv,WRONG_VALUE,CONTENT,CONTENT,9.1,9.09,"913 geo-located London COVID-19 vaccine tweets drawn from the 12 most common negative-sentiment topic clusters (of 91,473 collected; 8,189 negative-sentiment)",83 tweets (just under 10% of the initial sample) were identified as tweets that contained misinformation (see Figure 3).,"The text states 83 tweets; using the stated 913-tweet denominator gives 83/913 = 9.09%, not the rounded 9.1.","borderline; loc: Results, 'Coding Tweets to Hesitancy Themes', p. 4 (Figure 3); Denominator is 913, not 302: the theme percentages elsewhere in the same paragraph (88 = 29%, 72 = 23%, 10 = 3%) are shares of the 302 codeable tweets, but 83/302 = 27.5% would not be 'just under 10%', whereas 83/913 = 9.1% is, and the authors call 913 'the initial sample'. Value derived per R8 as an exact part/whole share from two verbatim counts with the same denominator; the paper itself gives only the vague 'just under 10%'. Denominator is heavily curated and NOT platform-representative: it is restricted to tweets the NLP tool scored negative in sentiment (9% of the corpus) and then to the 12 largest negative topic clusters (~1% of the corpus). The share therefore says nothing about misinformation prevalence among all London vaccine tweets, and the authors' own framing of a 'high proportion' should not be read as a platform-level estimate. borderline=true because the operational criterion is 'not verified from reputable sources', which is looser than falsity and could in principle capture a true but unsourced claim; the label is nonetheless explicitly a false-content judgment against an external standard, so the row is coded CONTENT rather than QUALITY, with breadth set to the loosest category.",medium,,
2-s2.0-85169998829#242,2-s2.0-85169998829,verify_04.csv,WRONG_VALUE,SHARING,SHARING,55,55.3,"214,159 Japanese-language Twitter users assigned a stance (118,474 pro-use + 95,685 anti-use), i.e. the 82.6% of the 259,151 unique users in the Japanese Ivermectin retweet corpus that the propagation reached","and 82.6% population coverage in Japanese, with 118,474 users tagged as pro-use and 95,685 as anti-use.","The paper gives the counts; 118,474/(118,474+95,685) = 55.3%, not the rounded 55.","borderline; loc: Methods, 'Cross-lingual analysis' (p. 12); headline percentage in Results, 'Cross-lingual misinformation' (p. 3); Split from the English row because the paper reports the two languages separately (separate corpora, separate propagation depths). Same denominator caveat: 118,474 / (118,474 + 95,685) = 55.3%, matching the stated 55%; against all 259,151 users it would be 45.7%. Country coded Global rather than Japan because the paper samples by LANGUAGE, never by user location, and Japanese-language Twitter is only predominantly, not exclusively, Japan-based. Same borderline reasons as the English row (stance-propagation label, no validation statistic).",medium,,
2-s2.0-85173876735#250,2-s2.0-85173876735,verify_01.csv,WRONG_VALUE,RECALL,RECALL,3,,"1,045 U.S. adults surveyed via Qualtrics, recruited on Lucid with quota sampling matched to the U.S. population on age, gender, ethnicity and region",our estimate of true recall of misinformation about fake treatments for COVID-19 was just over 3%.,The paper says “just over 3%”; coding it as exactly 3% is impermissible rounding.,"loc: Findings, Finding 1 (p. 4); Figure 1 bottom panel; Stricter (placebo-corrected) variant of the 30% self-reported treatments row. Reported as 'just over 3%'; value_pct recorded as 3, which is the paper's stated figure and if anything a slight under-statement.",high,,
2-s2.0-105038786687#97,2-s2.0-105038786687,verify_04.csv,WRONG_DENOMINATOR,CONTENT,CONTENT,3.3,3.3,30 ChatGPT-4o responses to 30 real gynecologic-oncology patient telephone scenarios (each rated by four gynecologic oncologists),"Misinformation was identified in 4 responses (3.3%; 95% CI, 0.6–16.7%) including three post-operative care scenarios and one gynecologic symptom management.","The paper's 3.3% is based on 4/120 physician ratings, not 4/30 scenarios as stated in our denominator.","loc: Section 3 Results (also stated in the Abstract Results); The printed percentage is internally inconsistent with the stated denominator: 4 of 30 responses is 13.3%, not 3.3%. The 3.3% is most plausibly computed over the 120 reviewer-by-response judgements (4/120 = 3.3%), which would also fit the reported 95% CI, but the paper never states this denominator. The verbatim 3.3% is kept per R8; confidence set to medium and the ambiguity flagged. Note that 3.3% is also used elsewhere in the same paragraph for a single under-triaged case out of 30, which does not reconcile either.",medium,,
2-s2.0-85096714006#144,2-s2.0-85096714006,verify_06.csv,WRONG_DENOMINATOR,RECALL,RECALL,23.9,23.9,"471 respondents to the news-use / fake-news block of an online survey of Canary Islands residents aged 16+ (item non-response 4.2%; analytic n for the sharing items = 451, per the Table 4 note: intentional distributors n = 108, rest of the sample n = 343)",A strikingly high 23.9% of our sample reported to have had shared “made up or false” or “exaggerated” content about Covid-19 intentionally at some point during the weeks before the survey.,"The percentage uses the analytic sharing sample (N=451), not 471 respondents.","loc: Section 5.2, Table 2 (p. 6); Headline intentional-sharing figure; quote taken from the Discussion (p. 9), the same value is given in section 5.2. Percentages are the 'At some point' column (values 2-6 on the 1-6 frequency scale, 1 = Never). Platform_norm coded 'survey' because the items name no specific platform, though the paper frames the behaviour as social media sharing.",high,,
2-s2.0-85096714006#143,2-s2.0-85096714006,verify_06.csv,WRONG_DENOMINATOR,RECALL,RECALL,51.2,51.2,"471 respondents to the news-use / fake-news block of an online survey of Canary Islands residents aged 16+ (item non-response 4.2%; analytic n for the sharing items = 451, per the Table 4 note: intentional distributors n = 108, rest of the sample n = 343)","taking ‘a’ items together, it is noteworthy that 51.2% of the respondents reported having shared “made up or false” or “exaggerated” content during the weeks before the survey without being aware of it at the time.","The percentage uses the analytic sharing sample (N=451), not 471 respondents.","loc: Section 5.2, Table 2 (p. 6); Headline unintentional-sharing figure. The source_quote runs across a two-column pull-quote in the text file, so the interleaved fragment 'tentionally or unintentionally' sits inside the sentence; the sentence itself reads 'taking ‘a’ items together, it is noteworthy that 51.2% of the respondents reported having shared...'. Percentages are the 'At some point' column (values 2-6 on the 1-6 frequency scale, 1 = Never). Platform_norm coded 'survey' because the items name no specific platform, though the paper frames the behaviour as social media sharing.",high,,
2-s2.0-85096714006#148,2-s2.0-85096714006,verify_06.csv,WRONG_DENOMINATOR,RECALL,RECALL,16.2,16.2,"471 respondents to the news-use / fake-news block of an online survey of Canary Islands residents aged 16+ (item non-response 4.2%; analytic n for the sharing items = 451, per the Table 4 note: intentional distributors n = 108, rest of the sample n = 343)","(b) was exaggerated, and you were aware of this? 83.8% 16.2%","The percentage is from the analytic sharing sample (N=451), not 471 respondents.","loc: Section 5.2, Table 2 (p. 6); Single-item variant of the 23.9% intentional aggregate. Percentages are the 'At some point' column (values 2-6 on the 1-6 frequency scale, 1 = Never). Platform_norm coded 'survey' because the items name no specific platform, though the paper frames the behaviour as social media sharing.",high,,
2-s2.0-85169998829#241,2-s2.0-85169998829,verify_07.csv,WRONG_DENOMINATOR,SHARING,SHARING,57,57,"487,141 English-language Twitter users assigned a stance (280,713 pro-use + 206,428 anti-use), i.e. the 69.7% of the 698,484 unique users in the English Ivermectin retweet corpus that the propagation reached","Of the 698,484 unique users in English and 259,151 in Japanese, 57 percent of English users were tagged as pro-use, and 55 percent in Japanese.","The paper's denominator is all 698,484 English unique users, not only the 487,141 users assigned a stance.","borderline; loc: Results, 'Cross-lingual misinformation' (p. 3); denominators in Methods, 'Cross-lingual analysis' (p. 12); The denominator is the STANCE-TAGGED subset, not all 698,484 users, despite the sentence's phrasing: 280,713 / (280,713 + 206,428) = 57.6%, whereas 280,713 / 698,484 would be 40.2%. Both readings rest on verbatim counts; the row keeps the paper's own 57% and records the alternative here rather than as a second row. Borderline because the label is a STANCE (pro-Ivermectin) assigned by network propagation, not a per-tweet falsity verification: only the ~10 seed users per month were human-coded, the remaining ~487k users were assigned by the retweet-majority rule, and no accuracy, kappa or held-out validation of the propagation is reported. Denominator is a single-issue keyword corpus (Ivermectin), so denom_scope = topical and the value is not a general-population sharing rate. Data span Feb 2020 - Mar 2022; year recorded as 2021, the midpoint and the period of peak volume.",medium,,
2-s2.0-85208517225#281,2-s2.0-85208517225,verify_07.csv,WRONG_DENOMINATOR,CONTENT,CONTENT,50,50,"40 chatbot responses (10 emergency care questions x 4 chatbots), each rated in the accuracy domain by 5 board-certified emergency medicine faculty; the paper reports 400 assessments per chatbot across all 8 domains","Together, the 4 chatbots had the best performance in clarity and understandability (both 85%), intermediate performance in accuracy and completeness (both 50%), and poor performance (10%) for source relevance and reliability (mostly unreported).","The 50% is an aggregate best-score metric across 400 assessments per chatbot, not 40 responses.","borderline; loc: Abstract, Results; repeated in Results, 'Comparative Analysis of Chatbot Performance', p. 6; The reported value is the ACCURATE share (top-score rate), not the misinformation share. The complementary 'less than perfect accuracy' share was deliberately not computed (R8 bars computed complements). borderline=true because the numerator is a dichotomisation of a 5-point ordinal rating (score 5 versus scores 1-4) rather than a binary true/false judgement, so a response with a single minor inaccuracy counts the same as a wholly wrong one. The exact denominator for the accuracy domain alone (40 responses x 5 raters) is not printed in the paper; only '400 assessments for each chatbot' across all 8 domains is stated, so the denominator field describes the rating structure rather than quoting a number. Per-chatbot accuracy values exist only in Figure 2, a radar chart whose numbers are not in the text file, so no per-platform rows were created.",medium,,
2-s2.0-105003865545#22,2-s2.0-105003865545,verify_01.csv,WRONG_CONSTRUCT,CONTENT,CONTENT,62,62,100 adult-CPR instructional videos retrieved with the keyword 'CPR 视频' on three Chinese short-video platforms,incidence of incorrect hand position during compression was as high as 62% (primarily failing to consider the effects of age and gender by commonly compressing at the midpoint between the nipples).,"This is a guideline-based CPR quality/accuracy scoring deficiency, so the construct is QUALITY rather than CONTENT.","loc: Abstract, Results; Discussion, 'Evaluation on video quality for CPR procedures and non-procedural content', p. 7; The source text is laid out in two columns, so a full sentence containing this value is not contiguous in the .txt; the quote is the contiguous fragment from the Discussion ('...Addition-ally, 62% of the videos demonstrated incorrect hand placement for compression'). The same 62% appears in the abstract as 'incorrect hand position during compression (62%)'. Do not confuse with the unrelated 62% of videos showing a successful resuscitation outcome.",high,,
