id,title,country,platform,measure_type,value_pct,value_raw,construct,diet_type,source_quote,denominator,definition,n,source,dedup_status
OA-W2980076021,"Crisis, social media and fake news in Sub-Saharan Africa : The case of the Anglophone problem in Cameroon",Cameroon,Facebook,FULL TEXT NEEDED,,,content_false,political_crisis,"This paper examines and compares the verifiability of the news stories disseminated on Facebook, by the government and the secession activists",news stories on Facebook re Anglophone crisis,verifiability/falsity of crisis news stories,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W4394831676,The role of social media in spreading misinformation about covid-19 in the levant region,Levant,social_media,reported,81.6,,recall,covid_health,81.6 percent of respondents had read Covid-19-related material that turned out to be untrue,online survey respondents (Levant),% self-reporting having read COVID-19 material that was untrue,,abstract,NEEDS_CHECK
OA-W4377246345,(324) TikTok’s Misinformation about COVID-19 Infections and Vaccinations on Male Fertility,,TikTok,FULL TEXT NEEDED,,,content_false,covid_male_fertility,"To identify the role TikTok contributes to misinformation around the COVID-19 virus, vaccination, and male infertility ... leaving 58 videos",58 TikTok videos (#covidvaccine #malefertility),prevalence of COVID/male-fertility misinformation among videos,58,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W4360608277,MP45-18 MISINFORMATION ON TIKTOK ABOUT THE EFFECT OF COVID-19 INFECTIONS AND VACCINATIONS ON MALE FERTILITY,,TikTok,FULL TEXT NEEDED,,,content_false,covid_male_fertility,MISINFORMATION ON TIKTOK ABOUT THE EFFECT OF COVID-19 INFECTIONS AND VACCINATIONS ON MALE FERTILITY,TikTok videos on COVID-19 and male fertility,prevalence of COVID/male-fertility misinformation among TikTok videos,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W7155615941,Misinformation is present in popular social media content about melanoma,,social media,content_share,25,~one-quarter,content,health/melanoma content,"Misinformation was identified in approximately one-quarter of media articles, while none of the peer-reviewed journal articles contained misinformation or harmful information.",high-engagement melanoma media articles,% of media articles containing misinformation,,abstract,NEEDS_CHECK
OA-W7165570035,Dental caries misinformation on Instagram: Investigation of sharing and engagement factors,Brazil,Instagram,content_share,21.8,109/500,content,dental caries posts,The findings indicated that 21.8% of the analyzed posts contained misinformation,500 Instagram posts (Aug 2018-Aug 2022),% of analyzed posts containing misinformation,500,abstract,NEEDS_CHECK
OA-W4410388894,Exploring TikTok's Effect on Perceptions and Misinformation Surrounding Hormonal Birth Control [ID 698],,TikTok,content_share,55,11/20,content,hormonal birth control videos,"Among videos with the direct purpose of public health education (n=20), 55% contained inaccurate, non-evidence-based, or misleading information",20 top TikTok #hormonalbirthcontrol public-health-education videos,% of education-purpose videos with inaccurate/misleading info,20,abstract,NEEDS_CHECK
OA-W7133343648,"Agricultural knowledge sharing through Whatsapp farming groups: Dynamics, quality, and misinformation risks",Bosnia and Herzegovina,WhatsApp,concentration,31.4,,content,agricultural WhatsApp messages,"Misinformation concentrated in pesticide recommendations (31.4%), disease identification (24.7%), and market claims (18.9%).",misinformation instances across 84 farming groups (12847 messages),% of misinformation falling in pesticide-recommendation topic,12847,abstract,NEEDS_CHECK
OA-W7133343648,"Agricultural knowledge sharing through Whatsapp farming groups: Dynamics, quality, and misinformation risks",Bosnia and Herzegovina,WhatsApp,concentration,24.7,,content,agricultural WhatsApp messages,"Misinformation concentrated in pesticide recommendations (31.4%), disease identification (24.7%), and market claims (18.9%).",misinformation instances across 84 farming groups (12847 messages),% of misinformation falling in disease-identification topic,12847,abstract,NEEDS_CHECK
OA-W7133343648,"Agricultural knowledge sharing through Whatsapp farming groups: Dynamics, quality, and misinformation risks",Bosnia and Herzegovina,WhatsApp,concentration,18.9,,content,agricultural WhatsApp messages,"Misinformation concentrated in pesticide recommendations (31.4%), disease identification (24.7%), and market claims (18.9%).",misinformation instances across 84 farming groups (12847 messages),% of misinformation falling in market-claims topic,12847,abstract,NEEDS_CHECK
OA-W4377015071,A Look at Social Media and Misinformation in Regard to Abortion [ID: 1379920],USA,Instagram,FULL TEXT NEEDED,,,content,abortion posts,Our study aimed to define the rate of medical misinformation for abortion on Instagram and evaluate its source.,Instagram posts >=250 likes Jan-Jul 2022 with target hashtags,rate of medical misinformation for abortion (value not in abstract),,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W7135429226,Uncertainty-Aware Estimation of Mis/Disinformation Prevalence on Social Media,France; Poland; Slovakia; Spain,Facebook; Instagram; LinkedIn; TikTok; X/Twitter; YouTube,FULL TEXT NEEDED,,,content,social media,"present a methodological contribution in which confidence intervals were used to quantify uncertainties related to mis/disinformation prevalence ... multi-platform, multilingual dataset annotated by professional fact-checkers",multi-platform fact-checker-annotated posts,Prevalence of mis/disinformation among social media posts (fact-checker annotated),,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W4407797130,Reach and dissemination channels of (selected) disinformation narratives in Serbia,Serbia,survey (multi-platform narratives),recognition,,,recall,survey,"The findings reveal a significant reach of these narratives, with four out of seven being recognized by over half of",survey respondents (N=800),Share of respondents recognizing selected disinformation narratives,800,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W2992531903,"In France and Italy, the so-called “fake news” have a limited reach, new study reveals",France; Italy,online (news/social),FULL TEXT NEEDED,,,exposure,online,"In France and Italy, the so-called 'fake news' have a limited reach ... Measuring the reach of fake news and online disinformation in Europe",audience online news/disinfo consumption,Reach/exposure to fake news outlets as share of online diet,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W3206858890,Fake news: the impact of the internet on population health,Brazil,social media (questionnaire),FULL TEXT NEEDED,,,recall,survey,"The questionnaire collected information regarding ... receipt of fake news, and means of transmission of fake news ... Out of 1,195 respondents",survey respondents (N=1195),Share of respondents reporting receipt of (health) fake news,1195,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W4401812299,Disinformation and Russia-Ukrainian War on Canadian Social Media,Canada,X/Twitter,FULL TEXT NEEDED,,,content,social media,we venture to examine the prevalence of pro-Russian narratives on Canadian social media ... collecting more than 6.2 million Tweets globally since January 2022,6.2M+ collected tweets,Prevalence of pro-Russian disinformation narratives on Canadian Twitter,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
