study_id,window,study_median_seen_pct,question_verbatim,evidence_note,text_kind
2-s2.0-105031067442,frequency_scale,34.12,How much of the health information that you see on social media do you think is false or misleading? [I do not use social media / None / A little / Some / A lot],"Secondary analysis of HINTS 6; the item is printed verbatim in Measurements and in the Appendix table (None 1.58%, A little 17.50%, Some 46.80%, A lot 34.12%). Present tense, no period; amount scale, unbounded.",v2txt_raw
2-s2.0-105031841007,frequency_scale,23.6,"V7_ Receção de notícias falsas [Reception of fake news]: 1 = Nunca, 2 = Quase nunca, 3 = Ocasionalmente, 4 = Frequentemente, 5 = Sempre [1 = Never, 2 = Almost never, 3 = Occasionally, 4 = Frequently, 5 = Always]",Table 1 lists the variable and its five-point scale; the article prints the variable label rather than the full question stem. Unbounded frequency scale with no period. Frozen values are the marginals of V7 (27.2% never; 20% frequently or always).,v2txt
2-s2.0-105035324985,frequency_scale,27.62,,"Item is Question 4 of the 'Exposure to the coronavirus misinformation' block in Appendix A (supplementary survey instrument), which is not in the archived text. The reported response options are an unbounded how-often scale: daily (27.62%), weekly (24.29%), less than once a month (20.48%), never (10%). Survey fielded January 2021.",v2txt_raw
2-s2.0-105040346162,unclear,22.4,,"The article reports only 'The respondents were asked about their level of exposure to fake news' with categories Low (24.5%) / Moderate (53.1%) / High (22.4%). No item wording and no response anchors that would reveal a time frame, so the window cannot be determined.",v2txt
2-s2.0-105040997538,frequency_scale,59,"How much of the health information that you see on social media do you think is false or misleading? [a lot, some, a little, none]","HINTS 7 (2024); item printed verbatim in Measures. Present tense, no period; an amount scale, unbounded.",v2txt_raw
2-s2.0-84903975957,ever,94.7,,"Item wording not printed; the results read 'A much higher portion of the respondents (n = 162, 94.7%) said that they had seen other people share misinformation on social media.' Past-perfect with no stated period, alongside a companion item on whether they had themselves shared misinformation.",v2txt
2-s2.0-85046956316,ever,41.5,,"Exact wording not printed; the methods say the survey asked 'whether they had encountered purportedly fake news and, if so, how they had reacted to it', and 'the questions asked for instances where respondents had had cause to reflect on the truth of a story'. No period; the two frozen values (37% believed-then-realised-false; 46% immediately identified as fake) come from these items. Survey fielded May 2017, n = 309.",v2txt
2-s2.0-85072114698,period_specific,95.02,,,coded 2026-08-12
2-s2.0-85083060520,past_month,29,During the last month have you come across any information that you know or learned was 'fake news' (news that was produced in order to give false information)?,"Dependent-variable wording printed verbatim in the Measures section. Explicit one-month window; frozen values are the US (36%/29% depending on wave), French (29%) and UK (19%) marginals.",v2txt
2-s2.0-85083635352,ever,71,,"Wording of the exposure item is not printed; the Mediciones section says 'Los participantes fueron expuestos a 4 noticias falsas en el área de la salud, que habían circulado en Chile los 15 meses anteriores' [Participants were shown 4 false health news stories that had circulated in Chile over the previous 15 months] and the results say 'dijeron haber sido expuestas entre un 65,2% y un 75,4% de las veces' [they said they had been exposed between 65.2% and 75.4% of the time]. The 15-month bound describes when the stories circulated, not a stated recall window; no period is attached to the question itself.",v2txt
2-s2.0-85085573221,ever,68.2,,,coded 2026-08-12
2-s2.0-85088839117,ever,59.9,,Exact item wording not printed. Participants in the Together 5000 cohort were shown the two TDF/Truvada injury-lawsuit ads 'exactly as they appeared on social media' and asked whether they had seen them; 59.9% said yes. No recall period is stated; the ads themselves began circulating mid-2019 and the assessment ran October 2019 to March 2020.,v2txt
2-s2.0-85096102360,past_3_months,67.78,,,coded 2026-08-12
2-s2.0-85100334459,ever,87.6,"Question 9: Now think specifically about what you do when you receive or forward fake news. Have you ever received, through any medium, fake news?","Item printed verbatim as the header of Table 14; explicit 'ever', no period. Frozen 87.6% is the 'have received fake news' row (n = 501 Spaniards aged 18-25, fielded 23 July to 14 August 2020).",v2txt
2-s2.0-85100947948,ever,62,"Has visto una noticia en línea o en las redes sociales y has pensado que era una 'noticia falsa' [You've seen news online or in the social media and thought it was 'fake news'] - No, nunca / Seguramente no / No estoy seguro/a / Probablemente sí / Sí, seguro [No, never / Probably not / Not sure / Probably yes / Yes, for sure]","CHECK-M questionnaire item, printed verbatim in Table 1 and Figure 1. Perfect tense with no period; the frozen 62% is the 'Sí, seguro' [Yes, for sure] bar.",v2txt
2-s2.0-85102898157,frequency_scale,50.785,,"Item paraphrased in the results: 'Respondents were asked to cite up to three topics on which they believe they receive fake news most frequently' (Tables 5 and 6). No period; the framing is general frequency ('most frequently'), not a bounded window. Fieldwork 24-30 April 2019, N = 1,001 Spaniards. Note the frozen values are topic shares among people who receive fake news, not an exposure prevalence (see report flags).",v2txt
2-s2.0-85104228138,past_week,56.6,"Participants were asked in the past week whether (yes or no) they had experienced any of the following on social media as related to COVID-19: (a) seeing someone else sharing misinformation, (b) sharing misinformation yourself, (c) being told you shared misinformation ('being corrected'), (d) seeing someone else being told they shared misinformation ('witnessing correction'), or (e) telling someone they shared misinformation ('correcting someone else').","Measures section prints the item battery; explicit past-week window. Frozen 56.6% is item (a), seeing someone else sharing COVID-19 misinformation, among regular social media users (N = 1,043, late March 2020).",v2txt_raw
2-s2.0-85112780522,past_year,56.2,,"Item paraphrased in the results: 'When asked if patients had raised MM [medical misinformation] in a clinical encounter within the past year, 94.2% (2047/2183) of respondents said yes'; the discussion repeats that the May 2020 survey 'asked for recollections of MM within the previous year'. The five topic items (vaccines 65.5%, COVID-19 treatment 56.2% etc.) are often/sometimes/rarely/never scales inside that same one-year frame.",v2txt_raw
2-s2.0-85116003554,past_6_months,44,respondents were asked how often they came across news stories that they thought were fake in the past 6 months ... (1 = never; 4 = often),"Measures section states the window explicitly, and the findings repeat it ('at least some of the news stories they encountered in the past 6 months were completely made up'). Fake news defined for respondents as 'news stories that are completely made up'. Survey of 1,111 Chinese citizens, late 2018.",v2txt_raw
2-s2.0-85117084466,frequency_scale,66.35,,"Variable V3 is described as 'con qué frecuencia las reciben' [how often they receive them], with categories a veces / con frecuencia / siempre [sometimes / frequently / always]: 62.2% sometimes, 35.7% frequently or always, so 97% receive fake news at some frequency. The questionnaire item stem is not reproduced; the scale is unbounded with no period. N = 465 Spaniards aged 18-24.",v2txt
2-s2.0-85117399204,past_6_months,73,,,coded 2026-08-12
2-s2.0-85118260096,ever,18,,,coded 2026-08-12
2-s2.0-85118574992,ever,73.1,,"Item wording not printed. The survey has a branching question: 57 of 75 respondents (76%) 'said that they have come across fake news before' (the 'SeenFake-57' subset), who were then asked where they had observed it (instant messaging 77.2%, social media 70.2%, word of mouth 66.7%). 'Before' with no period.",v2txt
2-s2.0-85122150740,ever,71,"participants also indicated whether they had heard, believed, or shared each of the following COVID-19 rumors (yes / no): (1) drinking water frequently will help prevent infection; (2) eating garlic can help prevent infection; ... (5) the virus was created in a Chinese lab as a bioweapon","Measures section prints the battery; five named rumours, yes/no, with no recall period attached. Survey of 1,011 migrant workers in Singapore, 22 June to 11 October 2020; 88.9% had heard at least one, 53.1% had heard 3-5.",v2txt_raw
2-s2.0-85124307830,past_month,56.65,,,coded 2026-08-12
2-s2.0-85124823821,unclear,93.1,,,coded 2026-08-12
2-s2.0-85128118104,ever,83.6,,,coded 2026-08-12
2-s2.0-85131270273,past_year,13.275,,"Item wording not printed; Measures only says participants 'indicated whether they recalled and believed' each of six named claims (three COVID-19/nicotine, three general nicotine). The single time cue in the article is in the Results/Discussion: 'lower education participants were more likely to believe them, but not to recall exposure to them in the last year', i.e. the authors describe their own recall measure as a last-year window. Low-confidence past_year: the stem itself is never reproduced.",v2txt
2-s2.0-85135857201,ever,57.6,"Have you heard about any misinformation or false claims related to the COVID-19 vaccines? If so, please write down any false information you have come across.","Study 1 open-ended item, printed verbatim in the Procedure section; no period. 57.6% of the 426 codable respondents named at least one piece of vaccine misinformation.",v2txt
2-s2.0-85139242483,frequency_scale,79.26,,"The frozen 79.26% is a sample-description item: 'The majority (79.26%) indicated that they often encountered news and information that contain misleading content' - an often/not-often frequency report with no period. The study's main exposure scale is also unbounded: participants 'indicate how often they have read each claim on a) social media, b) online news websites, and c) family/friends/coworkers', 0 = not at all to 6 = a lot.",v2txt
2-s2.0-85139957474,frequency_scale,36.7,"How often do you come across news or information that you believe misrepresent reality or is even false? [1 = Every day or almost every day, 2 = At least once a week, 3 = Several times a month, 4 = Seldom or Never]","Flash Eurobarometer 464 item, printed verbatim in Measures. Unbounded how-often scale with no period; the frozen values are the shares answering 'every day or almost every day' or 'at least once a week' for the EU sample (33.9%) and for Spain (53%), France (39.5%) and Portugal/Italy (32.5%).",v2txt
2-s2.0-85140623057,past_month,70,"The next questions will ask about misinformation on social media. By misinformation, we mean false or misleading information. In the past month, how often on social media have you seen someone share misinformation?","Item and response options printed in the Table 1 measures table. Explicit one-month window, recoded to a 0/1 dummy; frozen values are the country shares (pooled 70%; 73%, 67%, 66%, 74% across the four surveyed countries).",v2txt
2-s2.0-85141702826,frequency_scale,83.1,I have read fake news on social media about COVID-19 [Very large extent / Large extent / Rarely / Never],"Item and response distribution printed in Table 1 (Very large extent 39.6%, Large extent 43.5%, Rarely 13.8%, Never 3.1%; 83.1% = very large + large). An unbounded extent/frequency scale with no period; the COVID-19 outbreak is the topic, not a stated recall window. n = 259, Lagos.",v2txt
2-s2.0-85143274147,period_specific,91.2,,,coded 2026-08-12
2-s2.0-85143601086,past_month,55.5,"The next questions will be about misinformation on social media. By misinformation, we mean false or misleading information. [Then] In the past month, how often on social media have you seen someone share misinformation?","Exposure item printed verbatim in Measures; explicit one-month window. Frozen values are the four-country shares of self-assessed Covid-19 misinformation exposure (all respondents 55%, US 46%, UK 54-56%, France 56%, Canada 59% per Figure 2). The authors note they deliberately switched the reference period to 'ever' only for the sharing item.",v2txt_raw
2-s2.0-85153780137,period_specific,58.8,,"Item stem not printed; Table 3 labels it 'Observing Fake News That Went Viral' (Yes/No) and the text describes it as 'the observation of fake news related to COVID-19 going viral in the participants' respective cities'. The two administrations are tied to defined pandemic waves in Ukraine (15 March-25 April 2020; 10 October-25 November 2020), and neighbouring items in the same instrument use 'In the last month'. Lower-confidence period_specific: the window is inferred from the wave design and the COVID-viral framing, not from a printed stem. Frozen 58.8% is the first wave (n = 199).",v2txt_raw
2-s2.0-85161897232,frequency_scale,55,,"Item stem is in Multimedia Appendix 1, not in the archived text. The reported response options are an unbounded how-often scale: 55% (n = 1,010) 'believed that they encountered misinformation sometimes, a lot, or quite a lot'. The methods describe the section as covering 'perceptions of encountering misinformation during the pandemic', i.e. a topic reference rather than a printed recall period, so coded on the frequency scale.",v2txt
2-s2.0-85172813494,ever,63.8,,,coded 2026-08-12
2-s2.0-85173876735,period_specific,20.5,"Do you recall seeing this claim about COVID-19 reported or discussed in recent months? (Answer choices: yes, no, or unsure)","Item printed verbatim twice (Measures and the Appendix question-wording section). 'In recent months' is a vague bounded frame rather than a defined number of weeks or months, applied to named COVID-19 headlines, with the survey fielded 2-3 May 2020 (Lucid, n = 1,045). Frozen values: 37% and 30% self-reported recall for the two misinformation categories; 11% and 3% are the placebo-corrected 'true recall' estimates.",v2txt
2-s2.0-85175983241,past_week,52.3,"In the last 7 days, have you heard, read or seen <misinformation item>? [Yes / No / Not sure] ... A final open-ended item asked them to share any other COVID-19 information they had heard in the last seven days.","Both the closed misinformation-item battery and the open-ended item are printed verbatim with the seven-day window (weekly mobile surveys of the iHeard STL panel). The frozen 52.3% is the share of panel members (112 of 214) who at some point volunteered an open-ended claim classified as misinformation, each such claim being something heard in the past 7 days.",v2txt
2-s2.0-85181200454,past_week,48.5,,,coded 2026-08-12
2-s2.0-85189042631,frequency_scale,92.98,"QD: How much do you think made-up news and information about the basic facts of the coronavirus is around you? [not at all = 1, a little = 2, a moderate amount = 3, a lot = 4, a great deal = 5]","Item and scale printed verbatim (Figure 2 description and the perception-scale note). An unbounded amount scale with no period; the frozen 92.98% is everyone above 'not at all' (a great deal 42.11%, a moderate amount 41.60%, plus a lot / a little). A companion item, QE, does carry a window ('During the past 2 years, did you initially think any of the made-up news was true?'), but the frozen value comes from QD.",v2txt
2-s2.0-85194880315,frequency_scale,51,,,coded 2026-08-12
2-s2.0-85199446608,past_week,53.33,,,coded 2026-08-12
2-s2.0-85205142420,frequency_scale,54.8,¿Con qué frecuencia recibes noticias que crees que son falsas? [How often do you receive news that you think is false?],"Item printed verbatim in the questionnaire list. Unbounded how-often scale (daily / weekly / monthly / less often); 89.2% say they receive fake news at all, 25.9% weekly, 54.8% name social media as the channel. n = 1,350 Spaniards aged 18-80.",v2txt
2-s2.0-85205336320,frequency_scale,36,How much of the health information that you see on social media do you think is false or misleading?,"Another HINTS 6 (2022) analysis; item printed verbatim in Measures, dichotomised here into 'Substantial' (36%) vs '< substantial' (64%). Present tense, no period; amount scale, unbounded.",v2txt
NEW-jadara-2022,ever,81.6,,,coded 2026-08-12
NEW-moreno-jmirderma,ever,43,,,coded 2026-08-12
NEW-vanantwerpen-esm,period_specific,50.41,,,coded 2026-08-12
OA-W3206858890,unclear_no_fulltext,89.4,,,coded 2026-08-12
OA-W4407797130,ever,50.1,,,coded 2026-08-12
SEED-allcott2017,period_specific,15,,,coded 2026-08-12
W3171657220,ever,62.9,Have you ever heard that symptoms of COVID-19 seem to be connected to 5G mobile network radiation? [Yes / No / Not Sure],"Item printed verbatim as a Table 1 row with its response distribution (Yes 162 = 62.9%, No 72 = 27.8%, Not Sure 24 = 9.3%, total 258). Explicit 'ever heard'. Online WhatsApp-recruited sample in Zambia, June-July 2020.",behavioural_arm_txt
W4210350805,period_specific,74.1,,"Item wording is never printed; there is no questionnaire appendix. The Methods say the third of five questionnaire segments 'was on their exposure to the October 11 2017 army ""deadly vaccine"" episode', and Table 7 is labelled 'Respondents' Exposure to the Army ""Deadly Vaccine"" Report' (Yes 332 = 100.0%, No 0). Exposure is bounded by the single dated event, so period_specific. INCONSISTENCY: the abstract says 'most civil servants ... were exposed', the results say 100% were; the manuscript also gives no fieldwork date, so the gap between the event and the survey is unknown. Frozen rows are 100.0 (any channel), 85.5 (via social media), 74.1 (social media as first source), 65.7 (WhatsApp) and 16.9 (Facebook); median 74.1.",behavioural_arm_txt
W4313324568,frequency_scale,41.75,,"Neither item is printed verbatim; the 27-item questionnaire is not reproduced. The paper reports 'the percentages regarding the frequency they encounter fake news are the following: 28,7% answered not very often, 25,2% answered often and 22,6% answered rarely', i.e. an unbounded how-often scale with no period, hence frequency_scale. INCONSISTENCY: the same 58.3% figure is described on p.467 as respondents who 'have been influenced by disinformation' and on p.470 as 'the participants' being deceived by news that has later proven to be fake'; the fake-news frequency result is also cited to 'Figure 10', which is captioned 'Importance of Mobile Phone ownership for Gen Z'. The 58.3% estimate is a self-reported deception/influence item, not an exposure-recall item. Frozen rows 25.2 and 58.3; median 41.8.",behavioural_arm_txt
W4414351820,unclear,57.7,Most political information on social media are false and unreliable [5-point Likert: Strongly Agree / Agree / Undecided / Disagree / Strongly Disagree],"Item printed verbatim as Table 2 row 2 (SA 177 = 37%, A 97 = 20%, UD 13 = 3%, D 131 = 28%, SD 57 = 12%). Wording is known but no window can be assigned: it is an agree/disagree perception of the social media information environment, with no temporal reference and no self-exposure framing, so it is not a recall item (same treatment as 2-s2.0-85142229013). INCONSISTENCY: the text glosses the table as 'N = 58%' where SA+A = 57%; it also reports the trivial-issues item as 'X = 3.1; SD = 1.6' where Table 2 row 4 shows 4.1 (1.5), and reads row 3 ('Political awareness found on the social media are never current and up to date', Reject) as showing 'the awareness are often current (N = 86%)'.",behavioural_arm_txt
W7117302408,unclear,69,,"Item wording is never printed. The only sources are the Table 4 row label 'Exposure to misinformation and fake news — 69' and the gloss 'About 69% of respondents indicated that misleading or false information circulating on social media platforms created confusion regarding the objectives, procedures, and implications of the NIN-SIM registration policy'. The Methods say all items used a five-point strongly agree to strongly disagree scale, but Table 4 reports a bare percentage without saying which categories it aggregates. No temporal reference; the item reads as endorsement of misinformation as a 'challenge' to government communication rather than a report of personal encounters, so no window can be assigned.",behavioural_arm_txt
W7163821603,unclear_no_fulltext,71,,"Conference abstract only (Proceedings of the Nutrition Society, Nutrition Society Winter Conference 2026); there is no full text, no methods detail and no questionnaire. The single sentence is 'Although 71% had encountered nutrition misinformation, few consistently verified the nutrition qualifications of creators (13%)'. n = 24 London adolescents. No item wording, no response options, no window.",behavioural_arm_txt (abstract only)
W7168027278,unclear,75,,"Item wording is never printed. Figure 1 is captioned with the research question ('What is the level of exposure among Catholic youth to religious misinformation on social media?') and shows a five-category self-rating of EXPOSURE LEVEL (Very High 35%, High 40%, Moderate 15%, Low 7%, Very Low 3%). A level-of-exposure self-rating with no temporal reference and no stated anchors is coded unclear, following 2-s2.0-105040346162 (identical Low/Moderate/High structure). INCONSISTENCY: the abstract reports the same 75% as 'reporting frequent encounters with misleading religious content' (a frequency framing) while the results present it as a level-of-exposure rating; coded from the results.",behavioural_arm_txt
