eid,verdict,reason
2-s2.0-85201793136,CORRECT_EXCLUDE,LLM factuality challenges review commentary
2-s2.0-85070443274,CORRECT_EXCLUDE,fake nutrition news commentary not empirical
2-s2.0-85208263607,CORRECT_EXCLUDE,conference proceedings not empirical study
2-s2.0-85128263334,CORRECT_EXCLUDE,state-sponsored IO mapping methods not prevalence
2-s2.0-105009921620,CORRECT_EXCLUDE,neglected tropical diseases off-topic
2-s2.0-85100401805,CORRECT_EXCLUDE,fake news detection shared task NLP
2-s2.0-85113822400,CORRECT_EXCLUDE,lupus social media content not misinfo prevalence
2-s2.0-85028692827,CORRECT_EXCLUDE,pseudo-knowledge construction qualitative not prevalence
2-s2.0-85192313742,CORRECT_EXCLUDE,anti-immigrant attitudes social media use off-topic
2-s2.0-85185165524,CORRECT_EXCLUDE,abortion support seeking qualitative off-topic
2-s2.0-105039502179,CORRECT_EXCLUDE,epidemic contact model simulation
2-s2.0-105034512352,CORRECT_EXCLUDE,cannabis health literacy off-topic
2-s2.0-84910048383,CORRECT_EXCLUDE,anomalous info spreading visual analysis tool
2-s2.0-105008387560,CORRECT_EXCLUDE,NutriScore nutritional labeling off-topic
2-s2.0-105025544094,FN_CANDIDATE,Sky News Australia network propaganda content analysis
2-s2.0-85146999504,CORRECT_EXCLUDE,fact-checking labels intervention study
2-s2.0-85042523562,FN_CANDIDATE,stock photos compliance with safe sleep guidelines
2-s2.0-85211791704,CORRECT_EXCLUDE,LSTM fake news classification detector
