eid,verdict,construct,reason
2-s2.0-85194077046,EXTRACT,behavioural exposure,misinformation exposure persistence via Twitter follow ties
2-s2.0-85195226656,EXTRACT,% content false,misinfo proportion in Facebook toothache posts
2-s2.0-85195339204,EXTRACT,concentration,advertising revenue concentration on misinfo sites
2-s2.0-85195353413,EXTRACT,behavioural exposure,deplatforming effect on misinfo reach on Twitter
2-s2.0-85197085883,EXTRACT,% content false,tracking misinfo narratives across unreliable news websites
2-s2.0-85197369320,EXTRACT,% content false,COVID and Ukraine disinformation comparison in Europe
2-s2.0-85199110625,EXTRACT,behavioural exposure,supply demand diffusion of news including misinfo
2-s2.0-85199398341,EXTRACT,% content false,reliability of YouTube lymphedema videos for Spanish speakers
2-s2.0-85199669897,EXTRACT,% content false,trustworthiness of Arabic dental extraction online info
2-s2.0-85199752456,EXTRACT,% content false,misinfo prevalence in Mediterranean diet TikTok content
2-s2.0-85202849284,EXTRACT,real-world sharing,Russian propaganda influence on media agenda quantified
2-s2.0-85203354546,EXTRACT,% content false,COVID misinfo types across countries comparative analysis
2-s2.0-85204117613,EXTRACT,behavioural exposure,actual fake news exposure in two-panel US survey
2-s2.0-85205141299,EXTRACT,% content false,content analysis of 4245 fact-checker debunks in Spain
2-s2.0-85205594046,EXTRACT,real-world sharing,partisan asymmetry in misinfo sharing
2-s2.0-85206523173,EXTRACT,behavioural exposure,probabilistic estimate of users exposed and believing misinfo
2-s2.0-85206919681,EXTRACT,% content false,disinformation prevalence in Swiss Facebook political actors
2-s2.0-85206960578,EXTRACT,real-world sharing,features predicting mpox misinfo sharing on TikTok/Douyin
2-s2.0-85209206311,EXTRACT,behavioural exposure,info consumption in news deserts vs non-deserts
2-s2.0-85209547248,EXTRACT,behavioural exposure,QAnon website exposure from 21M website visits
2-s2.0-85210935923,EXTRACT,% content false,misinfo proportion in SB277 vaccine tweets
2-s2.0-85212049380,EXTRACT,% content false,disinformation by Spanish political parties content analysis
2-s2.0-85213941586,EXTRACT,% content false,anti/pro-environmental disinformation from Spanish political actors
2-s2.0-85213958624,EXTRACT,behavioural exposure,virality and exposure to misinfo on Facebook 2020 election
2-s2.0-85214085344,EXTRACT,real-world sharing,regime type and government disinformation on social media
2-s2.0-85215100183,EXTRACT,real-world sharing,party misinfo sharing from 32M tweets across 26 countries
2-s2.0-85215303159,EXTRACT,% content false,Italian vaccine misinfo volume across platforms 6 years
2-s2.0-85217138459,EXTRACT,% content false,dermatology misinfo quality analysis on TikTok
2-s2.0-85217829893,EXTRACT,% content false,proportion disinformation in WhatsApp political groups Chile
2-s2.0-86000080679,SKIP,other,qualitative thematic analysis no quantitative misinfo measure
2-s2.0-86000183980,EXTRACT,real-world sharing,reappearance rate of true vs false stories on Twitter
2-s2.0-86000286752,EXTRACT,% content false,quality/misinfo rate in YouTube premature ejaculation videos
