id,disposition,orig_disposition,reason
2-s2.0-84919906574,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Qualitative/epidemiological modeling of Ebola rumor spread on Twitter; notes rumors were 'a small fraction' but gives no prevalence estimate with a denominator
2-s2.0-84942914497,EXCLUDED,EXCLUDE,"Curated conspiracy corpus (39 pre-selected Italian conspiracy Facebook pages); analyzes consumption/topic patterns within the corpus only, no total denominator for misinfo prevalence/exposure."
2-s2.0-84955180625,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Facebook network study (2.3M users) of troll-meme injection; 56% of 1279 troll-liking users are alternative-info affiliated. User-affiliation share, not misinfo consumption prevalence with denominator."
2-s2.0-84955265301,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; Del Vicario 2016 'spreading of misinformation online' - cascade/echo-chamber study, likely no audience prevalence denominator, indeterminate"
2-s2.0-84992359761,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Facebook consumption/homophily/polarization network study of 1.2M users (science vs conspiracy pages); characterizes engagement and polarization but gives no % of users exposed or % of diet that is misinfo with a denominator.
2-s2.0-85016088761,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; 'Anatomy of news consumption on Facebook' (Schmidt 2017) - consumption patterns, may report share on unreliable pages, indeterminate"
2-s2.0-85016413464,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: No title and no text available; fully indeterminate"
2-s2.0-85018337913,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Measures proportional Twitter exposure to HPV-vaccine topics (incl. misinfo/conspiracy) across states, but reports topic exposures per state/topic and regression variance explained, not a single misinfo-exposure prevalence with a clean denominator."
2-s2.0-85038621544,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85042177527,EXCLUDED,EXCLUDE,"Diffusion/temporal-pattern analysis of 17 pre-selected fact-checked political rumors (13 false, 4 true); no audience-level prevalence/exposure denominator. Numbers (e.g. '>70% of rumor tweets contained a hyperlink') describe a curated rumor corpus, not misinfo prevalence."
2-s2.0-85043256051,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Vosoughi et al. differential diffusion (depth/breadth/velocity) of true vs false rumor cascades; no audience-level exposure/consumption or content-prevalence estimate with a denominator
2-s2.0-85043684270,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85047074604,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Vaccination echo-chamber/polarization analysis on Facebook. Reports community sizes and selective-exposure page counts, but no misinformation prevalence/exposure estimate with denominator."
2-s2.0-85054400923,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Content analysis of 91 YouTube SCB videos coded for themes (describes K2, dangers, promotes use, safe) but does not classify videos as misinformation/false; no misinfo-prevalence proportion. Note: mentions misinfo but codes promotion/glorification themes only."
2-s2.0-85057304142,EXCLUDED_OUT_OF_SCOPE,RECOVER,"troll-PRODUCER concentration, not audience consumption (out of scope; Sacha 2026-07-15)"
2-s2.0-85062230191,EXCLUDED_OUT_OF_SCOPE,RECOVER,curated non-organic corpus (16 purposive pages incl. debunking sites); no real denominator (2nd-reader)
2-s2.0-85064047916,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Typology of influential Twitter users and URL source categories for MMR-vaccine vs diet tweets. Fake-news finding is only relative ('more than twice as likely to reference fake news URLs'); no denominator-based % of fake-news URLs reported.
2-s2.0-85065637688,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Allcott/Gentzkow/Yu measure Facebook engagements and Twitter shares of fake-news content over time; engagement volumes/ratios only, no % of news diet or % of users exposed"
2-s2.0-85068044507,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Topic-modeling/popularity trends of 923 vaccine articles (541 pro / 382 anti) from Google searches; 'anti-vaccine' is not equated with misinformation and search results are not an audience diet, so no clean misinfo prevalence/exposure denominator."
2-s2.0-85069463871,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Characterization/influence (Hawkes) of state-sponsored trolls' 10M posts. No audience-level misinfo consumption/exposure prevalence with denominator.
2-s2.0-85070770827,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Measures media visibility of climate contrarians vs scientists (contrarians featured in 49% more articles) - a relative actor-visibility comparison, not an audience-level exposure/consumption prevalence with a denominator."
2-s2.0-85073166245,EXCLUDED,EXCLUDE,"Framing/completeness content analysis of 23 alcohol-industry vs 19 public-health websites; counts presence of themes/omissions, not audience exposure or a % of items that are false. Out of scope."
2-s2.0-85075076652,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85076237931,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Analysis of social-media engagement/shares of 94,993 GMO articles; alt-health/pro-conspiracy sites got more engagement than mainstream. Engagement metrics only; no share of articles classified false with a denominator."
2-s2.0-85079906241,EXCLUDED,EXCLUDE,Content analysis of flu-vaccine Facebook posts by stance (pro/anti/informational) plus shares/likes engagement; antivaccine stance not equated to verified misinformation and no veracity-prevalence denominator
2-s2.0-85086354426,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Study of reach/engagement of a specific SMT/immunity claim from a keyword-targeted Twitter search; corpus defined by the claim itself, 70% coded not-relevant, and the promoting-tweet percentages (187=24%) are internally inconsistent with the 1118 denominator, so not a clean content-prevalence estimate."
2-s2.0-85086772538,EXCLUDED_OUT_OF_SCOPE,RECOVER,"paper excluded (Sacha 2026-07-15); rumor-advancement, not a prevalence with clean denominator"
2-s2.0-85086931774,EXCLUDED_OUT_OF_SCOPE,RECOVER,"vaccine-book stance + supply-side availability, not verified-false audience consumption (Sacha)"
2-s2.0-85087004712,EXCLUDED,EXCLUDE,"Quality/accuracy rating study of 42 scoliosis websites (DISCERN/JAMA/HONcode, accuracy 1-4 scale); no misinfo prevalence with a denominator. Out of scope (reliability/quality ratings)."
2-s2.0-85087868578,EXCLUDED,EXCLUDE,"Fact-check corpus content analysis of 292 debunked COVID hoaxes (Spain); characterizes platform, format, topic, source, hoax type. Curated debunked set with no total-content denominator; no audience-exposure/prevalence estimate."
2-s2.0-85088528989,EXCLUDED,EXCLUDE,"Corpus of 26,138 Weibo posts already flagged as misinformation (debunk-center curated); no total denominator, so no prevalence. Reports content/topic characterization and feature frequencies within the misinfo corpus only."
2-s2.0-85089164285,EXCLUDED,EXCLUDE,"Experimental study: authors disseminated 14 researcher-created fake-news ads on Facebook and tracked reach/clicks (119,982 reached, 12.7% clicked); measures planted-content reach by age, not natural population prevalence of misinformation"
2-s2.0-85090999469,EXCLUDED,EXCLUDE,"Self-selected hoax corpus: participants voluntarily forwarded suspected hoaxes (2353 messages, 584 validated hoaxes, subsample 126). Not a representative sample of a message diet, so 584/2353 is not a valid prevalence denominator; a content analysis of a hoax corpus."
2-s2.0-85091127753,EXCLUDED,EXCLUDE,"Quality/reliability rating study (mean DISCERN 31.33/75) of 137 COVID YouTube videos; content figures (55% prevention, etc.) are topic-coverage shares, not misinformation prevalence with denominator. Out of scope (quality ratings)."
2-s2.0-85095575703,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85096862559,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85098086330,EXCLUDED,EXCLUDE,"Fact-check corpus content analysis of 371 debunked COVID fake-news items (6 Iberoamerican countries); characterizes type, technique, intent, platform. No total-content denominator; transnational-repetition (26.9%) is not audience-consumption concentration."
2-s2.0-85101871838,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85105477849,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Content analysis of 100 COVID-vaccine YouTube videos coding topic coverage (fear, adverse reactions, etc.); topics coded as present/absent are not veracity classes, no % false/misinfo with denominator"
2-s2.0-85106335639,EXCLUDED,EXCLUDE,Fact-check accuracy study of the top arguments of 4 UK Brexit opinion leaders (Full Fact/BBC). Explicitly excluded construct (fact-check accuracy of political claims); no prevalence/exposure estimate with a denominator.
2-s2.0-85106703963,EXCLUDED,EXCLUDE,"Documentary analysis of 92 fake-news items curated from Brazilian Ministry of Health 'Saude sem Fake News' debunk portal; theme shares (prevention 32.6%) within a fact-check corpus, no total-items denominator. Fact-check corpus, no prevalence denominator."
2-s2.0-85109001077,EXCLUDED,EXCLUDE,"Traffic/network analysis of 283 fake-news sites vs real sites (visits, pages/visit, bounce rate, backlinks, lifespan); site-level engagement metrics with no audience-level prevalence denominator (no % of users/diet that is misinfo)."
2-s2.0-85109032188,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Climate-change link-sharing ecosystems (Believers vs Disbelievers). Reports sharing concentration (Disbelievers = 77.81% of link-sharing) and that 96.15% of clusters with a fake-news site were Disbeliever-leaning, but these are network/typology measures, not an audience-level misinfo exposure/consumption prevalence with a denominator."
2-s2.0-85111547179,EXCLUDED,EXCLUDE,"Fact-check corpus content analysis of 1,679 verification articles (Latin America/Spain). Verdict distribution (89.4% rated false) is composition of the debunked set, not prevalence of misinfo among total content; no audience-exposure denominator."
2-s2.0-85114719672,EXCLUDED,EXCLUDE,"Co-spread/diffusion analysis of 7,370 fact-check-sourced misinforming URLs and their spread on Twitter; spreader-composition figures (e.g. 93% of misinfo posts from individuals) are not audience-level misinfo prevalence with a denominator."
2-s2.0-85117475825,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Facebook URL-dataset exposure study; reports click-through rates (~8-9%), shares-without-clicks (~40%), and demographic view breakdowns given exposure, but no population-level exposure prevalence or misinfo share-of-diet with denominator"
2-s2.0-85119233792,EXCLUDED,EXCLUDE,"Literature-review book chapter plus a 14-story methodological demonstration that rates news on a 1-5 Likert 'truthfulness' scale (mean 4.2). Quality/reliability rating, not a misinfo prevalence with a denominator."
2-s2.0-85120898300,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Vaccine-tweet website-sharing study; 22.1% of tweets contained links and top-20 sites = 14.5% of shared links, but content coding (vaccine-opposed etc.) only for the 20 sites. No misinfo prevalence/consumption share with denominator."
2-s2.0-85121751860,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Measures differential diffusion/engagement of Twitter-flagged Trump tweets across platforms; reports counts of posts/retweets by intervention type but no prevalence of misinformation exposure among a user population with a denominator.
2-s2.0-85129632573,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85130635023,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Relevant: measures audience engagement/consumption of low-credibility sources and its concentration across users/communities (Untrustworthiness index) in Italian immigration Twitter debate. But reports distributions/index graphically; no extractable prevalence or concentration estimate with a clean denominator (e.g. % of shared URLs that are unreliable) quotable from text.
2-s2.0-85132050196,EXCLUDED,EXCLUDE,"Cross-platform attention/mention dynamics of 3,851 retracted papers vs controls; engagement/attention metrics only (e.g. '80.2% of retracted papers receive no mentions in 2 months before retraction' is about papers, not audience misinfo prevalence). No in-scope prevalence/exposure denominator."
2-s2.0-85133668349,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Descriptive characterization of YouTube vs BitChute election-fraud content on Twitter (relative platform prevalence, mobilizer types); no audience-level misinfo exposure/consumption prevalence with denominator"
2-s2.0-85133898545,EXCLUDED,EXCLUDE,"Curated debunked-rumor corpus: 1,537 rumors collected from Sina Weibo's debunking account; typology, risk-scoring, temporal/spatial correlation, and driver network analysis. No total denominator for misinfo prevalence/exposure."
2-s2.0-85137929479,EXCLUDED_OUT_OF_SCOPE,RECOVER,"sockpuppet/bot audit; machine-elicited seeded set, not organic consumption (2nd-reader)"
2-s2.0-85138219636,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Twitter retweet-network study of partisan asymmetries in exposure to misinformation (correlations, distributions, activity means); no clean denominator-based prevalence (% of users exposed or % of content that is misinfo) reported."
2-s2.0-85138674402,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Survey (N=1,820) of self-reported misinformation exposure in 2019 Indonesian election; reports regression associations between channel use and exposure, not a clean prevalence % of respondents exposed with a denominator in the text."
2-s2.0-85139184753,EXCLUDED,EXCLUDE,Fact-check corpus (142 verified anti-science COVID contents) typology plus engagement (likes/RT) analysis of 96 #plandemia tweets. Disorder-type distribution (66.9% fabricated) is composition of debunked set; no content-prevalence denominator or audience-exposure proportion.
2-s2.0-85140319155,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Study explicitly examines prevalence/consumption of unreliable (misinformation) content during BLM protests and finds it 'very infrequent and low in visibility,' but the main text reports this qualitatively (via figures/reliability communities); no clean denominator-based percentage quotable from text."
2-s2.0-85141685239,EXCLUDED,EXCLUDE,"Debunk/disinformation-link corpus (454 debunks, 750 disinfo links) with engagement metrics and 18% cross-language debunk overlap; fact-check corpus, no content-prevalence denominator"
2-s2.0-85142383397,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Introduces a continuous 'misinformation-exposure score' tool (based on falsity scores of followed elites) and reports correlations with sharing quality, ideology, toxicity. No % of users exposed / exposure share with a denominator; the 5% figure refers to share of links that were rateable, not misinfo prevalence."
2-s2.0-85144591064,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; COVID misinfo migration to BitChute/Odysee - platform-migration analysis, indeterminate"
2-s2.0-85145359941,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Content analysis of tweets from 13 antivaccine Arabic hashtags; coded sample into 3 topics (civil liberties 41.1%, vaccine conspiracies 40.5%, calls for action 12.6%). Topic shares within an already-misinfo/antivax sample, no misinfo-vs-total prevalence denominator."
2-s2.0-85145702361,EXCLUDED,EXCLUDE,"Content/discourse analysis of hoaxes from fact-checking agencies (n=4,500 hoaxes -> 62 riot hoaxes) plus 190 press items; fact-check corpus of already-false items with no total-content prevalence denominator; describes themes/rhetoric only."
2-s2.0-85147181691,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Infodemic Risk Index (relative exposure to unreliable news) vs COVID cases; reports Spearman correlations across countries, not an extractable single misinfo-exposure prevalence value with a denominator."
2-s2.0-85147763511,EXCLUDED,EXCLUDE,"Fact-check corpus content analysis of 86 debunked Spanish-politics hoaxes; characterizes channel, format, topic, type, source, purpose, parties. Curated debunked set, no total-content denominator; no audience-exposure/prevalence estimate."
2-s2.0-85153766483,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"QAnon-curated Facebook corpus (117,553 posts from 2,813 clusters). Figures are source-composition within the curated conspiracy sample (e.g. <5% of posts cite low-credibility sources, 5.0%->1.3%) and QAnon-specific reach (3.1B impressions), not audience-level misinfo prevalence/exposure with a valid general denominator."
2-s2.0-85159132676,EXCLUDED,EXCLUDE,Social-bot analysis of climate Twitter discourse; bot counts explicitly out of scope
2-s2.0-85160644203,EXCLUDED,EXCLUDE,"Oral-health misinformation corpus content analysis (318 compiled misinfo items); reports theme/platform distribution of already-identified falsehoods, no total-content denominator to yield a prevalence rate"
2-s2.0-85163154882,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85168003167,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Survey of exposure to cancer-treatment misinformation (in-scope construct), but the fulltext file is only Appendix A/B (survey items and participant characteristics, N=603); no exposure prevalence value present in this file to quote."
2-s2.0-85172444815,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Correlational study linking politicians' belief/fact-speaking language to NewsGuard quality of shared links; reports regression effects (e.g., 10% belief-speaking -> -12.8 NewsGuard) but no prevalence of misinformation shared/consumed with a denominator."
2-s2.0-85174810384,EXCLUDED,EXCLUDE,"Analyzes 12,581 posts that are all already-labeled misinformation (fact-check MuMiN corpus); reports topic distribution within misinfo plus sentiment/hate-speech/bot metrics. No total denominator for a misinfo prevalence; out-of-scope metrics."
2-s2.0-85177471938,EXCLUDED,EXCLUDE,"Narrative-typology trend analysis of 58,625 articles drawn from 460 known unreliable/unverified sources (COVID). Percentages describe composition of the unreliable-source corpus by narrative over time, not prevalence of misinfo among total content or audience exposure; no denominator of all content examined."
2-s2.0-85184873133,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; partisan sharing of low-quality news by US political elites - may report share with denominator, indeterminate"
2-s2.0-85185267639,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; quality/accuracy of nutrition info on Instagram - likely quality ratings (out of scope) but 'accuracy' could be % correct, indeterminate"
2-s2.0-85186741013,EXCLUDED,EXCLUDE,"Game-theoretic model plus preference/engagement experiments (engagement-accuracy correlation, willingness to click/share). Sample balanced by design (500 misinfo + 500 mainstream headlines); about preferences/engagement, not audience-level prevalence with a denominator."
2-s2.0-85188687142,INCLUDED_NO_DATA,INCLUDED_NO_DATA,News-media-diet entropy/typology analysis of Twitter COVID URL sharers; characterizes variety/regularity of diets for high-risk vs reliable users but reports no numeric misinfo prevalence/concentration share with denominator in text
2-s2.0-85190850262,EXCLUDED,EXCLUDE,"Built entirely from a fact-check corpus of debunked corporate stories (541 fake / 144 non-fake); focus on geographic origin of spreaders, bot scores, and topic breakdown. No total denominator for content prevalence; % foreign-originating tweets is not a misinfo prevalence/exposure share."
2-s2.0-85191481583,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; antisemitic Czech websites - ideology/geolocation/transparency site profiling, likely out of scope, indeterminate"
2-s2.0-85191871572,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; typology of alternative media distortion - typology/description, likely no prevalence denominator, indeterminate"
2-s2.0-85192732462,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Browser-telemetry study of referral 'rabbit holes'; reports self-referral stickiness (~68% unreliable vs ~60% reliable) and transition probabilities. These are referral-composition metrics, not audience misinfo consumption prevalence with denominator."
2-s2.0-85195339204,EXCLUDED,EXCLUDE,"Advertising-ecosystem/supply-side study of company ads on misinformation websites (1,276 misinfo sites; 74.5% monetized by ads); measures advertiser behavior and consumer/decision-maker experiments, not audience-level misinformation exposure/consumption prevalence."
2-s2.0-85196841622,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; persistence of misinfo/hate speech (Manchester Arena) over time - indeterminate"
2-s2.0-85197085883,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Tracks 52,036 narratives across 1,334 curated unreliable news sites (does NOT judge individual stories true/false). Reports which site communities originate/amplify narratives (network/typology), not audience-level exposure/consumption prevalence with a denominator over all news."
2-s2.0-85197369320,EXCLUDED,EXCLUDE,"Fact-check corpus content analysis of 812 verifications (COVID and Russia-Ukraine, 4 countries); characterizes frequency, format, typology, platform, purpose of debunked hoaxes. No total-content denominator; no audience-exposure/prevalence proportion."
2-s2.0-85199110625,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85199398341,EXCLUDED,EXCLUDE,"DISCERN quality/reliability ratings of 35 Spanish lymphedema YouTube videos; content grouped by type not veracity, no misinfo-prevalence denominator (cited 30.4%/42% figures are from other studies)"
2-s2.0-85199752456,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Content analysis of 202 #mediterraneandiet TikTok videos describing content variability, credentials, and quality; authors explicitly state they 'did not attempt to... quantitatively score the scientific accuracy,' so no misinfo prevalence with a denominator (non-MedDiet food promotion is not misinformation)."
2-s2.0-85202849284,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; Russian propaganda agenda-setting + user engagement - agenda influence/engagement, likely out of scope, indeterminate"
2-s2.0-85203354546,EXCLUDED,EXCLUDE,"Quantitative content analysis of fact-checking articles (1,743 US, 148 JP); category proportions (statistics 40.0% US vs 25.7% JP) are shares within a debunked-claim corpus, no total-items prevalence denominator. Fact-check corpus."
2-s2.0-85204117613,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; antecedents/consequences of fake-news exposure on media trust - effects/attitude study with self-report exposure indicators, indeterminate"
2-s2.0-85205141299,EXCLUDED,EXCLUDE,"Content analysis of 4,245 Maldito Bulo fact-checks/debunks (fact-check corpus of already-false items); reports theme distributions and that 47.9% could promote hate, but no misinfo prevalence against a total-content denominator; no audience exposure/consumption."
2-s2.0-85205594046,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Politically asymmetric misinformation sharing/sanctions. Reports mean shared-news-quality differences, correlations, ratios (e.g. median Trump poster shared 4x more low-quality links) and suspension rates, but no % of news diet that is misinfo with a clean denominator; largely correlational/sharing-intention data."
2-s2.0-85206523173,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Relevant landmark exposure study (estimates users exposed to and receptive to 139 viral articles, 37 false). But headline figures are absolute exposure counts (e.g. 16.5M exposure instances to false articles) and belief/receptivity (excluded construct), not a prevalence/reach proportion with a denominator; 37/139 false is a sampling artifact (design balanced across quality streams), not a natural content-prevalence estimate."
2-s2.0-85212049380,EXCLUDED,EXCLUDE,"Analysis of 1,415 fact-checks of false/misleading statements by Spanish politicians; a debunked corpus with no denominator of total statements. Within-corpus distributions (e.g. 85.3% target governing parties) are not misinfo prevalence."
2-s2.0-85213941586,EXCLUDED,EXCLUDE,"Fact-check corpus (1,418 debunks of Spanish politicians) analyzed for topical composition; 4.7% environmental is share of an already-false debunk corpus, not a content-prevalence with real total denominator"
2-s2.0-85213958624,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-85215303159,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-86000080679,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Thematic analysis of 71 threads/1,281 Mumsnet comments; fact-checks information-sharing statements and states 'majority of the information was inaccurate' but gives no denominator-based misinfo-prevalence figure (16.08%=206/1281 is info-sharing comments, not a misinfo proportion)."
W2894778598,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Abstract: concentrated fake-news Twitter ecosystem but only absolute tweet counts (6.6M tweets, 700k accounts, 600 outlets); no share/% with denominator quotable from abstract"
W2912178678,EXCLUDED_OUT_OF_SCOPE,RECOVER,editorial summary of Grinberg 2019; superseded by primary 85060549676 (dedup)
W4287092633,EXCLUDED,EXCLUDE,Sample of fact-checked election stories (N=41) coded for topics/parties; no audience prevalence or denominator (actor/topic analysis)
W4399205394,EXCLUDED,EXCLUDE,"Measures prevalence of AI/synthetic-generated articles (not misinformation falsity); reports % change over time, not a level share"
W4410485787,EXCLUDED,EXCLUDE,"Pre-selected sample of 500 misinfo tweets; moderation/takedown + engagement outcomes (84% still online), no prevalence denominator"
W7124831666,EXCLUDED,EXCLUDE,Corpus of 234 fact-checked Arabic COVID claims coded for narrative typology; no prevalence denominator (fact-check corpus)
2-s2.0-105008525623,DUPLICATE_RECORD,INCLUDED,"Duplicate publication: the Spanish-language report of the same GESOP survey as 2-s2.0-85172813494 (same authors, same fieldwork paragraph verbatim, same six narratives, every percentage the English Figure 1 value renormalised to exclude don't-know). Removed at v1.7.18 under pre-merge ruling D1. PRISMA counts this as a duplicate record, NOT as an exclusion."
2-s2.0-105009525336,EXCLUDED_FULL_TEXT,INCLUDED,"Excluded at v1.7.18 on the blind re-extraction's eligibility finding, ruled by Sacha (rulings_sacha_2026-09-10a.csv). Quality-instrument scoring with no accuracy coding, so it contributes no prevalence estimate."
