id,author,confidence,reason,n_rows
W7160643177,Germany,0.95,"All rows dropped on sampling-frame circularity (L24). The Schwurbelarchiv was assembled by snowball sampling that targeted conspiracy-related Telegram chats, an",6
2-s2.0-85086692143,EU (multi-country),0.95,Single row was already coded OTHER and is correctly unusable. The 9% figure is the share of nodes in the disinformation subgraph belonging to its largest connec,1
2-s2.0-85132665364,Multinational (English YouTube),0.9,Sample = 50 most-viewed English YouTube videos on 'pregnancy and COVID-19 vaccine' (topic-neutral as to misinfo). However the extracted rows code 'anti-vaccinat,3
2-s2.0-85108840194,Brazil,0.95,Sample = 232 pieces of misinformation drawn from the Agência Lupa fact-check database -> circular/curated by construction (L24/L31: fact-check-database samples),5
2-s2.0-85203974709,Russia/Crimea,0.95,"Sample = 4,435 posts retrieved via topic/keyword search (Crimean Tatars, Mejlis, Hizb ut-Tahrir, etc.) on Russia-based accounts, then coded into three disinform",3
2-s2.0-36349001056,New Zealand,0.9,"DROPPED. The 17% 'opposing' figure is an anti-immunization STANCE code, not a measure of misinformation/falsity. The study's entire coding scheme classifies pri",1
2-s2.0-85164306347,United States/Mexico/Spain/Thailand,0.85,DROP per L24/L27 (sampling-frame circularity / actor-curated). The 310 ads were drawn from 11 KNOWN ALTERNATIVE-CANCER CLINICS (sources pre-selected from a dire,1
2-s2.0-85109375579,Italy,0.8,DROP all three rows. Rows 1 (22.1%) & 2 (12.8%) are the NR-URL share computed ONLY WITHIN the right/center-right political subcommunity (a misinfo-prone nested ,3
2-s2.0-85096090608,Portugal,0.85,"DROPPED the only row (31,725 raw shares). (1) Source-level curated sample: the 9 'fake news pages' were pre-selected AS disinformation outlets (L1/L25/L27) -> a",1
2-s2.0-85015279655,Spain,0.85,"DROPPED both rows (80% illegal-claims; 66.7% non-compliant). These are SOURCE/WEBSITE-LEVEL quality & legal-compliance assessments of 30 retail websites, not co",2
2-s2.0-85166442191,Global,0.85,"DROPPED the only row (30.92% negative tweets). This is a SENTIMENT share, not falsity (L3 construct mismatch; sentiment != misinfo). The paper performs no measu",1
2-s2.0-105012926622,Global (US/Canada-centric),0.85,"DROP all rows. (1) The 200 memes were pre-selected as anti-vaccination content (curated/circular denominator, L24/L26) and the study reports no falsity-prevalen",3
2-s2.0-85166785982,Global,0.85,"DROP. The 22.2% (10.6M/47.6M) is the share of stance-classified tweets that are ANTIVAX stance, not misinformation. Anti-vaccine stance != misinformation per L2",1
2-s2.0-105000242013,Global,0.9,DROP both rows. (1) 10.26% 'fact-checked multiple times' and (2) 32.26% 'repeated claims cross languages' are dynamics/composition WITHIN a fact-check database ,2
2-s2.0-84963854363,USA,0.9,DROP both rows. (1) '25% of errors classified as inaccurate' is a COMPOSITION WITHIN identified errors (inaccurate vs incomplete vs omitted) - not a prevalence ,2
2-s2.0-85203691949,Global,0.85,DROP both rows. The 62% ('~62% did not declare GPT use') is a COMPOSITION WITHIN a circularly-selected sample: Google Scholar was scraped for two ChatGPT tell-p,2
2-s2.0-85057183786,Canada,0.9,"DROP. The 14.66% = articles portraying flu vaccination NEGATIVELY — this is stance/tone, NOT misinformation (L29: anti-vaccine stance != misinfo; QUALITY). Auth",1
2-s2.0-85130786472,Spain,0.85,DROP (translated from Spanish). The 14% (344/2307) is the share of parliamentarians' most-retweeted tweets that touch THEMES susceptible to disinformation (COVI,1
2-s2.0-105031922350,Turkey,0.9,"Both current rows dropped. Row1 (1.9% anti-vaccine stance) = STANCE, not misinformation falsity (L29: anti-vaccine stance != misinfo prevalence; the paper itsel",2
2-s2.0-85048766317,USA,0.88,"Both rows dropped on sampling-frame circularity (L24) + curated/advocacy denominator (L1, L29). The 78 websites were deliberately selected to be PRO-indoor-tann",2
2-s2.0-105001591540,Global,0.95,"DROP both rows (20% avg bot volume, 43% during US Elections). Bot share != misinfo prevalence (L12: bot metrics are not exposure/prevalence). The paper measures",2
2-s2.0-85209560212,United States,0.85,"DROP both rows. The 76.94% / 14.25% are the share of SHARES-WITHOUT-CLICKS (SwoC) among 2,969 ALREADY-FALSE URLs, by conservatives vs liberals. (a) CONSTRUCT MI",2
2-s2.0-85077296908,USA,0.8,"DROP both rows. The unit of analysis is PRACTICE WEB SITES, not content items / not population exposure -> source/website-level prevalence (L27: Cuan-Baltazar-s",2
2-s2.0-85210161252,Germany,0.9,"Both current rows are QUALITY/labeling-deficiency metrics, NOT misinformation-as-falsity. Row 1 (66.7% supplements exceeding recommended max dose) measures prod",2
2-s2.0-85121947105,Italy,0.92,"Both rows measure anti-vaccine STANCE, not misinformation (L29: anti-vaccine stance != misinformation-prevalence). 24.1% of tweets and 29.6% of users classified",2
2-s2.0-85064006783,USA,0.85,All three rows DROPPED per L27 (source/WEBSITE-level rating != content-item prevalence; same family as Cuan-Baltazar). The study rates the top-50 prostate-cance,3
2-s2.0-85185269791,Algeria,0.85,DROP both rows (L1/L24 circular curated denominator). The CoFIA corpus was explicitly built by selecting only posts that 'seemed to lack validity and accuracy' ,2
2-s2.0-85146423472,United States,0.85,DROP (L24/L26 circular + QUALITY-not-falsity). The 40 images were selected as the most-popular images shared by promoters within the 'Stop the Steal' voter-frau,1
2-s2.0-85181119382,multiple,0.78,"DROP. The headline 10.10% (mean 'bad' recommendations) is a QUALITY/risk-pooling metric, not a misinformation prevalence: 'bad' deliberately merges misinfo with",1
2-s2.0-85046742972,Italy,0.8,DROP. 70% (392/560) is the share of videos with NEGATIVE TONE among an autism+vaccine keyword-selected YouTube sample. Two reasons to drop: (1) the measure is a,1
2-s2.0-85192806272,Brazil,0.45,"DROP. The 22.1% 'prevalence of infodemic' is a self-reported INFODEMIC (overabundance of information, true OR false) measure, not a misinformation-exposure/prev",1
2-s2.0-85083063112,United States,0.9,DROP. The only extracted value (2.89% of retweets received came from other IRA accounts) is an internal false-amplification / coordination metric within the IRA,1
2-s2.0-105037362500,United States,0.85,"DROP. The 49.6% figure is anti-vaccine STANCE, not misinformation/falsity, measured by GPT-4o classifying tweets into pro/anti/neutral. Per L29 + protocol ('sta",1
2-s2.0-85049788242,United States,0.85,"DROP both rows. (1) Both are SOURCE/GROUP-level, not content-item prevalence: 5.2% = % of divisive-issue ADS sponsored by questionable-news groups, 15.8% = % of",2
2-s2.0-85051467996,United States,0.9,DROP. The 5.72% (148/2501) is the composition WITHIN an actor-defined disinfo set: the sample is tweets by false accounts operated by the IRA (a known disinform,1
2-s2.0-85146480094,Spain,0.85,"DROP both rows / DROP_STUDY. (1) '46.2% pro-CAM stance' is a STANCE measure (favourable editorial position toward pseudoscience), not a measure of % false conte",2
2-s2.0-85147515236,Brazil,0.9,"DROP_STUDY. The '43% pro-HCQ videos' (323/751) is a STANCE measure, not a misinfo measure. Authors state explicitly (Methods): 'we solely considered the positio",1
2-s2.0-85164694763,multinational,0.85,All three rows dropped. (1) The 26% vs 2.4% low-credibility-share rows: the denominator is 'domains shared by no-vax community users' — a sample SELECTED BY no-,3
2-s2.0-85170522441,Spain,0.9,"DROP both rows. The sample is 409 fact-checker-DEBUNKED disinformation pieces = a fact-check-database sample, curated/circular by construction (L24/L31/L41). Th",2
2-s2.0-85171477190,Multi (FR/DE/UK/IT/US),0.8,DROP the single row. The 74% figure = 'at least 74% of [user] communities are made on average by highly reliable users (NewsGuard>=60)' = a RELIABILITY/QUALITY ,1
2-s2.0-85173661830,Multi (Arabic),0.75,DROP all four rows. Two reasons. (1) CONSTRUCT MISMATCH (L29): the measured attribute is 'anti-vaccine' STANCE (content that discourages vaccination / expresses,4
2-s2.0-85178101068,Global,0.8,"DROP both rows. The 11.6%/5.7% figures are 'coverage' = % of Russian-edition pages citing >=1 domain from the English vs Russian perennial-sources LIST, which c",2
2-s2.0-85199669897,Saudi Arabia,0.85,"DROP. The 12.5% is a website/source-level QUALITY rating (10/80 sites scored 'low' on DISCERN), not a content-item misinformation prevalence (L27: source/websit",1
2-s2.0-85206960578,China,0.7,DROP. The stored 4.4% (and the '21.8:1' figure) does NOT measure the share of videos that are disinformation. Reading the full text: '21.8:1' is the ratio of fs,1
2-s2.0-85215100183,26 countries,0.8,"DROP: paper reports the dependent variable only as a per-party MEAN FACTUALITY SCORE (very low=0 ... very high=1.0), never an overall % of shared URLs that are ",1
2-s2.0-85217138459,United States,0.85,"DROP: outcome is a DISCERN QUALITY score (mean ~31-38 of top-10 accounts) measuring reliability/clarity, not a % of content that is false. Paper reports 'overal",1
2-s2.0-86000286752,Italy,0.82,"DROP: outcome is a median MISINFORMATION ORDINAL SCORE (overall median 1.00; medical 2.0 vs non-medical 0.0), a QUALITY/distance-from-guidelines rating, not a %",1
2-s2.0-85092354064,China,0.8,"DROP (circular / pre-selected denominator, L24/L26/L31): the sample is content about the TOP 10 MOST WIDELY-SPREAD KNOWN RUMORS in China 2016 (selected by rumor",1
2-s2.0-85130261318,South Africa,0.8,DROP. (1) Construct mismatch (L3): the study measures reporting inconsistency / quality of disaster journalism (which articles cited official-source wind speeds,1
2-s2.0-85130752897,Italy,0.85,"DROP. (1) Source/website-level, not content (L27 / protocol step 3): the 1.98% (134,793/6,806,881) is the share of items from outlets ANNOTATED as questionable ",1
2-s2.0-85131873827,United States,0.7,"DROP. Non-neutral, doubly-stratified sampling frame -> the prevalence figures are sampling artifacts, not population/topical content prevalence. (1) The 1151 tw",4
2-s2.0-85135423153,France,0.8,"DROP. The extracted 15.2% = 209,940 vaccine-critical tweets / (209,940 + 1,171,511) is the share of vaccine-critical vs media tweets WITHIN a hand-curated 765-U",1
2-s2.0-85139981135,Spain,0.85,"DROP. The 42.7% = 15,513 entailment / 36,292 is the share of ENDORSING vs DENYING tweets within a sample that was selected BY hoax status: tweets were retrieved",1
2-s2.0-105001286284,Global,0.8,"Both rows dropped. Row 1 (top 1% of papers = 34.2% of altmetrics, Gini 0.835): this is concentration of ENGAGEMENT/altmetrics among PAPERS (content/source units",2
2-s2.0-105019228896,Global (English),0.85,"DROP both rows (circular / fact-check-database sampling, L24/L31). Row 1 (17.5% = 1543/8822 fact-checked claims are false): the denominator is the MM-COVID set ",2
2-s2.0-105024884753,South Africa,0.85,DROP all 4 rows. The 14.4/8.8/32.1/32.7% figures are shares of vaccine-keyword tweets classified ANTI-VACCINATION STANCE by an SVM stance classifier - not misin,4
2-s2.0-105033540717,Brazil,0.85,"DROP. The 25% = anti-vaccine-movement (16%) + anti-science-discourse (9%) share of 720 preprint-sharing tweets. These are STANCE/attitude categories, not falsit",1
2-s2.0-105033848043,Colombia,0.92,"DROP per L24/L31. The 76.68% 'rated false' is computed over 549 already-fact-checked items (Colombia Check, La Silla Vacia, Maldita.es, AFP via IFCN database) -",1
2-s2.0-85171830494,United States,0.9,"DROP. The 65.4% (82,605/126,301 cascades false) is the share of FALSE among already-FACT-CHECKED rumor cascades (Vosoughi 2018 corpus). This is composition with",1
2-s2.0-85140381972,Brazil,0.85,DROP. The single stored row (30% fabricated) is a composition breakdown WITHIN an already-disinfo set: the 393 multimedia contents were PRE-FILTERED as having ',1
2-s2.0-105027340901,Argentina/Spain,0.95,"DROP. The sole row (42.3% 'contenido enganoso', 197/466) is a within-misinfo composition share computed over a sample that was selected BY disinformation status",1
2-s2.0-85141753781,India,0.92,"DROP. The 72.7% (8 of 11 links not authentic) is the composition of the top-20 most-shared links produced by 11 manually-selected ANTI-MUSLIM (hate-spreading, p",1
2-s2.0-85097484865,Indonesia,0.93,DROP. The 91.45% is the platform DISTRIBUTION (Twitter 91.45% / Facebook 7.97% / Instagram 0.58%) of ~1.08M crawled fake-narrative posts. This is corpus-composi,1
2-s2.0-85121470014,Poland,0.9,DROP. The 35% / 6% figures are shares of ANTI-VACCINATION (AGAINST) tweets in bot-seeded Twitter timelines. Anti-vaccine STANCE/sentiment is not misinformation ,2
2-s2.0-85042209380,USA,0.9,DROP per L13 (absolute reach without a denominator = unusable) -- this paper is the canonical Nelson & Taneja example already named in L13. The study reports on,1
2-s2.0-85170530355,USA,0.8,DROP both rows (25% of right-media endorsers / 2% of left-media endorsers 'likely to share conspiratory narratives'). This is the canonical Ferrara 2020 study n,2
